Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-11-06,01:25:59,2021-11-06,01:25:59,2021-11-07,01:00:00,Daily,00:25:59,61.0,1018.6,
NRG-BN002,2021-11-02,01:16:37,2021-11-02,01:16:37,2021-11-09,01:05:00,Weekly,00:11:37,,,
NRG-BN003,2021-11-06,01:25:59,2021-11-06,01:25:59,2021-11-07,01:10:00,Daily,00:15:59,51.0,66.71,
NRG-BN005,2021-11-06,01:25:59,2021-11-06,01:25:59,2021-11-07,01:15:00,Daily,00:10:59,62.0,59.38,
NRG-BN007,2021-11-06,01:25:59,2021-11-06,01:25:59,2021-11-07,01:20:00,Daily,00:05:59,73.0,313.76,
NRG-BN009,2021-11-06,01:25:59,2021-11-06,01:25:59,2021-11-07,00:55:00,Daily,00:30:59,65.0,2.62,
NRG-BR001,2021-11-02,03:22:15,2021-11-02,03:22:15,2021-11-09,01:25:00,Weekly,01:57:15,,,
NRG-BR002,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,01:30:00,Daily,01:59:14,53.0,129.95,
NRG-BR003,2021-11-02,03:22:15,2021-11-02,03:22:15,2021-11-09,01:35:00,Weekly,01:47:15,,,
NRG-BR004,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,01:40:00,Daily,01:49:14,79.0,1727.89,
NRG-BR005,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,01:45:00,Daily,01:44:14,33.0,28.24,
NRG-BR007,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,01:50:00,Daily,01:39:14,72.0,15.52,
NRG-CC003,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,02:05:00,Daily,01:24:14,82.0,512.97,
NRG-CC004,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,02:10:00,Daily,01:19:14,43.0,260.24,
NRG-CC007CD,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,02:15:00,Daily,01:14:14,34.0,112.77,
NRG-CC008,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,02:20:00,Daily,01:09:14,63.0,53.84,
NRG-CC009,2021-11-06,03:29:14,2021-11-06,03:29:14,2021-11-07,02:25:00,Daily,01:04:14,65.0,5.21,
