Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-05-29,00:30:00,2024-05-29,00:30:00,2024-05-30,00:30:00,Daily,00:00:00,68,71.74,0,
NRG-BN001,2024-05-29,01:00:00,2024-05-29,01:00:00,2024-05-30,01:00:00,Daily,00:00:00,61,1011.38,0,
NRG-BN002,2024-05-28,01:30:00,2024-05-28,01:30:00,2024-06-04,01:05:00,Weekly,00:25:00,0,,0,
NRG-BN003,2024-05-29,02:10:00,2024-05-29,02:10:00,2024-05-30,02:10:00,Daily,00:00:00,53,110.59,0,
NRG-BN005,2024-05-29,01:20:00,2024-05-29,01:20:00,2024-05-30,01:15:00,Daily,00:05:00,62,152.05,0,
NRG-BN007,2024-05-29,01:20:00,2024-05-29,01:20:00,2024-05-30,01:20:00,Daily,00:00:00,73,910.17,0,
NRG-BN009,2024-05-29,01:00:00,2024-05-29,01:00:00,2024-05-30,00:55:00,Daily,00:05:00,65,23.16,0,
NRG-BN010,2024-05-29,04:00:00,2024-05-29,04:00:00,2024-05-30,03:59:00,Daily,00:01:00,63,78.08,0,
NRG-BN011,2024-05-28,23:30:00,2024-05-28,23:30:00,2024-05-29,23:24:57,Daily,00:05:03,62,407.46,0,
NRG-BN012,2024-05-29,07:50:00,2024-05-29,07:50:00,2024-05-30,07:45:00,Daily,00:05:00,51,71.78,0,
NRG-BR001,2024-05-28,01:30:00,2024-05-28,01:30:00,2024-06-04,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2024-05-29,02:30:00,2024-05-29,02:30:00,2024-05-30,02:30:00,Daily,00:00:00,55,124.99,0,
NRG-BR003,2024-05-23,01:40:00,2024-05-23,01:40:00,2024-05-30,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-05-29,05:10:00,2024-05-29,05:10:00,2024-05-30,05:10:00,Daily,00:00:00,88,2700.21,0,
NRG-BR005,2024-05-29,01:50:00,2024-05-29,01:50:00,2024-05-30,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-05-29,01:50:00,2024-05-29,01:50:00,2024-05-30,01:50:00,Daily,00:00:00,76,579.95,0,
NRG-BR008,2024-05-28,23:20:00,2024-05-28,23:20:00,2024-05-29,23:20:00,Daily,00:00:00,70,14.47,0,
NRG-BR009,2024-05-29,00:10:00,2024-05-29,00:10:00,2024-05-30,00:10:00,Daily,00:00:00,62,19.43,0,
