Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
EAY191-N4,2023-08-22,00:30:00,2023-08-22,00:30:00,2023-08-23,00:30:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN001,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-23,01:00:00,Daily,00:20:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN002,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-29,01:05:00,Weekly,00:15:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN003,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-23,01:10:00,Daily,00:10:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN005,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-23,01:15:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN007,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-23,01:20:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN009,2023-08-22,01:20:00,2023-08-22,01:20:00,2023-08-23,00:55:00,Daily,00:25:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN010,2023-08-22,04:00:00,2023-08-22,04:00:00,2023-08-23,03:59:00,Daily,00:01:00,,,[B] Zip file process ran but missing files in N drive
NRG-BN011,2023-08-21,23:30:00,2023-08-21,23:30:00,2023-08-22,23:24:57,Daily,00:05:03,,,
NRG-BN012,2023-08-22,07:50:00,2023-08-22,07:50:00,2023-08-23,07:45:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR001,2023-08-22,01:30:00,2023-08-22,01:30:00,2023-08-29,01:25:00,Weekly,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR002,2023-08-22,02:30:00,2023-08-22,02:30:00,2023-08-23,02:30:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR003,2023-08-22,01:40:00,2023-08-22,01:40:00,2023-08-29,01:35:00,Weekly,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR004,2023-08-22,05:10:00,2023-08-22,05:10:00,2023-08-23,05:10:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR005,2023-08-22,01:50:00,2023-08-22,01:50:00,2023-08-23,01:45:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-BR007,2023-08-22,01:50:00,2023-08-22,01:50:00,2023-08-23,01:50:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC003,2023-08-22,02:20:00,2023-08-22,02:20:00,2023-08-23,02:05:00,Daily,00:15:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC004,2023-08-22,02:20:00,2023-08-22,02:20:00,2023-08-23,02:10:00,Daily,00:10:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC005,2023-08-22,04:10:00,2023-08-22,04:10:00,2023-08-23,04:05:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC007CD,2023-08-22,02:20:00,2023-08-22,02:20:00,2023-08-23,02:15:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC008,2023-08-22,02:20:00,2023-08-22,02:20:00,2023-08-23,02:20:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC009,2023-08-22,02:30:00,2023-08-22,02:30:00,2023-08-23,02:25:00,Daily,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-CC010,2023-08-21,18:40:00,2023-08-21,18:40:00,2023-08-22,18:35:00,Daily,00:05:00,,,
NRG-DT001,2023-08-22,02:30:00,2023-08-22,02:30:00,2023-08-23,02:30:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-GI002,2023-08-22,02:40:00,2023-08-22,02:40:00,2023-08-29,02:35:00,Weekly,00:05:00,,,[B] Zip file process ran but missing files in N drive
NRG-GI003,2023-08-22,02:40:00,2023-08-22,02:40:00,2023-08-23,02:40:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-GI004,2023-08-22,02:50:00,2023-08-22,02:50:00,2023-08-23,02:50:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-GI005,2023-08-19,03:00:00,2023-08-12,03:00:00,2023-08-26,02:55:00,Weekly,00:05:00,,,
NRG-GI006,2023-08-22,03:00:00,2023-08-22,03:00:00,2023-08-23,03:00:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
NRG-GI007,2023-08-22,04:40:00,2023-08-22,04:40:00,2023-08-23,04:40:00,Daily,00:00:00,,,[B] Zip file process ran but missing files in N drive
