Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2023-04-12,01:23:51,2023-04-12,01:23:51,2023-04-13,01:00:00,Daily,00:23:51,61.0,920.09,
NRG-BN002,2023-04-11,01:23:51,2023-04-11,01:23:51,2023-04-18,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2023-04-12,01:23:51,2023-04-12,01:23:51,2023-04-13,01:10:00,Daily,00:13:51,51.0,85.65,
NRG-BN005,2023-04-12,01:23:51,2023-04-12,01:23:51,2023-04-13,01:15:00,Daily,00:08:51,62.0,107.64,
NRG-BN007,2023-04-12,01:23:51,2023-04-12,01:23:51,2023-04-13,01:20:00,Daily,00:03:51,73.0,870.36,
NRG-BN009,2023-04-12,01:23:51,2023-04-12,01:23:51,2023-04-13,00:55:00,Daily,00:28:51,65.0,9.88,
NRG-BN010,2023-04-12,04:03:51,2023-04-12,04:03:51,2023-04-13,03:59:00,Daily,00:04:51,63.0,19.1,
NRG-BN011,2023-04-12,00:23:51,2023-04-12,00:23:51,2023-04-12,23:24:57,Daily,23:01:06,62.0,91.15,
NRG-BN012,2023-04-12,07:53:51,2023-04-12,07:53:51,2023-04-13,07:45:00,Daily,00:08:51,51.0,5.36,
NRG-BR001,2023-04-11,01:33:51,2023-04-11,01:33:51,2023-04-18,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2023-04-12,02:33:51,2023-04-12,02:33:51,2023-04-13,02:30:00,Daily,00:03:51,55.0,120.42,
NRG-BR003,2023-04-11,01:43:51,2023-04-11,01:43:51,2023-04-18,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2023-04-12,05:13:51,2023-04-12,05:13:51,2023-04-13,05:10:00,Daily,00:03:51,88.0,2651.86,
NRG-BR005,2023-04-12,01:53:51,2023-04-12,01:53:51,2023-04-13,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2023-04-12,01:53:51,2023-04-12,01:53:51,2023-04-13,01:50:00,Daily,00:03:51,72.0,338.02,
NRG-CC003,2023-04-12,02:13:51,2023-04-12,02:13:51,2023-04-13,02:05:00,Daily,00:08:51,82.0,528.61,
NRG-CC004,2023-04-12,02:13:51,2023-04-12,02:13:51,2023-04-13,02:10:00,Daily,00:03:51,43.0,229.14,
NRG-CC005,2023-04-12,04:13:51,2023-04-12,04:13:51,2023-04-13,04:05:00,Daily,00:08:51,46.0,106.11,
NRG-CC007CD,2023-04-12,02:23:51,2023-04-12,02:23:51,2023-04-13,02:15:00,Daily,00:08:51,34.0,162.25,
NRG-CC008,2023-04-12,02:23:51,2023-04-12,02:23:51,2023-04-13,02:20:00,Daily,00:03:51,63.0,212.63,
NRG-CC009,2023-04-12,02:33:51,2023-04-12,02:33:51,2023-04-13,02:25:00,Daily,00:08:51,65.0,45.91,
NRG-CC010,2023-04-11,20:33:51,2023-04-11,20:33:51,2023-04-12,18:35:00,Daily,01:58:51,43.0,2.69,
NRG-DT001,2023-04-12,02:33:51,2023-04-12,02:33:51,2023-04-13,02:30:00,Daily,00:03:51,54.0,127.03,
NRG-GI002,2023-04-11,02:43:51,2023-04-11,02:43:51,2023-04-18,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2023-04-12,02:43:51,2023-04-12,02:43:51,2023-04-13,02:40:00,Daily,00:03:51,48.0,148.3,
NRG-GI004,2023-04-12,02:53:51,2023-04-12,02:53:51,2023-04-13,02:50:00,Daily,00:03:51,53.0,394.4,
NRG-GI005,2023-04-11,03:03:51,2023-04-11,03:03:51,2023-04-18,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2023-04-12,03:03:51,2023-04-12,03:03:51,2023-04-13,03:00:00,Daily,00:03:51,73.0,332.21,
NRG-GI007,2023-04-12,04:43:51,2023-04-12,04:43:51,2023-04-13,04:40:00,Daily,00:03:51,51.0,10.14,
NRG-GI008,2023-04-12,03:43:51,2023-04-12,03:43:51,2023-04-13,03:43:00,Daily,00:00:51,60.0,47.27,
NRG-GU002,2023-04-12,03:13:51,2023-04-12,03:13:51,2023-04-13,03:05:00,Daily,00:08:51,49.0,229.2,
NRG-GU003,2023-04-12,03:13:51,2023-04-12,03:13:51,2023-04-13,03:10:00,Daily,00:03:51,47.0,245.65,
