Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-10-24,01:13:51,2022-10-24,01:13:51,2022-10-25,01:00:00,Daily,00:13:51,62.0,907.99,
NRG-BN002,2022-10-18,01:23:51,2022-10-18,01:23:51,2022-10-25,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-10-24,01:13:51,2022-10-24,01:13:51,2022-10-25,01:10:00,Daily,00:03:51,52.0,92.56,
NRG-BN005,2022-10-24,01:33:51,2022-10-24,01:33:51,2022-10-25,01:15:00,Daily,00:18:51,63.0,105.69,
NRG-BN007,2022-10-24,01:33:51,2022-10-24,01:33:51,2022-10-25,01:20:00,Daily,00:13:51,74.0,779.41,
NRG-BN009,2022-10-24,01:13:51,2022-10-24,01:13:51,2022-10-25,00:55:00,Daily,00:18:51,66.0,34.78,
NRG-BN010,2022-10-24,04:03:51,2022-10-24,04:03:51,2022-10-25,03:59:00,Daily,00:04:51,64.0,35.17,
NRG-BN011,2022-10-23,23:23:51,2022-10-23,23:23:51,2022-10-24,23:24:57,Daily,00:01:06,63.0,43.38,
NRG-BR001,2022-10-18,01:43:51,2022-10-18,01:43:51,2022-10-25,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-10-24,02:33:51,2022-10-24,02:33:51,2022-10-25,02:30:00,Daily,00:03:51,56.0,136.72,
NRG-BR003,2022-10-18,01:43:51,2022-10-18,01:43:51,2022-10-25,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-10-24,01:43:51,2022-10-24,01:43:51,2022-10-25,01:40:00,Daily,00:03:51,86.0,2642.55,
NRG-BR005,2022-10-24,01:53:51,2022-10-24,01:53:51,2022-10-25,01:45:00,Daily,00:08:51,34.0,36.6,
NRG-BR007,2022-10-24,01:53:51,2022-10-24,01:53:51,2022-10-25,01:50:00,Daily,00:03:51,73.0,223.48,
NRG-CC003,2022-10-24,02:13:51,2022-10-24,02:13:51,2022-10-25,02:05:00,Daily,00:08:51,83.0,516.53,
NRG-CC004,2022-10-24,02:13:51,2022-10-24,02:13:51,2022-10-25,02:10:00,Daily,00:03:51,44.0,235.03,
NRG-CC005,2022-10-24,04:13:51,2022-10-24,04:13:51,2022-10-25,04:05:00,Daily,00:08:51,47.0,59.06,
NRG-CC007CD,2022-10-24,02:23:51,2022-10-24,02:23:51,2022-10-25,02:15:00,Daily,00:08:51,35.0,158.06,
NRG-CC008,2022-10-24,02:23:51,2022-10-24,02:23:51,2022-10-25,02:20:00,Daily,00:03:51,64.0,165.25,
NRG-CC009,2022-10-24,02:33:51,2022-10-24,02:33:51,2022-10-25,02:25:00,Daily,00:08:51,66.0,51.24,
NRG-DT001,2022-10-24,02:33:51,2022-10-24,02:33:51,2022-10-25,02:30:00,Daily,00:03:51,55.0,134.84,
