Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-02-22,01:13:51,2022-02-22,01:13:51,2022-02-23,01:00:00,Daily,00:13:51,61.0,880.06,
NRG-BN002,2022-02-22,01:13:51,2022-02-22,01:13:51,2022-03-01,01:05:00,Weekly,00:08:51,49.0,115.86,
NRG-BN003,2022-02-22,01:13:51,2022-02-22,01:13:51,2022-02-23,01:10:00,Daily,00:03:51,51.0,80.87,
NRG-BN005,2022-02-22,01:33:51,2022-02-22,01:33:51,2022-02-23,01:15:00,Daily,00:18:51,62.0,85.43,
NRG-BN007,2022-02-22,01:33:51,2022-02-22,01:33:51,2022-02-23,01:20:00,Daily,00:13:51,73.0,491.4,
NRG-BN009,2022-02-22,01:13:51,2022-02-22,01:13:51,2022-02-23,00:55:00,Daily,00:18:51,65.0,31.84,
NRG-BR001,2022-02-22,01:33:51,2022-02-22,01:33:51,2022-03-01,01:25:00,Weekly,00:08:51,45.0,125.08,
NRG-BR002,2022-02-22,02:33:51,2022-02-22,02:33:51,2022-02-23,02:30:00,Daily,00:03:51,55.0,132.98,
NRG-BR003,2022-02-22,01:43:51,2022-02-22,01:43:51,2022-03-01,01:35:00,Weekly,00:08:51,44.0,2584.74,
NRG-BR004,2022-02-22,01:43:51,2022-02-22,01:43:51,2022-02-23,01:40:00,Daily,00:03:51,79.0,2085.53,
NRG-BR005,2022-02-22,01:53:51,2022-02-22,01:53:51,2022-02-23,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-02-22,01:53:51,2022-02-22,01:53:51,2022-02-23,01:50:00,Daily,00:03:51,72.0,67.54,
NRG-CC003,2022-02-22,02:13:51,2022-02-22,02:13:51,2022-02-23,02:05:00,Daily,00:08:51,82.0,479.03,
NRG-CC004,2022-02-22,02:13:51,2022-02-22,02:13:51,2022-02-23,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC007CD,2022-02-22,02:23:51,2022-02-22,02:23:51,2022-02-23,02:15:00,Daily,00:08:51,34.0,127.98,
NRG-CC008,2022-02-22,02:23:51,2022-02-22,02:23:51,2022-02-23,02:20:00,Daily,00:03:51,63.0,98.21,
NRG-CC009,2022-02-22,02:33:51,2022-02-22,02:33:51,2022-02-23,02:25:00,Daily,00:08:51,65.0,34.58,
NRG-DT001,2022-02-22,02:33:51,2022-02-22,02:33:51,2022-02-23,02:30:00,Daily,00:03:51,52.0,129.2,
NRG-GI002,2022-02-22,02:43:51,2022-02-22,02:43:51,2022-03-01,02:35:00,Weekly,00:08:51,59.0,1667.31,
