Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-12-12,02:25:58,2021-12-11,02:30:41,2021-12-13,01:00:00,Daily,01:30:41,,,[A] Zip file creation process failed
NRG-BN002,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,01:05:00,Weekly,00:48:19,,,
NRG-BN003,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,01:10:00,Daily,01:15:58,51.0,67.73,
NRG-BN005,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,01:15:00,Daily,01:10:58,62.0,66.11,
NRG-BN007,2021-12-12,02:25:58,2021-12-11,02:30:41,2021-12-13,01:20:00,Daily,01:10:41,,,[A] Zip file creation process failed
NRG-BN009,2021-12-12,02:25:58,2021-12-11,02:30:41,2021-12-13,00:55:00,Daily,01:35:41,,,[A] Zip file creation process failed
NRG-BR001,2021-12-07,03:58:58,2021-12-07,03:58:58,2021-12-14,01:25:00,Weekly,02:33:58,,,
NRG-BR002,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,02:30:00,Daily,03:01:25,54.0,131.72,
NRG-BR003,2021-12-07,03:58:58,2021-12-07,03:58:58,2021-12-14,01:35:00,Weekly,02:23:58,,,
NRG-BR004,2021-12-12,05:31:25,2021-12-11,02:30:41,2021-12-13,01:40:00,Daily,00:50:41,,,[A] Zip file creation process failed
NRG-BR005,2021-12-12,02:25:58,2021-12-11,02:30:41,2021-12-13,01:45:00,Daily,00:45:41,,,[A] Zip file creation process failed
NRG-BR007,2021-12-12,05:31:25,2021-12-11,02:30:41,2021-12-13,01:50:00,Daily,00:40:41,,,[A] Zip file creation process failed
NRG-CC003,2021-12-12,05:31:25,2021-12-10,04:45:28,2021-12-13,02:05:00,Daily,02:40:28,,,[A] [G] Zip file creation process failed
NRG-CC004,2021-12-12,02:25:58,2021-12-10,04:45:28,2021-12-13,02:10:00,Daily,02:35:28,,,[A] [G] Zip file creation process failed
NRG-CC007CD,2021-12-12,05:31:25,2021-12-10,04:45:28,2021-12-13,02:15:00,Daily,02:30:28,,,[A] [G] Zip file creation process failed
NRG-CC008,2021-12-12,02:25:58,2021-12-11,05:00:02,2021-12-13,02:20:00,Daily,02:40:02,,,[A] Zip file creation process failed
NRG-CC009,2021-12-12,05:31:25,2021-12-11,05:00:02,2021-12-13,02:25:00,Daily,02:35:02,,,[A] Zip file creation process failed
NRG-DT001,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,02:30:00,Daily,03:01:25,52.0,123.19,
NRG-GI002,2021-12-07,05:57:01,2021-12-07,05:57:01,2021-12-14,02:35:00,Weekly,03:22:01,,,
NRG-GI003,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,02:40:00,Daily,02:51:25,48.0,109.12,
NRG-GI004,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,02:50:00,Daily,02:41:25,53.0,291.83,
NRG-GI005,2021-12-07,05:57:01,2021-12-07,05:57:01,2021-12-14,02:55:00,Weekly,03:02:01,,,
NRG-GI006,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,03:00:00,Daily,02:31:25,73.0,207.3,
NRG-GI007,2021-12-12,05:31:25,2021-12-11,07:02:08,2021-12-13,04:40:00,Daily,02:22:08,,,[A] Zip file creation process failed
NRG-GU002,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,03:05:00,Daily,02:26:25,49.0,207.33,
NRG-GU003,2021-12-12,05:31:25,2021-12-08,05:49:16,2021-12-13,03:10:00,Daily,02:39:16,,,[A] [G] Zip file creation process failed
NRG-GU005,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,03:15:00,Daily,02:16:25,52.0,500.14,
NRG-GU006,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,03:20:00,Daily,02:11:25,50.0,456.09,
NRG-GU007,2021-12-12,05:31:25,2021-12-12,05:31:25,2021-12-13,03:25:00,Daily,02:06:25,44.0,42.51,
NRG-GU008,2021-12-12,05:31:25,2021-12-11,07:02:08,2021-12-13,03:30:00,Daily,03:32:08,,,[A] Zip file creation process failed
NRG-GU009,2021-12-12,08:01:11,2021-12-11,07:02:08,2021-12-13,03:35:00,Daily,03:27:08,,,[A] Zip file creation process failed
NRG-GY003,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,00:55:00,Weekly,00:58:19,,,
NRG-GY004,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,00:50:00,Weekly,01:03:19,,,
NRG-GY005,2021-12-12,04:42:48,2021-12-11,02:30:41,2021-12-13,00:45:00,Daily,01:45:41,,,[A] Zip file creation process failed
NRG-GY006,2021-12-12,02:25:58,2021-12-11,02:30:41,2021-12-13,00:40:00,Daily,01:50:41,,,[A] Zip file creation process failed
NRG-GY007,2021-12-12,04:42:48,2021-12-11,00:35:18,2021-12-13,00:35:00,Daily,00:00:18,,,[A] Zip file creation process failed
NRG-GY009,2021-12-12,02:25:58,2021-12-11,00:35:18,2021-12-13,00:30:00,Daily,00:05:18,,,[A] Zip file creation process failed
NRG-GY012,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:25:00,Daily,02:00:58,61.0,749.71,
NRG-GY014,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:20:00,Daily,02:05:58,60.0,192.21,
NRG-GY016,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:15:00,Daily,02:10:58,61.0,115.6,
NRG-GY017,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:10:00,Daily,02:15:58,71.0,232.32,
NRG-GY018,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:05:00,Daily,02:20:58,77.0,1719.79,
NRG-GY019,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-13,00:00:00,Daily,02:25:58,58.0,638.8,
NRG-GY020,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-12,23:55:00,Daily,21:29:02,67.0,208.07,
NRG-GY021,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-12,23:50:00,Daily,21:24:02,64.0,311.12,
NRG-GY022,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-12,23:45:00,Daily,21:19:02,32.0,98.2,
NRG-GY023,2021-12-12,02:25:58,2021-12-12,02:25:58,2021-12-12,23:40:00,Daily,21:14:02,66.0,35.16,
NRG-HN001,2021-12-12,08:01:11,2021-12-11,07:02:08,2021-12-13,05:00:00,Daily,02:02:08,,,[A] Zip file creation process failed
NRG-HN002,2021-12-10,06:51:11,2021-12-03,06:59:42,2021-12-17,06:05:00,Weekly,00:54:42,,,
NRG-HN003,2021-12-07,08:37:15,2021-12-07,08:37:15,2021-12-14,05:10:00,Weekly,03:27:15,,,
NRG-HN004,2021-12-12,05:31:25,2021-12-11,07:02:08,2021-12-13,05:15:00,Daily,01:47:08,,,[A] Zip file creation process failed
NRG-HN005,2021-12-12,08:01:11,2021-12-11,07:02:08,2021-12-13,05:20:00,Daily,01:42:08,,,[A] Zip file creation process failed
NRG-HN006,2021-12-11,21:11:15,2021-12-11,21:11:15,2021-12-12,21:04:03,Daily,00:07:12,76.0,50.25,
NRG-HN007,2021-12-12,05:31:25,2021-12-11,07:02:08,2021-12-13,05:30:00,Daily,01:32:08,,,[A] Zip file creation process failed
NRG-LU001,2021-12-07,08:37:15,2021-12-07,08:37:15,2021-12-14,05:35:00,Weekly,03:02:15,,,
NRG-LU002,2021-12-11,15:35:58,2021-12-11,15:35:58,2021-12-12,15:30:12,Daily,00:05:46,64.0,655.18,
NRG-LU003,2021-12-07,08:37:15,2021-12-07,08:37:15,2021-12-14,05:45:00,Weekly,02:52:15,,,
NRG-LU004,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,05:50:00,Daily,02:11:11,46.0,119.31,
NRG-LU005,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,05:55:00,Daily,02:06:11,84.0,2103.79,
NRG-LU006,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:00:00,Daily,02:01:11,56.0,12.49,
NRG-LU007,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:05:00,Daily,01:56:11,53.0,30.94,
NSABP-B-55,2021-12-12,02:25:58,2021-12-09,03:59:30,2021-12-13,01:57:00,Daily,02:02:30,,,[A] [G] Zip file creation process failed
RTOG-1112,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:10:00,Daily,01:51:11,52.0,717.08,
RTOG-1115,2021-12-07,10:36:33,2021-12-07,10:36:33,2021-12-14,06:15:00,Weekly,04:21:33,,,
RTOG-1216,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:20:00,Daily,01:41:11,77.0,945.57,
RTOG-1308,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:25:00,Daily,01:36:11,86.0,669.2,
S1418-E-01,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:30:00,Daily,01:31:11,21.0,361.49,
S1914-E-01,2021-12-12,08:01:11,2021-12-12,08:01:11,2021-12-13,06:35:00,Daily,01:26:11,15.0,5.57,
