Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,01:00:00,Daily,00:23:51,61.0,917.17,
NRG-BN002,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-31,01:05:00,Weekly,00:18:51,49.0,100.96,
NRG-BN003,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,01:10:00,Daily,00:13:51,51.0,79.36,
NRG-BN005,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,01:15:00,Daily,00:08:51,62.0,95.25,
NRG-BN007,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,01:20:00,Daily,00:03:51,73.0,832.19,
NRG-BN009,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,00:55:00,Daily,00:28:51,65.0,7.89,
NRG-BN010,2023-01-24,04:03:51,2023-01-24,04:03:51,2023-01-25,03:59:00,Daily,00:04:51,63.0,14.39,
NRG-BN011,2023-01-23,23:23:51,2023-01-23,23:23:51,2023-01-24,23:24:57,Daily,00:01:06,62.0,46.37,
NRG-BN012,2023-01-24,07:53:51,2023-01-24,07:53:51,2023-01-25,07:45:00,Daily,00:08:51,51.0,1.93,
NRG-BR001,2023-01-24,01:43:51,2023-01-24,01:43:51,2023-01-31,01:25:00,Weekly,00:18:51,45.0,110.77,
NRG-BR002,2023-01-24,02:33:51,2023-01-24,02:33:51,2023-01-25,02:30:00,Daily,00:03:51,55.0,119.43,
NRG-BR003,2023-01-24,01:43:51,2023-01-24,01:43:51,2023-01-31,01:35:00,Weekly,00:08:51,44.0,2611.47,
NRG-BR004,2023-01-24,05:13:51,2023-01-24,05:13:51,2023-01-25,05:10:00,Daily,00:03:51,88.0,2633.92,
NRG-BR005,2023-01-24,01:53:51,2023-01-24,01:53:51,2023-01-25,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2023-01-24,01:53:51,2023-01-24,01:53:51,2023-01-25,01:50:00,Daily,00:03:51,72.0,265.1,
NRG-CC003,2023-01-24,02:13:51,2023-01-24,02:13:51,2023-01-25,02:05:00,Daily,00:08:51,82.0,518.53,
NRG-CC004,2023-01-24,02:13:51,2023-01-24,02:13:51,2023-01-25,02:10:00,Daily,00:03:51,43.0,229.14,
NRG-CC005,2023-01-24,04:13:51,2023-01-24,04:13:51,2023-01-25,04:05:00,Daily,00:08:51,46.0,64.62,
NRG-CC007CD,2023-01-24,02:33:51,2023-01-24,02:33:51,2023-01-25,02:15:00,Daily,00:18:51,34.0,156.89,
NRG-CC008,2023-01-24,02:33:51,2023-01-24,02:33:51,2023-01-25,02:20:00,Daily,00:13:51,63.0,182.31,
NRG-CC009,2023-01-24,02:33:51,2023-01-24,02:33:51,2023-01-25,02:25:00,Daily,00:08:51,65.0,40.19,
NRG-CC010,2023-01-23,18:33:51,,,2023-01-24,18:35:00,Daily,,,,
NRG-DT001,2023-01-24,02:33:51,2023-01-24,02:33:51,2023-01-25,02:30:00,Daily,00:03:51,54.0,125.97,
NRG-GI002,2023-01-24,02:43:51,2023-01-24,02:43:51,2023-01-31,02:35:00,Weekly,00:08:51,59.0,1696.38,
NRG-GI003,2023-01-24,02:43:51,2023-01-24,02:43:51,2023-01-25,02:40:00,Daily,00:03:51,48.0,140.35,
NRG-GI004,2023-01-24,02:53:51,2023-01-24,02:53:51,2023-01-25,02:50:00,Daily,00:03:51,53.0,369.76,
NRG-GI005,2023-01-24,03:03:51,2023-01-24,03:03:51,2023-01-31,02:55:00,Weekly,00:08:51,41.0,133.58,
NRG-GI006,2023-01-24,03:03:51,2023-01-24,03:03:51,2023-01-25,03:00:00,Daily,00:03:51,73.0,317.36,
NRG-GI007,2023-01-24,04:43:51,2023-01-24,04:43:51,2023-01-25,04:40:00,Daily,00:03:51,51.0,9.32,
NRG-GI008,2023-01-24,03:43:51,2023-01-24,03:43:51,2023-01-25,03:43:00,Daily,00:00:51,60.0,22.65,
NRG-GU002,2023-01-24,03:13:51,2023-01-24,03:13:51,2023-01-25,03:05:00,Daily,00:08:51,49.0,224.78,
NRG-GU003,2023-01-24,03:13:51,2023-01-24,03:13:51,2023-01-25,03:10:00,Daily,00:03:51,47.0,239.56,
NRG-GU005,2023-01-24,03:23:51,2023-01-24,03:23:51,2023-01-25,03:15:00,Daily,00:08:51,54.0,638.61,
NRG-GU006,2023-01-24,03:23:51,2023-01-24,03:23:51,2023-01-25,03:20:00,Daily,00:03:51,50.0,426.83,
NRG-GU007,2023-01-24,03:33:51,2023-01-24,03:33:51,2023-01-25,03:25:00,Daily,00:08:51,44.0,65.0,
NRG-GU008,2023-01-24,03:33:51,2023-01-24,03:33:51,2023-01-25,03:30:00,Daily,00:03:51,59.0,216.23,
NRG-GU009,2023-01-24,04:43:51,2023-01-24,04:43:51,2023-01-25,04:35:00,Daily,00:08:51,81.0,508.13,
NRG-GU010,2023-01-24,04:53:51,2023-01-24,04:53:51,2023-01-25,04:45:00,Daily,00:08:51,60.0,125.51,
NRG-GU011,2023-01-24,04:23:51,2023-01-24,04:23:51,2023-01-25,04:15:00,Daily,00:08:51,58.0,29.71,
NRG-GY003,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-31,00:55:00,Weekly,00:28:51,49.0,491.87,
NRG-GY004,2023-01-24,00:53:51,2023-01-24,00:53:51,2023-01-31,00:50:00,Weekly,00:03:51,69.0,4948.9,
NRG-GY005,2023-01-24,00:53:51,2023-01-24,00:53:51,2023-01-25,00:45:00,Daily,00:08:51,67.0,3158.79,
NRG-GY006,2023-01-24,00:53:51,2023-01-24,00:53:51,2023-01-25,00:40:00,Daily,00:13:51,71.0,1762.62,
NRG-GY007,2023-01-24,00:53:51,2023-01-24,00:53:51,2023-01-25,00:35:00,Daily,00:18:51,83.0,1057.24,
NRG-GY009,2023-01-24,00:33:51,2023-01-24,00:33:51,2023-01-25,00:30:00,Daily,00:03:51,77.0,2890.95,
NRG-GY012,2023-01-24,00:33:51,2023-01-24,00:33:51,2023-01-25,00:25:00,Daily,00:08:51,61.0,967.47,
NRG-GY014,2023-01-24,00:33:51,2023-01-24,00:33:51,2023-01-25,00:20:00,Daily,00:13:51,60.0,247.27,
NRG-GY016,2023-01-24,00:33:51,2023-01-24,00:33:51,2023-01-25,00:15:00,Daily,00:18:51,61.0,106.24,
NRG-GY017,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-25,00:10:00,Daily,00:03:51,71.0,208.18,
NRG-GY018,2023-01-24,01:23:51,2023-01-24,01:23:51,2023-01-25,01:05:00,Daily,00:18:51,79.0,4198.78,
NRG-GY019,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-25,00:00:00,Daily,00:13:51,58.0,1463.15,
NRG-GY020,2023-01-24,00:33:51,2023-01-24,00:33:51,2023-01-25,00:30:00,Daily,00:03:51,67.0,428.41,
NRG-GY021,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-24,23:50:00,Daily,23:36:09,64.0,329.22,
NRG-GY022,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-24,23:45:00,Daily,23:31:09,32.0,107.95,
NRG-GY023,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-24,23:40:00,Daily,23:26:09,66.0,287.23,
NRG-GY024,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-24,23:30:00,Daily,23:16:09,13.0,0.36,
NRG-GY025,2023-01-24,00:13:51,2023-01-24,00:13:51,2023-01-24,23:35:00,Daily,23:21:09,64.0,7.78,
NRG-GY026,2023-01-24,01:43:51,2023-01-24,01:43:51,2023-01-25,01:37:00,Daily,00:06:51,73.0,7.7,
NRG-GY027,2023-01-23,23:23:51,2023-01-23,23:23:51,2023-01-24,23:25:00,Daily,00:01:09,68.0,6.52,
NRG-HN001,2023-01-24,05:03:51,2023-01-24,05:03:51,2023-01-25,05:00:00,Daily,00:03:51,71.0,2383.15,
NRG-HN002,2023-01-20,06:13:51,2023-01-20,06:13:51,2023-01-27,06:05:00,Weekly,00:08:51,,,
NRG-HN003,2023-01-24,05:13:51,2023-01-24,05:13:51,2023-01-31,05:10:00,Weekly,00:03:51,45.0,187.98,
NRG-HN004,2023-01-24,05:23:51,2023-01-24,05:23:51,2023-01-25,05:15:00,Daily,00:08:51,74.0,1417.41,
NRG-HN005,2023-01-24,05:23:51,2023-01-24,05:23:51,2023-01-25,05:20:00,Daily,00:03:51,72.0,1123.79,
NRG-HN006,2023-01-23,21:03:51,2023-01-23,21:03:51,2023-01-24,21:04:03,Daily,00:00:12,76.0,138.85,
NRG-HN007,2023-01-24,05:33:51,2023-01-24,05:33:51,2023-01-25,05:30:00,Daily,00:03:51,53.0,71.15,
NRG-HN008,2023-01-24,04:53:51,2023-01-24,04:53:51,2023-01-25,04:50:00,Daily,00:03:51,53.0,28.49,
NRG-HN009,2023-01-24,05:03:51,2023-01-24,05:03:51,2023-01-25,04:55:00,Daily,00:08:51,55.0,179.3,
NRG-LU001,2023-01-24,05:43:51,2023-01-24,05:43:51,2023-01-31,05:35:00,Weekly,00:08:51,59.0,362.38,
NRG-LU002,2023-01-23,15:33:51,2023-01-23,15:33:51,2023-01-24,15:30:12,Daily,00:03:39,64.0,738.09,
