Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
EAY191-N4,2023-06-15,00:30:00,2023-06-15,00:30:00,2023-06-16,00:30:00,Daily,00:00:00,68.0,1.8,
NRG-BN001,2023-06-15,01:00:00,2023-06-15,01:00:00,2023-06-16,01:00:00,Daily,00:00:00,61.0,1004.02,
NRG-BN002,2023-06-13,01:10:00,2023-06-13,01:10:00,2023-06-20,01:05:00,Weekly,00:05:00,,,
NRG-BN003,2023-06-15,01:10:00,2023-06-15,01:10:00,2023-06-16,01:10:00,Daily,00:00:00,51.0,90.01,
NRG-BN005,2023-06-15,01:20:00,2023-06-15,01:20:00,2023-06-16,01:15:00,Daily,00:05:00,62.0,115.62,
NRG-BN007,2023-06-15,01:20:00,2023-06-15,01:20:00,2023-06-16,01:20:00,Daily,00:00:00,73.0,881.74,
NRG-BN009,2023-06-15,01:00:00,2023-06-15,01:00:00,2023-06-16,00:55:00,Daily,00:05:00,65.0,10.05,
NRG-BN010,2023-06-15,04:00:00,2023-06-15,04:00:00,2023-06-16,03:59:00,Daily,00:01:00,63.0,23.81,
NRG-BN011,2023-06-14,23:30:00,2023-06-14,23:30:00,2023-06-15,23:24:57,Daily,00:05:03,62.0,125.59,
NRG-BN012,2023-06-15,07:50:00,2023-06-15,07:50:00,2023-06-16,07:45:00,Daily,00:05:00,51.0,10.56,
NRG-BR001,2023-06-13,01:30:00,2023-06-13,01:30:00,2023-06-20,01:25:00,Weekly,00:05:00,,,
NRG-BR002,2023-06-15,02:30:00,2023-06-15,02:30:00,2023-06-16,02:30:00,Daily,00:00:00,55.0,121.09,
NRG-BR003,2023-06-13,01:40:00,2023-06-13,01:40:00,2023-06-20,01:35:00,Weekly,00:05:00,,,
NRG-BR004,2023-06-15,05:10:00,2023-06-15,05:10:00,2023-06-16,05:10:00,Daily,00:00:00,88.0,2661.7,
NRG-BR005,2023-06-15,01:50:00,2023-06-15,01:50:00,2023-06-16,01:45:00,Daily,00:05:00,33.0,25.09,
NRG-BR007,2023-06-15,01:50:00,2023-06-15,01:50:00,2023-06-16,01:50:00,Daily,00:00:00,72.0,375.84,
NRG-CC003,2023-06-15,02:10:00,2023-06-15,02:10:00,2023-06-16,02:05:00,Daily,00:05:00,82.0,532.68,
NRG-CC004,2023-06-15,02:10:00,2023-06-15,02:10:00,2023-06-16,02:10:00,Daily,00:00:00,43.0,229.14,
NRG-CC005,2023-06-15,04:10:00,2023-06-15,04:10:00,2023-06-16,04:05:00,Daily,00:05:00,46.0,137.71,
NRG-CC007CD,2023-06-15,02:20:00,2023-06-15,02:20:00,2023-06-16,02:15:00,Daily,00:05:00,34.0,167.02,
NRG-CC008,2023-06-15,02:20:00,2023-06-15,02:20:00,2023-06-16,02:20:00,Daily,00:00:00,63.0,246.21,
NRG-CC009,2023-06-15,02:30:00,2023-06-15,02:30:00,2023-06-16,02:25:00,Daily,00:05:00,65.0,51.54,
NRG-CC010,2023-06-14,18:40:00,2023-06-14,18:40:00,2023-06-15,18:35:00,Daily,00:05:00,43.0,4.58,
NRG-DT001,2023-06-15,02:30:00,2023-06-15,02:30:00,2023-06-16,02:30:00,Daily,00:00:00,54.0,127.75,
NRG-GI002,2023-06-13,02:40:00,2023-06-13,02:40:00,2023-06-20,02:35:00,Weekly,00:05:00,,,
NRG-GI003,2023-06-15,02:40:00,2023-06-15,02:40:00,2023-06-16,02:40:00,Daily,00:00:00,48.0,155.32,
NRG-GI004,2023-06-15,02:50:00,2023-06-15,02:50:00,2023-06-16,02:50:00,Daily,00:00:00,56.0,412.03,
NRG-GI005,2023-06-10,03:00:00,2023-06-10,03:00:00,2023-06-17,02:55:00,Weekly,00:05:00,,,
NRG-GI006,2023-06-15,03:00:00,2023-06-15,03:00:00,2023-06-16,03:00:00,Daily,00:00:00,73.0,352.83,
