Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:30:00,Daily,00:00:00,68,20.08,0,
NRG-BN001,2023-11-07,01:10:00,2023-11-07,01:10:00,2023-11-08,01:00:00,Daily,00:10:00,61,1008.34,0,
NRG-BN002,2023-11-07,01:10:00,2023-11-07,01:10:00,2023-11-14,01:05:00,Weekly,00:05:00,49,100.96,0,
NRG-BN003,2023-11-07,01:10:00,2023-11-07,01:10:00,2023-11-08,01:10:00,Daily,00:00:00,51,98.58,0,
NRG-BN005,2023-11-07,01:20:00,2023-11-07,01:20:00,2023-11-08,01:15:00,Daily,00:05:00,62,135.86,0,
NRG-BN007,2023-11-07,01:20:00,2023-11-07,01:20:00,2023-11-08,01:20:00,Daily,00:00:00,73,896.64,0,
NRG-BN009,2023-11-07,01:10:00,2023-11-07,01:10:00,2023-11-08,00:55:00,Daily,00:15:00,65,15.67,0,
NRG-BN010,2023-11-07,04:00:00,2023-11-07,04:00:00,2023-11-08,03:59:00,Daily,00:01:00,63,37.1,0,
NRG-BN011,2023-11-06,23:30:00,2023-11-06,23:30:00,2023-11-07,23:24:57,Daily,00:05:03,62,213.0,0,
NRG-BN012,2023-11-07,07:50:00,2023-11-07,07:50:00,2023-11-08,07:45:00,Daily,00:05:00,51,25.15,0,
NRG-BR001,2023-11-07,01:30:00,2023-11-07,01:30:00,2023-11-14,01:25:00,Weekly,00:05:00,45,110.77,0,
NRG-BR002,2023-11-07,02:30:00,2023-11-07,02:30:00,2023-11-08,02:30:00,Daily,00:00:00,55,123.18,0,
NRG-BR003,2023-11-07,01:40:00,2023-11-07,01:40:00,2023-11-14,01:35:00,Weekly,00:05:00,44,2618.53,0,
NRG-BR004,2023-11-07,05:10:00,2023-11-07,05:10:00,2023-11-08,05:10:00,Daily,00:00:00,88,2675.37,0,
NRG-BR005,2023-11-07,01:50:00,2023-11-07,01:50:00,2023-11-08,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2023-11-07,01:50:00,2023-11-07,01:50:00,2023-11-08,01:50:00,Daily,00:00:00,72,454.48,0,
NRG-BR008,2023-11-06,23:20:00,2023-11-06,23:20:00,2023-11-07,23:20:00,Daily,00:00:00,70,3.92,0,
NRG-CC003,2023-11-07,02:10:00,2023-11-07,02:10:00,2023-11-08,02:05:00,Daily,00:05:00,82,539.6,0,
NRG-CC004,2023-11-07,02:10:00,2023-11-07,02:10:00,2023-11-08,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2023-11-07,04:10:00,2023-11-07,04:10:00,2023-11-08,04:05:00,Daily,00:05:00,46,212.0,0,
NRG-CC007CD,2023-11-07,02:20:00,2023-11-07,02:20:00,2023-11-08,02:15:00,Daily,00:05:00,34,177.92,0,
NRG-CC008,2023-11-07,02:20:00,2023-11-07,02:20:00,2023-11-08,02:20:00,Daily,00:00:00,63,322.31,0,
NRG-CC009,2023-11-07,02:30:00,2023-11-07,02:30:00,2023-11-08,02:25:00,Daily,00:05:00,65,67.73,0,
NRG-CC010,2023-11-06,18:40:00,2023-11-06,18:40:00,2023-11-07,18:35:00,Daily,00:05:00,43,14.44,0,
NRG-DT001,2023-11-07,02:30:00,2023-11-07,02:30:00,2023-11-08,02:30:00,Daily,00:00:00,54,130.09,0,
NRG-GI002,2023-11-07,02:40:00,2023-11-07,02:40:00,2023-11-14,02:35:00,Weekly,00:05:00,59,1700.15,0,
NRG-GI003,2023-11-07,02:40:00,2023-11-07,02:40:00,2023-11-08,02:40:00,Daily,00:00:00,48,169.27,0,
NRG-GI004,2023-11-07,02:50:00,2023-11-07,02:50:00,2023-11-08,02:50:00,Daily,00:00:00,56,433.92,0,
NRG-GI005,2023-11-04,03:00:00,2023-11-04,03:00:00,2023-11-11,02:55:00,Weekly,00:05:00,0,,0,
NRG-GI006,2023-11-07,03:00:00,2023-11-07,03:00:00,2023-11-08,03:00:00,Daily,00:00:00,73,416.13,0,
NRG-GI007,2023-11-07,04:40:00,2023-11-07,04:40:00,2023-11-08,04:40:00,Daily,00:00:00,51,16.17,0,
NRG-GI008,2023-11-07,03:50:00,2023-11-07,03:50:00,2023-11-08,03:43:00,Daily,00:07:00,61,129.23,0,
NRG-GU002,2023-11-07,03:10:00,2023-11-07,03:10:00,2023-11-08,03:05:00,Daily,00:05:00,49,246.05,0,
NRG-GU003,2023-11-07,03:10:00,2023-11-07,03:10:00,2023-11-08,03:10:00,Daily,00:00:00,47,258.15,0,
NRG-GU005,2023-11-07,03:20:00,2023-11-07,03:20:00,2023-11-08,03:15:00,Daily,00:05:00,54,712.21,0,
NRG-GU006,2023-11-07,03:20:00,2023-11-07,03:20:00,2023-11-08,03:20:00,Daily,00:00:00,50,463.96,0,
NRG-GU007,2023-11-07,03:30:00,2023-11-07,03:30:00,2023-11-08,03:25:00,Daily,00:05:00,44,84.84,0,
NRG-GU008,2023-11-07,03:30:00,2023-11-07,03:30:00,2023-11-08,03:30:00,Daily,00:00:00,59,378.58,0,
NRG-GU009,2023-11-07,04:40:00,2023-11-07,04:40:00,2023-11-08,04:35:00,Daily,00:05:00,81,1544.45,0,
NRG-GU010,2023-11-07,04:50:00,2023-11-07,04:50:00,2023-11-08,04:45:00,Daily,00:05:00,60,678.53,0,
NRG-GU011,2023-11-07,04:20:00,2023-11-07,04:20:00,2023-11-08,04:15:00,Daily,00:05:00,58,89.62,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59,7.05,0,
NRG-GU012,2023-11-07,07:50:00,2023-11-07,07:50:00,2023-11-08,07:50:00,Daily,00:00:00,59,7.05,0,
NRG-GY003,2023-11-07,01:10:00,2023-11-07,01:10:00,2023-11-14,00:55:00,Weekly,00:15:00,49,492.25,0,
NRG-GY004,2023-11-07,00:50:00,2023-11-07,00:50:00,2023-11-14,00:50:00,Weekly,00:00:00,69,4986.75,0,
NRG-GY005,2023-11-07,00:50:00,2023-11-07,00:50:00,2023-11-08,00:45:00,Daily,00:05:00,67,3179.32,0,
NRG-GY006,2023-11-07,00:50:00,2023-11-07,00:50:00,2023-11-08,00:40:00,Daily,00:10:00,71,1823.31,0,
NRG-GY007,2023-11-07,00:50:00,2023-11-07,00:50:00,2023-11-08,00:35:00,Daily,00:15:00,83,1068.57,0,
NRG-GY009,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:30:00,Daily,00:00:00,77,2953.07,0,
NRG-GY012,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:25:00,Daily,00:05:00,68,1476.61,0,
NRG-GY014,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:20:00,Daily,00:10:00,60,265.13,0,
NRG-GY016,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:15:00,Daily,00:15:00,61,106.82,0,
NRG-GY017,2023-11-07,00:10:00,2023-11-07,00:10:00,2023-11-08,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2023-11-07,00:10:00,2023-11-07,00:10:00,2023-11-08,00:05:00,Daily,00:05:00,58,4362.97,0,
NRG-GY019,2023-11-07,00:00:00,2023-11-07,00:00:00,2023-11-08,00:00:00,Daily,00:00:00,58,2297.78,0,
NRG-GY020,2023-11-07,00:30:00,2023-11-07,00:30:00,2023-11-08,00:30:00,Daily,00:00:00,67,505.36,0,
NRG-GY021,2023-11-06,23:50:00,2023-11-06,23:50:00,2023-11-07,23:50:00,Daily,00:00:00,64,332.41,0,
NRG-GY022,2023-11-06,23:50:00,2023-11-06,23:50:00,2023-11-07,23:45:00,Daily,00:05:00,32,119.74,0,
NRG-GY023,2023-11-06,23:40:00,2023-11-06,23:40:00,2023-11-07,23:40:00,Daily,00:00:00,68,400.36,0,
NRG-GY024,2023-11-06,23:30:00,2023-11-06,23:30:00,2023-11-07,23:30:00,Daily,00:00:00,13,0.64,0,
NRG-GY025,2023-11-06,23:40:00,2023-11-06,23:40:00,2023-11-07,23:35:00,Daily,00:05:00,64,44.24,0,
NRG-GY026,2023-11-07,01:40:00,2023-11-07,01:40:00,2023-11-08,01:37:00,Daily,00:03:00,72,201.3,0,
NRG-GY027,2023-11-06,23:30:00,2023-11-06,23:30:00,2023-11-07,23:25:00,Daily,00:05:00,68,33.34,0,
NRG-GY028,2023-11-07,03:20:00,2023-11-07,03:20:00,2023-11-08,03:15:00,Daily,00:05:00,64,14.52,0,
NRG-HN001,2023-11-07,05:00:00,2023-11-07,05:00:00,2023-11-08,05:00:00,Daily,00:00:00,71,2583.32,0,
NRG-HN002,2023-11-03,06:20:00,2023-11-03,06:20:00,2023-11-10,06:05:00,Weekly,00:15:00,0,,0,
NRG-HN003,2023-11-07,05:10:00,2023-11-07,05:10:00,2023-11-14,05:10:00,Weekly,00:00:00,45,187.98,0,
NRG-HN004,2023-11-07,05:20:00,2023-11-07,05:20:00,2023-11-08,05:15:00,Daily,00:05:00,74,1454.98,0,
NRG-HN005,2023-11-07,05:20:00,2023-11-07,05:20:00,2023-11-08,05:20:00,Daily,00:00:00,72,1462.5,0,
NRG-HN006,2023-11-06,21:10:00,2023-11-06,21:10:00,2023-11-07,21:04:03,Daily,00:05:57,76,212.12,0,
NRG-HN007,2023-11-07,05:30:00,2023-11-07,05:30:00,2023-11-08,05:30:00,Daily,00:00:00,53,72.84,0,
NRG-HN008,2023-11-07,04:50:00,2023-11-07,04:50:00,2023-11-08,04:50:00,Daily,00:00:00,53,35.16,0,
NRG-HN009,2023-11-07,05:00:00,2023-11-07,05:00:00,2023-11-08,04:55:00,Daily,00:05:00,55,529.63,0,
NRG-HN010,2023-11-07,07:00:00,2023-11-07,07:00:00,2023-11-08,06:55:00,Daily,00:05:00,42,5.43,0,
NRG-LU001,2023-11-07,05:40:00,2023-11-07,05:40:00,2023-11-14,05:35:00,Weekly,00:05:00,59,363.52,0,
NRG-LU002,2023-11-06,15:40:00,2023-11-06,15:40:00,2023-11-07,15:30:12,Daily,00:09:48,64,799.67,0,
NRG-LU003,2023-11-07,05:50:00,2023-11-07,05:50:00,2023-11-14,05:45:00,Weekly,00:05:00,43,82.69,0,
NRG-LU004,2023-11-07,05:50:00,2023-11-07,05:50:00,2023-11-08,05:50:00,Daily,00:00:00,46,136.0,0,
NRG-LU005,2023-11-07,06:00:00,2023-11-07,06:00:00,2023-11-08,05:55:00,Daily,00:05:00,84,4040.95,0,
NRG-LU006,2023-11-07,06:00:00,2023-11-07,06:00:00,2023-11-08,06:00:00,Daily,00:00:00,56,32.19,0,
NRG-LU007,2023-11-07,06:20:00,2023-11-07,06:20:00,2023-11-08,06:05:00,Daily,00:15:00,53,184.93,0,
NRG-LU008,2023-11-06,15:50:00,2023-11-06,15:50:00,2023-11-07,15:48:00,Daily,00:02:00,67,15.43,0,
NSABP-B-55,2023-11-07,02:00:00,2023-11-07,02:00:00,2023-11-08,01:57:00,Daily,00:03:00,117,2146.64,0,
RTOG-0534,2023-11-07,02:00:00,2023-11-07,02:00:00,2023-11-08,02:00:00,Daily,00:00:00,21,63.35,0,
RTOG-0724,2023-11-07,02:10:00,2023-11-07,02:10:00,2023-11-08,02:03:00,Daily,00:07:00,22,8.94,0,
RTOG-0815,2023-11-07,02:10:00,2023-11-07,02:10:00,2023-11-08,02:05:00,Daily,00:05:00,21,50.2,0,
