Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Outdated Files Present,Problem Detected
EAY191-N4,2023-09-21,00:30:00,2023-09-21,00:30:00,2023-09-22,00:30:00,Daily,00:00:00,68.0,10.13,0,
NRG-BN001,2023-09-21,01:10:00,2023-09-21,01:10:00,2023-09-22,01:00:00,Daily,00:10:00,61.0,1006.39,0,
NRG-BN002,2023-09-19,01:20:00,2023-09-19,01:20:00,2023-09-26,01:05:00,Weekly,00:15:00,,,0,
NRG-BN003,2023-09-21,01:10:00,2023-09-21,01:10:00,2023-09-22,01:10:00,Daily,00:00:00,51.0,95.41,0,
NRG-BN005,2023-09-21,01:20:00,2023-09-21,01:20:00,2023-09-22,01:15:00,Daily,00:05:00,62.0,131.33,0,
NRG-BN007,2023-09-21,01:20:00,2023-09-21,01:20:00,2023-09-22,01:20:00,Daily,00:00:00,73.0,893.93,0,
NRG-BN009,2023-09-21,01:10:00,2023-09-21,01:10:00,2023-09-22,00:55:00,Daily,00:15:00,65.0,12.08,0,
NRG-BN010,2023-09-21,04:00:00,2023-09-21,04:00:00,2023-09-22,03:59:00,Daily,00:01:00,63.0,32.84,0,
NRG-BN011,2023-09-20,23:30:00,2023-09-20,23:30:00,2023-09-21,23:24:57,Daily,00:05:03,62.0,184.59,62,[D] Outdated Files Detected
NRG-BN012,2023-09-21,07:50:00,2023-09-21,07:50:00,2023-09-22,07:45:00,Daily,00:05:00,51.0,19.68,0,
NRG-BR001,2023-09-19,01:30:00,2023-09-19,01:30:00,2023-09-26,01:25:00,Weekly,00:05:00,,,0,
NRG-BR002,2023-09-21,02:30:00,2023-09-21,02:30:00,2023-09-22,02:30:00,Daily,00:00:00,55.0,122.72,0,
NRG-BR003,2023-09-19,01:40:00,2023-09-19,01:40:00,2023-09-26,01:35:00,Weekly,00:05:00,,,0,
NRG-BR004,2023-09-21,05:10:00,2023-09-21,05:10:00,2023-09-22,05:10:00,Daily,00:00:00,88.0,2673.43,0,
NRG-BR005,2023-09-21,01:50:00,2023-09-21,01:50:00,2023-09-22,01:45:00,Daily,00:05:00,35.0,27.31,0,
NRG-BR007,2023-09-21,01:50:00,2023-09-21,01:50:00,2023-09-22,01:50:00,Daily,00:00:00,72.0,431.7,0,
NRG-CC003,2023-09-21,02:10:00,2023-09-21,02:10:00,2023-09-22,02:05:00,Daily,00:05:00,82.0,537.39,0,
NRG-CC004,2023-09-21,02:10:00,2023-09-21,02:10:00,2023-09-22,02:10:00,Daily,00:00:00,43.0,229.14,0,
NRG-CC005,2023-09-21,04:10:00,2023-09-21,04:10:00,2023-09-22,04:05:00,Daily,00:05:00,46.0,188.74,0,
NRG-CC007CD,2023-09-21,02:20:00,2023-09-21,02:20:00,2023-09-22,02:15:00,Daily,00:05:00,34.0,174.31,0,
NRG-CC008,2023-09-21,02:20:00,2023-09-21,02:20:00,2023-09-22,02:20:00,Daily,00:00:00,63.0,295.63,0,
NRG-CC009,2023-09-21,02:30:00,2023-09-21,02:30:00,2023-09-22,02:25:00,Daily,00:05:00,65.0,57.89,0,
NRG-CC010,2023-09-20,18:40:00,2023-09-20,18:40:00,2023-09-21,18:35:00,Daily,00:05:00,43.0,10.52,43,[D] Outdated Files Detected
NRG-DT001,2023-09-21,02:30:00,2023-09-21,02:30:00,2023-09-22,02:30:00,Daily,00:00:00,54.0,129.86,0,
NRG-GI002,2023-09-19,02:40:00,2023-09-19,02:40:00,2023-09-26,02:35:00,Weekly,00:05:00,,,0,
NRG-GI003,2023-09-21,02:40:00,2023-09-21,02:40:00,2023-09-22,02:40:00,Daily,00:00:00,48.0,163.27,0,
NRG-GI004,2023-09-21,02:50:00,2023-09-21,02:50:00,2023-09-22,02:50:00,Daily,00:00:00,56.0,426.4,0,
NRG-GI005,2023-09-16,03:00:00,2023-09-16,03:00:00,2023-09-23,02:55:00,Weekly,00:05:00,,,0,
NRG-GI006,2023-09-21,03:00:00,2023-09-21,03:00:00,2023-09-22,03:00:00,Daily,00:00:00,73.0,390.35,0,
NRG-GI007,2023-09-21,04:40:00,2023-09-21,04:40:00,2023-09-22,04:40:00,Daily,00:00:00,51.0,15.13,0,
NRG-GI008,2023-09-21,03:50:00,2023-09-21,03:50:00,2023-09-22,03:43:00,Daily,00:07:00,60.0,112.32,0,
NRG-GU002,2023-09-21,03:10:00,2023-09-21,03:10:00,2023-09-22,03:05:00,Daily,00:05:00,49.0,242.77,0,
NRG-GU003,2023-09-21,03:10:00,2023-09-21,03:10:00,2023-09-22,03:10:00,Daily,00:00:00,47.0,256.5,0,
NRG-GU005,2023-09-21,03:20:00,2023-09-21,03:20:00,2023-09-22,03:15:00,Daily,00:05:00,54.0,703.48,0,
NRG-GU006,2023-09-21,03:20:00,2023-09-21,03:20:00,2023-09-22,03:20:00,Daily,00:00:00,50.0,461.08,0,
NRG-GU007,2023-09-21,03:30:00,2023-09-21,03:30:00,2023-09-22,03:25:00,Daily,00:05:00,44.0,82.3,0,
NRG-GU008,2023-09-21,03:30:00,2023-09-21,03:30:00,2023-09-22,03:30:00,Daily,00:00:00,59.0,349.06,0,
NRG-GU009,2023-09-21,04:40:00,2023-09-21,04:40:00,2023-09-22,04:35:00,Daily,00:05:00,10.0,116.42,10,[D] Outdated Files Detected
NRG-GU010,2023-09-21,04:50:00,2023-09-21,04:50:00,2023-09-22,04:45:00,Daily,00:05:00,60.0,456.79,0,
NRG-GU011,2023-09-21,04:20:00,2023-09-21,04:20:00,2023-09-22,04:15:00,Daily,00:05:00,58.0,64.04,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59.0,6.03,0,
NRG-GU012,2023-09-21,07:50:00,2023-09-21,07:50:00,2023-09-22,07:50:00,Daily,00:00:00,59.0,6.03,0,
NRG-GY003,2023-09-19,01:20:00,2023-09-19,01:20:00,2023-09-26,00:55:00,Weekly,00:25:00,,,0,
NRG-GY004,2023-09-19,00:50:00,2023-09-19,00:50:00,2023-09-26,00:50:00,Weekly,00:00:00,,,0,
NRG-GY005,2023-09-21,00:50:00,2023-09-21,00:50:00,2023-09-22,00:45:00,Daily,00:05:00,67.0,3177.77,0,
NRG-GY006,2023-09-21,00:50:00,2023-09-21,00:50:00,2023-09-22,00:40:00,Daily,00:10:00,71.0,1816.49,0,
NRG-GY007,2023-09-21,00:50:00,2023-09-21,00:50:00,2023-09-22,00:35:00,Daily,00:15:00,83.0,1067.53,0,
NRG-GY009,2023-09-21,00:30:00,2023-09-21,00:30:00,2023-09-22,00:30:00,Daily,00:00:00,77.0,2944.55,0,
NRG-GY012,2023-09-21,00:30:00,2023-09-21,00:30:00,2023-09-22,00:25:00,Daily,00:05:00,68.0,1415.86,0,
NRG-GY014,2023-09-21,00:30:00,2023-09-21,00:30:00,2023-09-22,00:20:00,Daily,00:10:00,60.0,263.1,0,
NRG-GY016,2023-09-21,00:30:00,2023-09-21,00:30:00,2023-09-22,00:15:00,Daily,00:15:00,61.0,106.36,0,
NRG-GY017,2023-09-21,00:10:00,2023-09-21,00:10:00,2023-09-22,00:10:00,Daily,00:00:00,71.0,208.2,0,
NRG-GY018,2023-09-21,00:10:00,2023-09-21,00:10:00,2023-09-22,00:05:00,Daily,00:05:00,84.0,17652.56,0,
NRG-GY019,2023-09-21,00:00:00,2023-09-21,00:00:00,2023-09-22,00:00:00,Daily,00:00:00,58.0,2161.73,0,
