Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-08-22,01:13:51,2022-08-22,01:13:51,2022-08-23,01:00:00,Daily,00:13:51,61.0,901.04,
NRG-BN002,2022-08-16,01:33:51,2022-08-16,01:33:51,2022-08-23,01:05:00,Weekly,00:28:51,,,
NRG-BN003,2022-08-22,01:13:51,2022-08-22,01:13:51,2022-08-23,01:10:00,Daily,00:03:51,51.0,89.32,
NRG-BN005,2022-08-22,01:33:51,2022-08-22,01:33:51,2022-08-23,01:15:00,Daily,00:18:51,62.0,102.6,
NRG-BN007,2022-08-22,01:33:51,2022-08-22,01:33:51,2022-08-23,01:20:00,Daily,00:13:51,73.0,719.77,
NRG-BN009,2022-08-22,01:13:51,2022-08-22,01:13:51,2022-08-23,00:55:00,Daily,00:18:51,65.0,33.57,
NRG-BN010,2022-08-22,04:03:51,2022-08-22,04:03:51,2022-08-23,03:59:00,Daily,00:04:51,63.0,33.43,
NRG-BN011,2022-08-21,23:23:51,2022-08-21,23:23:51,2022-08-22,23:24:57,Daily,00:01:06,62.0,34.91,
NRG-BR001,2022-08-16,01:33:51,2022-08-16,01:33:51,2022-08-23,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2022-08-22,02:33:51,2022-08-22,02:33:51,2022-08-23,02:30:00,Daily,00:03:51,55.0,135.23,
NRG-BR003,2022-08-16,01:53:51,2022-08-16,01:53:51,2022-08-23,01:35:00,Weekly,00:18:51,,,
NRG-BR004,2022-08-22,01:43:51,2022-08-22,01:43:51,2022-08-23,01:40:00,Daily,00:03:51,85.0,2625.03,
NRG-BR005,2022-08-22,01:53:51,2022-08-22,01:53:51,2022-08-23,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-08-22,01:53:51,2022-08-22,01:53:51,2022-08-23,01:50:00,Daily,00:03:51,72.0,181.76,
NRG-CC003,2022-08-22,02:13:51,2022-08-22,02:13:51,2022-08-23,02:05:00,Daily,00:08:51,82.0,508.4,
NRG-CC004,2022-08-22,02:13:51,2022-08-22,02:13:51,2022-08-23,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC005,2022-08-22,04:13:51,2022-08-22,04:13:51,2022-08-23,04:05:00,Daily,00:08:51,46.0,43.68,
NRG-CC007CD,2022-08-22,02:23:51,2022-08-22,02:23:51,2022-08-23,02:15:00,Daily,00:08:51,34.0,152.57,
NRG-CC008,2022-08-22,02:23:51,2022-08-22,02:23:51,2022-08-23,02:20:00,Daily,00:03:51,63.0,144.43,
NRG-CC009,2022-08-22,02:33:51,2022-08-22,02:33:51,2022-08-23,02:25:00,Daily,00:08:51,65.0,47.32,
NRG-DT001,2022-08-22,02:33:51,2022-08-22,02:33:51,2022-08-23,02:30:00,Daily,00:03:51,52.0,132.85,
NRG-GI002,2022-08-16,02:43:51,2022-08-16,02:43:51,2022-08-23,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-08-22,02:43:51,2022-08-22,02:43:51,2022-08-23,02:40:00,Daily,00:03:51,48.0,130.24,
NRG-GI004,2022-08-22,02:53:51,2022-08-22,02:53:51,2022-08-23,02:50:00,Daily,00:03:51,53.0,353.17,
NRG-GI005,2022-08-16,03:03:51,2022-08-16,03:03:51,2022-08-23,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-08-22,03:03:51,2022-08-22,03:03:51,2022-08-23,03:00:00,Daily,00:03:51,73.0,295.48,
NRG-GI007,2022-08-22,04:43:51,2022-08-22,04:43:51,2022-08-23,04:40:00,Daily,00:03:51,51.0,27.69,
NRG-GU002,2022-08-22,03:13:51,2022-08-22,03:13:51,2022-08-23,03:05:00,Daily,00:08:51,49.0,223.22,
NRG-GU003,2022-08-22,03:13:51,2022-08-22,03:13:51,2022-08-23,03:10:00,Daily,00:03:51,47.0,247.39,
NRG-GU005,2022-08-22,03:23:51,2022-08-22,03:23:51,2022-08-23,03:15:00,Daily,00:08:51,54.0,588.37,
NRG-GU006,2022-08-22,03:23:51,2022-08-22,03:23:51,2022-08-23,03:20:00,Daily,00:03:51,50.0,413.82,
NRG-GU007,2022-08-22,03:33:51,2022-08-22,03:33:51,2022-08-23,03:25:00,Daily,00:08:51,44.0,69.42,
NRG-GU008,2022-08-22,03:33:51,2022-08-22,03:33:51,2022-08-23,03:30:00,Daily,00:03:51,59.0,156.28,
NRG-GU009,2022-08-22,03:43:51,2022-08-22,03:43:51,2022-08-23,03:35:00,Daily,00:08:51,77.0,254.01,
NRG-GU010,2022-08-22,04:53:51,2022-08-22,04:53:51,2022-08-23,04:45:00,Daily,00:08:51,60.0,58.41,
NRG-GU011,2022-08-22,04:23:51,2022-08-22,04:23:51,2022-08-23,04:15:00,Daily,00:08:51,58.0,39.99,
NRG-GY003,2022-08-16,01:03:51,2022-08-16,01:03:51,2022-08-23,00:55:00,Weekly,00:08:51,,,
NRG-GY004,2022-08-16,01:03:51,2022-08-16,01:03:51,2022-08-23,00:50:00,Weekly,00:13:51,,,
NRG-GY005,2022-08-22,00:53:51,2022-08-22,00:53:51,2022-08-23,00:45:00,Daily,00:08:51,67.0,3060.92,
NRG-GY006,2022-08-22,00:53:51,2022-08-22,00:53:51,2022-08-23,00:40:00,Daily,00:13:51,71.0,1595.95,
NRG-GY007,2022-08-22,00:53:51,2022-08-22,00:53:51,2022-08-23,00:35:00,Daily,00:18:51,83.0,1051.81,
NRG-GY009,2022-08-22,00:33:51,2022-08-22,00:33:51,2022-08-23,00:30:00,Daily,00:03:51,77.0,2753.64,
NRG-GY012,2022-08-22,00:33:51,2022-08-22,00:33:51,2022-08-23,00:25:00,Daily,00:08:51,61.0,826.38,
NRG-GY014,2022-08-22,00:23:51,2022-08-22,00:23:51,2022-08-23,00:20:00,Daily,00:03:51,60.0,241.75,
NRG-GY016,2022-08-22,00:23:51,2022-08-22,00:23:51,2022-08-23,00:15:00,Daily,00:08:51,61.0,128.21,
NRG-GY017,2022-08-22,00:13:51,2022-08-22,00:13:51,2022-08-23,00:10:00,Daily,00:03:51,71.0,231.76,
NRG-GY018,2022-08-22,01:13:51,2022-08-22,01:13:51,2022-08-23,01:05:00,Daily,00:08:51,79.0,2992.23,
NRG-GY019,2022-08-22,00:03:51,2022-08-22,00:03:51,2022-08-23,00:00:00,Daily,00:03:51,58.0,1108.01,
NRG-GY020,2022-08-22,00:33:51,2022-08-22,00:33:51,2022-08-23,00:30:00,Daily,00:03:51,67.0,363.57,
NRG-GY021,2022-08-22,00:03:51,2022-08-22,00:03:51,2022-08-22,23:50:00,Daily,23:46:09,64.0,336.45,
NRG-GY022,2022-08-21,23:43:51,2022-08-21,23:43:51,2022-08-22,23:45:00,Daily,00:01:09,32.0,110.22,
NRG-GY023,2022-08-21,23:43:51,2022-08-21,00:53:51,2022-08-22,23:40:00,Daily,22:46:09,,,
NRG-GY024,2022-08-21,23:43:51,2022-08-21,23:43:51,2022-08-22,23:30:00,Daily,00:13:51,13.0,5.95,
NRG-GY025,2022-08-21,23:43:51,2022-08-21,23:43:51,2022-08-22,23:35:00,Daily,00:08:51,64.0,32.78,
NRG-HN001,2022-08-22,05:03:51,2022-08-22,05:03:51,2022-08-23,05:00:00,Daily,00:03:51,71.0,2211.06,
NRG-HN002,2022-08-19,06:23:51,2022-08-19,06:23:51,2022-08-26,06:05:00,Weekly,00:18:51,,,
NRG-HN003,2022-08-16,05:13:51,2022-08-16,05:13:51,2022-08-23,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2022-08-22,05:23:51,2022-08-22,05:23:51,2022-08-23,05:15:00,Daily,00:08:51,74.0,1393.31,
NRG-HN005,2022-08-22,05:23:51,2022-08-22,05:23:51,2022-08-23,05:20:00,Daily,00:03:51,72.0,968.63,
NRG-HN006,2022-08-21,21:03:51,2022-08-21,21:03:51,2022-08-22,21:04:03,Daily,00:00:12,76.0,128.62,
NRG-HN007,2022-08-22,05:33:51,2022-08-22,05:33:51,2022-08-23,05:30:00,Daily,00:03:51,53.0,84.22,
