Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2023-03-29,01:03:51,2023-03-29,01:03:51,2023-03-30,01:00:00,Daily,00:03:51,61.0,919.79,
NRG-BN002,2023-03-28,01:23:51,2023-03-28,01:23:51,2023-04-04,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2023-03-29,01:13:51,2023-03-29,01:13:51,2023-03-30,01:10:00,Daily,00:03:51,51.0,85.19,
NRG-BN005,2023-03-29,01:23:51,2023-03-29,01:23:51,2023-03-30,01:15:00,Daily,00:08:51,62.0,107.15,
NRG-BN007,2023-03-29,01:23:51,2023-03-29,01:23:51,2023-03-30,01:20:00,Daily,00:03:51,73.0,867.15,
NRG-BN009,2023-03-29,01:03:51,2023-03-29,01:03:51,2023-03-30,00:55:00,Daily,00:08:51,65.0,9.74,
NRG-BN010,2023-03-29,04:03:51,2023-03-29,04:03:51,2023-03-30,03:59:00,Daily,00:04:51,63.0,18.81,
NRG-BN011,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:24:57,Daily,23:11:06,62.0,79.48,
NRG-BN012,2023-03-29,07:53:51,2023-03-29,07:53:51,2023-03-30,07:45:00,Daily,00:08:51,51.0,5.0,
NRG-BR001,2023-03-28,01:33:51,2023-03-28,01:33:51,2023-04-04,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2023-03-29,02:33:51,2023-03-29,02:33:51,2023-03-30,02:30:00,Daily,00:03:51,55.0,120.26,
NRG-BR003,2023-03-28,01:43:51,2023-03-28,01:43:51,2023-04-04,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2023-03-29,05:13:51,2023-03-29,05:13:51,2023-03-30,05:10:00,Daily,00:03:51,88.0,2651.07,
NRG-BR005,2023-03-29,01:53:51,2023-03-29,01:53:51,2023-03-30,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2023-03-29,01:53:51,2023-03-29,01:53:51,2023-03-30,01:50:00,Daily,00:03:51,72.0,326.22,
NRG-CC003,2023-03-29,02:13:51,2023-03-29,02:13:51,2023-03-30,02:05:00,Daily,00:08:51,82.0,527.26,
NRG-CC004,2023-03-29,02:13:51,2023-03-29,02:13:51,2023-03-30,02:10:00,Daily,00:03:51,43.0,229.14,
NRG-CC005,2023-03-29,04:13:51,2023-03-29,04:13:51,2023-03-30,04:05:00,Daily,00:08:51,46.0,97.92,
NRG-CC007CD,2023-03-29,02:23:51,2023-03-29,02:23:51,2023-03-30,02:15:00,Daily,00:08:51,34.0,161.58,
NRG-CC008,2023-03-29,02:23:51,2023-03-29,02:23:51,2023-03-30,02:20:00,Daily,00:03:51,63.0,206.86,
NRG-CC009,2023-03-29,02:33:51,2023-03-29,02:33:51,2023-03-30,02:25:00,Daily,00:08:51,65.0,44.92,
NRG-CC010,2023-03-28,20:21:23,2023-03-28,20:21:23,2023-03-29,18:35:00,Daily,01:46:23,43.0,2.55,
NRG-DT001,2023-03-29,02:33:51,2023-03-29,02:33:51,2023-03-30,02:30:00,Daily,00:03:51,54.0,126.99,
NRG-GI002,2023-03-28,02:43:51,2023-03-28,02:43:51,2023-04-04,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2023-03-29,02:43:51,2023-03-29,02:43:51,2023-03-30,02:40:00,Daily,00:03:51,48.0,147.75,
NRG-GI004,2023-03-29,02:53:51,2023-03-29,02:53:51,2023-03-30,02:50:00,Daily,00:03:51,53.0,391.26,
NRG-GI005,2023-03-28,03:03:51,2023-03-28,03:03:51,2023-04-04,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2023-03-29,03:03:51,2023-03-29,03:03:51,2023-03-30,03:00:00,Daily,00:03:51,73.0,329.81,
NRG-GI007,2023-03-29,04:43:51,2023-03-29,04:43:51,2023-03-30,04:40:00,Daily,00:03:51,51.0,9.97,
NRG-GI008,2023-03-29,03:43:51,2023-03-29,03:43:51,2023-03-30,03:43:00,Daily,00:00:51,60.0,42.17,
NRG-GU002,2023-03-29,03:13:51,2023-03-29,03:13:51,2023-03-30,03:05:00,Daily,00:08:51,49.0,228.12,
NRG-GU003,2023-03-29,03:13:51,2023-03-29,03:13:51,2023-03-30,03:10:00,Daily,00:03:51,47.0,244.87,
NRG-GU005,2023-03-29,03:23:51,2023-03-29,03:23:51,2023-03-30,03:15:00,Daily,00:08:51,54.0,656.35,
NRG-GU006,2023-03-29,03:23:51,2023-03-29,03:23:51,2023-03-30,03:20:00,Daily,00:03:51,50.0,433.29,
NRG-GU007,2023-03-29,03:33:51,2023-03-29,03:33:51,2023-03-30,03:25:00,Daily,00:08:51,44.0,70.3,
NRG-GU008,2023-03-29,03:33:51,2023-03-29,03:33:51,2023-03-30,03:30:00,Daily,00:03:51,59.0,245.79,
NRG-GU009,2023-03-29,04:43:51,2023-03-29,04:43:51,2023-03-30,04:35:00,Daily,00:08:51,81.0,655.8,
NRG-GU010,2023-03-29,04:53:51,2023-03-29,04:53:51,2023-03-30,04:45:00,Daily,00:08:51,60.0,184.23,
NRG-GU011,2023-03-29,04:23:51,2023-03-29,04:23:51,2023-03-30,04:15:00,Daily,00:08:51,58.0,42.48,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,,,
NRG-GU012,2023-03-29,07:53:51,,,2023-03-30,07:50:00,Daily,,,,
NRG-GY003,2023-03-28,01:03:51,2023-03-28,01:03:51,2023-04-04,00:55:00,Weekly,00:08:51,,,
NRG-GY004,2023-03-28,01:03:51,2023-03-28,01:03:51,2023-04-04,00:50:00,Weekly,00:13:51,,,
NRG-GY005,2023-03-29,01:03:51,2023-03-29,01:03:51,2023-03-30,00:45:00,Daily,00:18:51,67.0,3165.62,
NRG-GY006,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:40:00,Daily,00:03:51,71.0,1784.95,
NRG-GY007,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:35:00,Daily,00:08:51,83.0,1061.24,
NRG-GY009,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:30:00,Daily,00:13:51,77.0,2909.69,
NRG-GY012,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:25:00,Daily,00:18:51,61.0,1066.76,
NRG-GY014,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:20:00,Daily,00:23:51,60.0,254.06,
NRG-GY016,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:15:00,Daily,00:28:51,61.0,106.31,
NRG-GY017,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-30,00:10:00,Daily,00:03:51,71.0,208.18,
NRG-GY018,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-30,00:05:00,Daily,00:08:51,84.0,14022.61,
NRG-GY019,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-30,00:00:00,Daily,00:13:51,58.0,1652.7,
NRG-GY020,2023-03-29,00:43:51,2023-03-29,00:43:51,2023-03-30,00:30:00,Daily,00:13:51,67.0,458.67,
NRG-GY021,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:50:00,Daily,23:36:09,64.0,330.81,
NRG-GY022,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:45:00,Daily,23:31:09,32.0,109.14,
NRG-GY023,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:40:00,Daily,23:26:09,66.0,335.78,
NRG-GY024,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:30:00,Daily,23:16:09,13.0,0.43,
NRG-GY025,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:35:00,Daily,23:21:09,64.0,14.11,
NRG-GY026,2023-03-29,01:43:51,2023-03-29,01:43:51,2023-03-30,01:37:00,Daily,00:06:51,72.0,27.01,
NRG-GY027,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,23:25:00,Daily,23:11:09,68.0,11.69,
NRG-HN001,2023-03-29,05:03:51,2023-03-29,05:03:51,2023-03-30,05:00:00,Daily,00:03:51,71.0,2455.26,
NRG-HN002,2023-03-24,06:13:51,2023-03-24,06:13:51,2023-03-31,06:05:00,Weekly,00:08:51,,,
NRG-HN003,2023-03-28,05:13:51,2023-03-28,05:13:51,2023-04-04,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2023-03-29,05:23:51,2023-03-29,05:23:51,2023-03-30,05:15:00,Daily,00:08:51,74.0,1427.89,
NRG-HN005,2023-03-29,05:23:51,2023-03-29,05:23:51,2023-03-30,05:20:00,Daily,00:03:51,72.0,1204.45,
NRG-HN006,2023-03-29,00:13:51,2023-03-29,00:13:51,2023-03-29,21:04:03,Daily,20:50:12,76.0,156.2,
NRG-HN007,2023-03-29,05:33:51,2023-03-29,05:33:51,2023-03-30,05:30:00,Daily,00:03:51,53.0,71.89,
NRG-HN008,2023-03-29,04:53:51,2023-03-29,04:53:51,2023-03-30,04:50:00,Daily,00:03:51,53.0,29.56,
NRG-HN009,2023-03-29,05:03:51,2023-03-29,05:03:51,2023-03-30,04:55:00,Daily,00:08:51,55.0,229.57,
NRG-LU001,2023-03-28,05:43:51,2023-03-28,05:43:51,2023-04-04,05:35:00,Weekly,00:08:51,,,
NRG-LU002,2023-03-28,20:21:23,2023-03-28,20:21:23,2023-03-29,15:30:12,Daily,04:51:11,64.0,753.97,
NRG-LU003,2023-03-28,05:53:51,2023-03-28,05:53:51,2023-04-04,05:45:00,Weekly,00:08:51,,,
NRG-LU004,2023-03-29,05:53:51,2023-03-29,05:53:51,2023-03-30,05:50:00,Daily,00:03:51,46.0,131.58,
NRG-LU005,2023-03-29,06:03:51,2023-03-29,06:03:51,2023-03-30,05:55:00,Daily,00:08:51,84.0,3715.94,
NRG-LU006,2023-03-29,06:03:51,2023-03-29,06:03:51,2023-03-30,06:00:00,Daily,00:03:51,56.0,25.4,
NRG-LU007,2023-03-29,06:13:51,2023-03-29,06:13:51,2023-03-30,06:05:00,Daily,00:08:51,53.0,118.99,
NSABP-B-55,2023-03-29,02:03:51,2023-03-29,02:03:51,2023-03-30,01:57:00,Daily,00:06:51,117.0,2117.18,
RTOG-1112,2023-03-29,06:13:51,2023-03-29,06:13:51,2023-03-30,06:10:00,Daily,00:03:51,52.0,613.57,
RTOG-1115,2023-03-28,06:23:51,2023-03-28,06:23:51,2023-04-04,06:15:00,Weekly,00:08:51,,,
RTOG-1216,2023-03-29,06:23:51,2023-03-29,06:23:51,2023-03-30,06:20:00,Daily,00:03:51,77.0,1077.07,
RTOG-1308,2023-03-29,06:33:51,2023-03-29,06:33:51,2023-03-30,06:25:00,Daily,00:08:51,86.0,800.62,
S1418-E-01,2023-03-29,06:33:51,2023-03-29,06:33:51,2023-03-30,06:30:00,Daily,00:03:51,21.0,339.11,
