Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-12-23,01:13:51,2022-12-23,01:13:51,2022-12-24,01:00:00,Daily,00:13:51,61.0,916.43,
NRG-BN002,2022-12-20,01:23:51,2022-12-20,01:23:51,2022-12-27,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-12-23,01:13:51,2022-12-23,01:13:51,2022-12-24,01:10:00,Daily,00:03:51,51.0,78.35,
NRG-BN005,2022-12-23,01:33:51,2022-12-23,01:33:51,2022-12-24,01:15:00,Daily,00:18:51,62.0,91.34,
NRG-BN007,2022-12-23,01:33:51,2022-12-23,01:33:51,2022-12-24,01:20:00,Daily,00:13:51,73.0,817.46,
NRG-BN009,2022-12-23,01:13:51,2022-12-23,01:13:51,2022-12-24,00:55:00,Daily,00:18:51,65.0,7.83,
NRG-BN010,2022-12-23,04:03:51,2022-12-23,04:03:51,2022-12-24,03:59:00,Daily,00:04:51,63.0,11.7,
NRG-BN011,2022-12-22,23:23:51,2022-12-22,23:23:51,2022-12-23,23:24:57,Daily,00:01:06,62.0,29.9,
NRG-BR001,2022-12-20,01:43:51,2022-12-20,01:43:51,2022-12-27,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-12-23,02:33:51,2022-12-23,02:33:51,2022-12-24,02:30:00,Daily,00:03:51,55.0,119.23,
NRG-BR003,2022-12-20,01:43:51,2022-12-20,01:43:51,2022-12-27,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-12-23,05:13:51,2022-12-23,05:13:51,2022-12-24,05:10:00,Daily,00:03:51,88.0,2630.6,
NRG-BR005,2022-12-23,01:53:51,2022-12-23,01:53:51,2022-12-24,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2022-12-23,01:53:51,2022-12-23,01:53:51,2022-12-24,01:50:00,Daily,00:03:51,72.0,243.22,
NRG-CC003,2022-12-23,02:13:51,2022-12-23,02:13:51,2022-12-24,02:05:00,Daily,00:08:51,82.0,515.99,
NRG-CC004,2022-12-23,02:13:51,2022-12-23,02:13:51,2022-12-24,02:10:00,Daily,00:03:51,43.0,229.14,
NRG-CC005,2022-12-23,04:13:51,2022-12-23,04:13:51,2022-12-24,04:05:00,Daily,00:08:51,46.0,56.8,
NRG-CC007CD,2022-12-23,02:23:51,2022-12-23,02:23:51,2022-12-24,02:15:00,Daily,00:08:51,34.0,155.23,
NRG-CC008,2022-12-23,02:23:51,2022-12-23,02:23:51,2022-12-24,02:20:00,Daily,00:03:51,63.0,173.55,
NRG-CC009,2022-12-23,02:33:51,2022-12-23,02:33:51,2022-12-24,02:25:00,Daily,00:08:51,65.0,38.45,
NRG-DT001,2022-12-23,02:33:51,2022-12-23,02:33:51,2022-12-24,02:30:00,Daily,00:03:51,54.0,125.86,
NRG-GI002,2022-12-20,02:43:51,2022-12-20,02:43:51,2022-12-27,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-12-23,02:43:51,2022-12-23,02:43:51,2022-12-24,02:40:00,Daily,00:03:51,48.0,134.5,
NRG-GI004,2022-12-23,02:53:51,2022-12-23,02:53:51,2022-12-24,02:50:00,Daily,00:03:51,53.0,363.1,
NRG-GI005,2022-12-20,03:03:51,2022-12-20,03:03:51,2022-12-27,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-12-23,03:03:51,2022-12-23,03:03:51,2022-12-24,03:00:00,Daily,00:03:51,73.0,310.27,
NRG-GI007,2022-12-23,04:43:51,2022-12-23,04:43:51,2022-12-24,04:40:00,Daily,00:03:51,51.0,8.77,
NRG-GI008,2022-12-23,03:43:51,2022-12-23,03:43:51,2022-12-24,03:43:00,Daily,00:00:51,60.0,17.07,
NRG-GU002,2022-12-23,03:13:51,2022-12-23,03:13:51,2022-12-24,03:05:00,Daily,00:08:51,49.0,222.0,
NRG-GU003,2022-12-23,03:13:51,2022-12-23,03:13:51,2022-12-24,03:10:00,Daily,00:03:51,47.0,238.84,
NRG-GU005,2022-12-23,03:23:51,2022-12-23,03:23:51,2022-12-24,03:15:00,Daily,00:08:51,54.0,632.49,
NRG-GU006,2022-12-23,03:23:51,2022-12-23,03:23:51,2022-12-24,03:20:00,Daily,00:03:51,50.0,424.33,
NRG-GU007,2022-12-23,03:33:51,2022-12-23,03:33:51,2022-12-24,03:25:00,Daily,00:08:51,44.0,62.1,
NRG-GU008,2022-12-23,03:33:51,2022-12-23,03:33:51,2022-12-24,03:30:00,Daily,00:03:51,59.0,203.55,
NRG-GU009,2022-12-23,03:43:51,2022-12-23,03:43:51,2022-12-24,03:35:00,Daily,00:08:51,77.0,437.63,
NRG-GU010,2022-12-23,04:53:51,2022-12-23,04:53:51,2022-12-24,04:45:00,Daily,00:08:51,60.0,105.15,
NRG-GU011,2022-12-23,04:23:51,2022-12-23,04:23:51,2022-12-24,04:15:00,Daily,00:08:51,58.0,24.53,
NRG-GY003,2022-12-20,01:23:51,2022-12-20,01:23:51,2022-12-27,00:55:00,Weekly,00:28:51,,,
NRG-GY004,2022-12-20,00:53:51,2022-12-20,00:53:51,2022-12-27,00:50:00,Weekly,00:03:51,,,
NRG-GY005,2022-12-23,00:53:51,2022-12-23,00:53:51,2022-12-24,00:45:00,Daily,00:08:51,67.0,3153.38,
NRG-GY006,2022-12-23,00:53:51,2022-12-23,00:53:51,2022-12-24,00:40:00,Daily,00:13:51,71.0,1753.0,
NRG-GY007,2022-12-23,00:53:51,2022-12-23,00:53:51,2022-12-24,00:35:00,Daily,00:18:51,83.0,1054.19,
NRG-GY009,2022-12-23,00:34:00,2022-12-23,00:34:00,2022-12-24,00:30:00,Daily,00:04:00,77.0,2875.94,
NRG-GY012,2022-12-23,00:34:00,2022-12-23,00:34:00,2022-12-24,00:25:00,Daily,00:09:00,61.0,933.85,
NRG-GY014,2022-12-23,00:23:51,2022-12-23,00:23:51,2022-12-24,00:20:00,Daily,00:03:51,60.0,244.46,
NRG-GY016,2022-12-23,00:23:51,2022-12-23,00:23:51,2022-12-24,00:15:00,Daily,00:08:51,61.0,106.22,
NRG-GY017,2022-12-23,00:13:51,2022-12-23,00:13:51,2022-12-24,00:10:00,Daily,00:03:51,71.0,208.18,
NRG-GY018,2022-12-23,01:13:51,2022-12-23,01:13:51,2022-12-24,01:05:00,Daily,00:08:51,79.0,4017.09,
NRG-GY019,2022-12-23,00:13:51,2022-12-23,00:13:51,2022-12-24,00:00:00,Daily,00:13:51,58.0,1406.95,
