Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-09-09,01:13:51,2022-09-09,01:13:51,2022-09-10,01:00:00,Daily,00:13:51,61.0,903.28,
NRG-BN002,2022-09-06,01:23:51,2022-09-06,01:23:51,2022-09-13,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-09-09,01:13:51,2022-09-09,01:13:51,2022-09-10,01:10:00,Daily,00:03:51,51.0,90.32,
NRG-BN005,2022-09-09,01:33:51,2022-09-09,01:33:51,2022-09-10,01:15:00,Daily,00:18:51,62.0,103.27,
NRG-BN007,2022-09-09,01:33:51,2022-09-09,01:33:51,2022-09-10,01:20:00,Daily,00:13:51,73.0,732.54,
NRG-BN009,2022-09-09,01:13:51,2022-09-09,01:13:51,2022-09-10,00:55:00,Daily,00:18:51,65.0,33.57,
NRG-BN010,2022-09-09,04:03:51,2022-09-09,04:03:51,2022-09-10,03:59:00,Daily,00:04:51,63.0,33.93,
NRG-BN011,2022-09-08,23:33:51,2022-09-08,23:33:51,2022-09-09,23:24:57,Daily,00:08:54,62.0,36.9,
NRG-BR001,2022-09-06,01:43:51,2022-09-06,01:43:51,2022-09-13,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-09-09,02:33:51,2022-09-09,02:33:51,2022-09-10,02:30:00,Daily,00:03:51,55.0,135.47,
NRG-BR003,2022-09-06,01:43:51,2022-09-06,01:43:51,2022-09-13,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-09-09,01:43:51,2022-09-09,01:43:51,2022-09-10,01:40:00,Daily,00:03:51,85.0,2628.45,
NRG-BR005,2022-09-09,01:53:51,2022-09-09,01:53:51,2022-09-10,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-09-09,01:53:51,2022-09-09,01:53:51,2022-09-10,01:50:00,Daily,00:03:51,72.0,194.34,
NRG-CC003,2022-09-09,02:13:51,2022-09-09,02:13:51,2022-09-10,02:05:00,Daily,00:08:51,82.0,510.86,
NRG-CC004,2022-09-09,02:13:51,2022-09-09,02:13:51,2022-09-10,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC005,2022-09-09,04:13:51,2022-09-09,04:13:51,2022-09-10,04:05:00,Daily,00:08:51,46.0,47.9,
NRG-CC007CD,2022-09-09,02:23:51,2022-09-09,02:23:51,2022-09-10,02:15:00,Daily,00:08:51,34.0,154.56,
NRG-CC008,2022-09-09,02:23:51,2022-09-09,02:23:51,2022-09-10,02:20:00,Daily,00:03:51,63.0,149.11,
NRG-CC009,2022-09-09,02:33:51,2022-09-09,02:33:51,2022-09-10,02:25:00,Daily,00:08:51,65.0,47.56,
NRG-DT001,2022-09-09,02:33:51,2022-09-09,02:33:51,2022-09-10,02:30:00,Daily,00:03:51,54.0,134.34,
NRG-GI002,2022-09-06,02:43:51,2022-09-06,02:43:51,2022-09-13,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-09-09,02:43:51,2022-09-09,02:43:51,2022-09-10,02:40:00,Daily,00:03:51,48.0,133.47,
NRG-GI004,2022-09-09,02:53:54,2022-09-09,02:53:54,2022-09-10,02:50:00,Daily,00:03:54,53.0,357.61,
NRG-GI005,2022-09-06,03:03:51,2022-09-06,03:03:51,2022-09-13,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-09-09,03:03:51,2022-09-09,03:03:51,2022-09-10,03:00:00,Daily,00:03:51,73.0,298.93,
NRG-GI007,2022-09-09,04:43:51,2022-09-09,04:43:51,2022-09-10,04:40:00,Daily,00:03:51,51.0,27.69,
NRG-GU002,2022-09-09,03:13:51,2022-09-09,03:13:51,2022-09-10,03:05:00,Daily,00:08:51,49.0,224.46,
NRG-GU003,2022-09-09,03:13:51,2022-09-09,03:13:51,2022-09-10,03:10:00,Daily,00:03:51,47.0,247.88,
NRG-GU005,2022-09-09,03:23:51,2022-09-09,03:23:51,2022-09-10,03:15:00,Daily,00:08:51,54.0,594.26,
NRG-GU006,2022-09-09,03:23:51,2022-09-09,03:23:51,2022-09-10,03:20:00,Daily,00:03:51,50.0,415.54,
NRG-GU007,2022-09-09,03:33:51,2022-09-09,03:33:51,2022-09-10,03:25:00,Daily,00:08:51,44.0,71.9,
NRG-GU008,2022-09-09,03:33:51,2022-09-09,03:33:51,2022-09-10,03:30:00,Daily,00:03:51,59.0,163.99,
NRG-GU009,2022-09-09,03:43:55,2022-09-09,03:43:55,2022-09-10,03:35:00,Daily,00:08:55,77.0,279.55,
NRG-GU010,2022-09-09,04:53:51,2022-09-09,04:53:51,2022-09-10,04:45:00,Daily,00:08:51,60.0,66.29,
NRG-GU011,2022-09-09,04:23:51,2022-09-09,04:23:51,2022-09-10,04:15:00,Daily,00:08:51,58.0,40.24,
NRG-GY003,2022-09-06,01:23:51,2022-09-06,01:23:51,2022-09-13,00:55:00,Weekly,00:28:51,,,
NRG-GY004,2022-09-06,00:53:51,2022-09-06,00:53:51,2022-09-13,00:50:00,Weekly,00:03:51,,,
NRG-GY005,2022-09-09,00:53:51,2022-09-09,00:53:51,2022-09-10,00:45:00,Daily,00:08:51,67.0,3062.66,
