Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-12-25,00:30:00,2023-12-25,00:30:00,2023-12-26,00:30:00,Daily,00:00:00,68,28.44,0,
NRG-BN001,2023-12-25,01:00:00,2023-12-25,01:00:00,2023-12-26,01:00:00,Daily,00:00:00,61,1009.12,0,
NRG-BN002,2023-12-19,01:30:00,2023-12-19,01:30:00,2023-12-26,01:05:00,Weekly,00:25:00,0,,0,
NRG-BN003,2023-12-25,02:10:00,2023-12-25,02:10:00,2023-12-26,02:10:00,Daily,00:00:00,53,103.71,0,
NRG-BN005,2023-12-25,01:20:00,2023-12-25,01:20:00,2023-12-26,01:15:00,Daily,00:05:00,62,139.29,0,
NRG-BN007,2023-12-25,01:20:00,2023-12-25,01:20:00,2023-12-26,01:20:00,Daily,00:00:00,73,901.4,0,
NRG-BN009,2023-12-25,01:00:00,2023-12-25,01:00:00,2023-12-26,00:55:00,Daily,00:05:00,65,17.1,0,
NRG-BN010,2023-12-25,04:00:00,2023-12-25,04:00:00,2023-12-26,03:59:00,Daily,00:01:00,63,39.04,0,
NRG-BN011,2023-12-24,23:30:00,2023-12-24,23:30:00,2023-12-25,23:24:57,Daily,00:05:03,62,249.88,0,
NRG-BN012,2023-12-25,07:50:00,2023-12-25,07:50:00,2023-12-26,07:45:00,Daily,00:05:00,51,31.89,0,
NRG-BR001,2023-12-19,01:30:00,2023-12-19,01:30:00,2023-12-26,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2023-12-25,02:30:00,2023-12-25,02:30:00,2023-12-26,02:30:00,Daily,00:00:00,55,123.58,0,
NRG-BR003,2023-12-19,01:40:00,2023-12-19,01:40:00,2023-12-26,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2023-12-25,05:10:00,2023-12-25,05:10:00,2023-12-26,05:10:00,Daily,00:00:00,88,2677.64,0,
NRG-BR005,2023-12-25,01:50:00,2023-12-25,01:50:00,2023-12-26,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2023-12-25,01:50:00,2023-12-25,01:50:00,2023-12-26,01:50:00,Daily,00:00:00,72,482.57,0,
NRG-BR008,2023-12-24,23:20:00,2023-12-24,23:20:00,2023-12-25,23:20:00,Daily,00:00:00,70,5.49,0,
NRG-CC003,2023-12-25,02:10:00,2023-12-25,02:10:00,2023-12-26,02:05:00,Daily,00:05:00,82,541.9,0,
NRG-CC004,2023-12-25,02:10:00,2023-12-25,02:10:00,2023-12-26,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2023-12-25,04:10:00,2023-12-25,04:10:00,2023-12-26,04:05:00,Daily,00:05:00,46,229.76,0,
NRG-CC007CD,2023-12-25,02:20:00,2023-12-25,02:20:00,2023-12-26,02:15:00,Daily,00:05:00,34,181.14,0,
NRG-CC008,2023-12-25,02:20:00,2023-12-25,02:20:00,2023-12-26,02:20:00,Daily,00:00:00,63,353.76,0,
NRG-CC009,2023-12-25,02:30:00,2023-12-25,02:30:00,2023-12-26,02:25:00,Daily,00:05:00,65,73.6,0,
NRG-CC010,2023-12-24,18:40:00,2023-12-24,18:40:00,2023-12-25,18:35:00,Daily,00:05:00,43,18.0,0,
