Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,01:00:00,Daily,00:23:51,61.0,881.3,
NRG-BN002,2022-03-08,01:23:51,2022-03-08,01:23:51,2022-03-15,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,01:10:00,Daily,00:13:51,51.0,81.37,
NRG-BN005,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,01:15:00,Daily,00:08:51,62.0,87.2,
NRG-BN007,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,01:20:00,Daily,00:03:51,73.0,522.81,
NRG-BN009,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,00:55:00,Daily,00:28:51,65.0,32.33,
NRG-BR001,2022-03-08,01:43:51,2022-03-08,01:43:51,2022-03-15,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:30:00,Daily,00:03:51,55.0,133.98,
NRG-BR003,2022-03-08,01:43:51,2022-03-08,01:43:51,2022-03-15,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-03-13,01:53:51,2022-03-13,01:53:51,2022-03-14,01:40:00,Daily,00:13:51,79.0,2184.63,
NRG-BR005,2022-03-13,01:53:51,2022-03-13,01:53:51,2022-03-14,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-03-13,01:53:51,2022-03-13,01:53:51,2022-03-14,01:50:00,Daily,00:03:51,72.0,77.68,
NRG-CC003,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:05:00,Daily,00:28:51,82.0,483.96,
NRG-CC004,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:10:00,Daily,00:23:51,43.0,235.03,
NRG-CC007CD,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:15:00,Daily,00:18:51,34.0,131.7,
NRG-CC008,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:20:00,Daily,00:13:51,63.0,102.42,
NRG-CC009,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:25:00,Daily,00:08:51,65.0,36.79,
NRG-DT001,2022-03-13,02:33:51,2022-03-13,02:33:51,2022-03-14,02:30:00,Daily,00:03:51,52.0,130.63,
NRG-GI002,2022-03-08,02:43:51,2022-03-08,02:43:51,2022-03-15,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-03-13,02:43:51,2022-03-13,02:43:51,2022-03-14,02:40:00,Daily,00:03:51,48.0,117.28,
NRG-GI004,2022-03-13,02:53:51,2022-03-13,02:53:51,2022-03-14,02:50:00,Daily,00:03:51,53.0,308.57,
NRG-GI005,2022-03-08,03:03:51,2022-03-08,03:03:51,2022-03-15,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-03-13,03:03:51,2022-03-13,03:03:51,2022-03-14,03:00:00,Daily,00:03:51,73.0,241.83,
NRG-GI007,2022-03-13,04:43:51,2022-03-13,04:43:51,2022-03-14,04:40:00,Daily,00:03:51,51.0,26.48,
NRG-GU002,2022-03-13,03:13:51,2022-03-13,03:13:51,2022-03-14,03:05:00,Daily,00:08:51,49.0,205.9,
NRG-GU003,2022-03-13,03:13:51,2022-03-13,03:13:51,2022-03-14,03:10:00,Daily,00:03:51,47.0,241.46,
NRG-GU005,2022-03-13,03:23:51,2022-03-13,03:23:51,2022-03-14,03:15:00,Daily,00:08:51,52.0,481.08,
NRG-GU006,2022-03-13,03:23:51,2022-03-13,03:23:51,2022-03-14,03:20:00,Daily,00:03:51,50.0,401.69,
NRG-GU007,2022-03-13,03:23:51,2022-03-13,03:23:51,2022-03-14,03:25:00,Daily,00:01:09,44.0,57.47,
NRG-GU008,2022-03-13,03:33:51,2022-03-13,03:33:51,2022-03-14,03:30:00,Daily,00:03:51,59.0,104.45,
NRG-GU009,2022-03-13,03:33:51,2022-03-13,03:33:51,2022-03-14,03:35:00,Daily,00:01:09,77.0,112.92,
NRG-GU010,2022-03-13,04:43:51,2022-03-13,04:43:51,2022-03-14,04:45:00,Daily,00:01:09,60.0,29.35,
NRG-GY003,2022-03-08,01:23:51,2022-03-08,01:23:51,2022-03-15,00:55:00,Weekly,00:28:51,,,
NRG-GY004,2022-03-08,00:53:51,2022-03-08,00:53:51,2022-03-15,00:50:00,Weekly,00:03:51,,,
NRG-GY005,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:45:00,Daily,00:08:51,67.0,3016.9,
NRG-GY006,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:40:00,Daily,00:13:51,71.0,1489.13,
NRG-GY007,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:35:00,Daily,00:18:51,83.0,1037.38,
NRG-GY009,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:30:00,Daily,00:23:51,77.0,2591.3,
NRG-GY012,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:25:00,Daily,00:28:51,61.0,731.19,
NRG-GY014,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:20:00,Daily,00:33:51,60.0,190.61,
NRG-GY016,2022-03-13,00:13:51,2022-03-13,00:13:51,2022-03-14,00:15:00,Daily,00:01:09,61.0,125.23,
NRG-GY017,2022-03-13,00:13:51,2022-03-13,00:13:51,2022-03-14,00:10:00,Daily,00:03:51,71.0,230.77,
NRG-GY018,2022-03-13,01:23:51,2022-03-13,01:23:51,2022-03-14,01:05:00,Daily,00:18:51,79.0,2012.45,
NRG-GY019,2022-03-13,00:03:51,2022-03-13,00:03:51,2022-03-14,00:00:00,Daily,00:03:51,58.0,786.08,
NRG-GY020,2022-03-13,00:53:51,2022-03-13,00:53:51,2022-03-14,00:30:00,Daily,00:23:51,67.0,265.13,
NRG-GY021,2022-03-12,23:53:51,2022-03-12,23:53:51,2022-03-13,23:50:00,Daily,00:03:51,64.0,324.36,
NRG-GY022,2022-03-12,23:53:51,2022-03-12,23:53:51,2022-03-13,23:45:00,Daily,00:08:51,32.0,102.73,
NRG-GY023,2022-03-12,23:43:51,2022-03-12,23:43:51,2022-03-13,23:40:00,Daily,00:03:51,66.0,94.84,
NRG-HN001,2022-03-13,05:03:51,2022-03-13,05:03:51,2022-03-14,05:00:00,Daily,00:03:51,71.0,2116.44,
NRG-HN002,2022-03-11,06:13:51,2022-03-11,06:13:51,2022-03-18,06:05:00,Weekly,00:08:51,,,
NRG-HN003,2022-03-08,05:13:51,2022-03-08,05:13:51,2022-03-15,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2022-03-13,05:23:51,2022-03-13,05:23:51,2022-03-14,05:15:00,Daily,00:08:51,74.0,1338.98,
NRG-HN005,2022-03-13,05:23:51,2022-03-13,05:23:51,2022-03-14,05:20:00,Daily,00:03:51,72.0,775.26,
NRG-HN006,2022-03-12,21:03:51,2022-03-12,21:03:51,2022-03-13,21:04:03,Daily,00:00:12,76.0,91.03,
NRG-HN007,2022-03-13,05:43:51,2022-03-13,05:43:51,2022-03-14,05:30:00,Daily,00:13:51,53.0,78.45,
NRG-HN008,2022-03-13,04:53:51,2022-03-13,04:53:51,2022-03-14,04:50:00,Daily,00:03:51,53.0,26.92,
NRG-HN009,2022-03-13,05:03:51,2022-03-13,05:03:51,2022-03-14,04:55:00,Daily,00:08:51,55.0,28.19,
NRG-LU001,2022-03-08,05:43:51,2022-03-08,05:43:51,2022-03-15,05:35:00,Weekly,00:08:51,,,
NRG-LU002,2022-03-12,15:33:51,2022-03-12,15:33:51,2022-03-13,15:30:12,Daily,00:03:39,64.0,604.42,
NRG-LU003,2022-03-08,05:53:51,2022-03-08,05:53:51,2022-03-15,05:45:00,Weekly,00:08:51,,,
NRG-LU004,2022-03-13,05:53:51,2022-03-13,05:53:51,2022-03-14,05:50:00,Daily,00:03:51,46.0,131.2,
NRG-LU005,2022-03-13,06:03:51,2022-03-13,06:03:51,2022-03-14,05:55:00,Daily,00:08:51,84.0,2417.33,
NRG-LU006,2022-03-13,06:03:51,2022-03-13,06:03:51,2022-03-14,06:00:00,Daily,00:03:51,56.0,36.31,
NRG-LU007,2022-03-13,06:03:51,2022-03-13,06:03:51,2022-03-14,06:05:00,Daily,00:01:09,53.0,68.96,
NSABP-B-55,2022-03-13,01:53:51,2022-03-13,01:53:51,2022-03-14,01:57:00,Daily,00:03:09,117.0,2101.89,
RTOG-1112,2022-03-13,06:23:51,2022-03-13,06:23:51,2022-03-14,06:10:00,Daily,00:13:51,52.0,600.02,
RTOG-1115,2022-03-08,06:23:51,2022-03-08,06:23:51,2022-03-15,06:15:00,Weekly,00:08:51,,,
RTOG-1216,2022-03-13,06:23:51,2022-03-13,06:23:51,2022-03-14,06:20:00,Daily,00:03:51,77.0,845.26,
RTOG-1308,2022-03-13,06:33:51,2022-03-13,06:33:51,2022-03-14,06:25:00,Daily,00:08:51,86.0,670.25,
S1418-E-01,2022-03-13,06:33:51,2022-03-13,06:33:51,2022-03-14,06:30:00,Daily,00:03:51,21.0,331.06,
S1914-E-01,2022-03-13,06:33:51,2022-03-13,06:33:51,2022-03-14,06:35:00,Daily,00:01:09,15.0,12.41,
