Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-10-31,00:30:00,2023-10-31,00:30:00,2023-11-01,00:30:00,Daily,00:00:00,68,17.85,0,
NRG-BN001,2023-10-31,01:10:00,2023-10-31,01:10:00,2023-11-01,01:00:00,Daily,00:10:00,61,1008.01,0,
NRG-BN002,2023-10-31,01:10:00,2023-10-31,01:10:00,2023-11-07,01:05:00,Weekly,00:05:00,49,100.96,0,
NRG-BN003,2023-10-31,01:10:00,2023-10-31,01:10:00,2023-11-01,01:10:00,Daily,00:00:00,51,97.31,0,
NRG-BN005,2023-10-31,01:20:00,2023-10-31,01:20:00,2023-11-01,01:15:00,Daily,00:05:00,62,134.72,0,
NRG-BN007,2023-10-31,01:20:00,2023-10-31,01:20:00,2023-11-01,01:20:00,Daily,00:00:00,73,895.85,0,
NRG-BN009,2023-10-31,01:10:00,2023-10-31,01:10:00,2023-11-01,00:55:00,Daily,00:15:00,65,15.57,0,
NRG-BN010,2023-10-31,04:00:00,2023-10-31,04:00:00,2023-11-01,03:59:00,Daily,00:01:00,63,36.55,0,
NRG-BN011,2023-10-30,23:30:00,2023-10-30,23:30:00,2023-10-31,23:24:57,Daily,00:05:03,62,209.42,0,
NRG-BN012,2023-10-31,07:50:00,2023-10-31,07:50:00,2023-11-01,07:45:00,Daily,00:05:00,51,24.32,0,
NRG-BR001,2023-10-31,01:30:00,2023-10-31,01:30:00,2023-11-07,01:25:00,Weekly,00:05:00,45,110.77,0,
NRG-BR002,2023-10-31,02:30:00,2023-10-31,02:30:00,2023-11-01,02:30:00,Daily,00:00:00,55,123.12,0,
NRG-BR003,2023-10-31,01:40:00,2023-10-31,01:40:00,2023-11-07,01:35:00,Weekly,00:05:00,44,2618.33,0,
NRG-BR004,2023-10-31,05:10:00,2023-10-31,05:10:00,2023-11-01,05:10:00,Daily,00:00:00,88,2675.05,0,
