Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
NRG-GY016,2024-02-02,00:30:00,2024-02-02,00:30:00,2024-02-03,00:15:00,Daily,00:15:00,61,106.89,0,
NRG-GY017,2024-02-02,00:10:00,2024-02-02,00:10:00,2024-02-03,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2024-02-02,00:10:00,2024-02-02,00:10:00,2024-02-03,00:05:00,Daily,00:05:00,85,18583.14,0,
NRG-GY019,2024-02-02,00:00:00,2024-02-02,00:00:00,2024-02-03,00:00:00,Daily,00:00:00,58,2588.12,0,
NRG-GY020,2024-02-02,00:30:00,2024-02-02,00:30:00,2024-02-03,00:30:00,Daily,00:00:00,67,510.85,0,
NRG-GY021,2024-02-01,23:50:00,2024-02-01,23:50:00,2024-02-02,23:50:00,Daily,00:00:00,64,332.74,0,
NRG-GY022,2024-02-01,23:50:00,2024-02-01,23:50:00,2024-02-02,23:45:00,Daily,00:05:00,32,123.86,0,
NRG-GY023,2024-02-01,23:40:00,2024-02-01,23:40:00,2024-02-02,23:40:00,Daily,00:00:00,68,407.85,0,
NRG-GY024,2024-02-01,23:30:00,2024-02-01,23:30:00,2024-02-02,23:30:00,Daily,00:00:00,13,0.71,0,
NRG-GY025,2024-02-01,23:40:00,2024-02-01,23:40:00,2024-02-02,23:35:00,Daily,00:05:00,64,56.55,0,
NRG-GY026,2024-02-02,01:40:00,2024-02-02,01:40:00,2024-02-03,01:37:00,Daily,00:03:00,72,307.64,0,
NRG-GY027,2024-02-01,23:30:00,2024-02-01,23:30:00,2024-02-02,23:25:00,Daily,00:05:00,68,36.06,0,
NRG-GY028,2024-02-02,03:20:00,2024-02-02,03:20:00,2024-02-03,03:15:00,Daily,00:05:00,64,16.16,0,
NRG-GY031,2024-02-02,00:30:00,2024-02-02,00:30:00,2024-02-03,00:20:00,Daily,00:10:00,68,4.13,0,
NRG-HN001,2024-02-02,05:00:00,2024-02-02,05:00:00,2024-02-03,05:00:00,Daily,00:00:00,71,2612.03,0,
NRG-HN002,2024-02-02,06:20:00,2024-02-02,06:20:00,2024-02-09,06:05:00,Weekly,00:15:00,68,1402.32,0,
NRG-HN003,2024-01-30,05:10:00,2024-01-30,05:10:00,2024-02-06,05:10:00,Weekly,00:00:00,0,,0,
NRG-HN004,2024-02-02,05:20:00,2024-02-02,05:20:00,2024-02-03,05:15:00,Daily,00:05:00,74,1461.93,0,
NRG-HN005,2024-02-02,05:20:00,2024-02-02,05:20:00,2024-02-03,05:20:00,Daily,00:00:00,72,1526.32,0,
NRG-HN006,2024-02-01,21:10:00,2024-02-01,21:10:00,2024-02-02,21:04:03,Daily,00:05:57,76,232.35,0,
NRG-HN007,2024-02-02,05:30:00,2024-02-02,05:30:00,2024-02-03,05:30:00,Daily,00:00:00,53,72.84,0,
NRG-HN008,2024-02-02,04:50:00,2024-02-02,04:50:00,2024-02-03,04:50:00,Daily,00:00:00,53,37.55,0,
NRG-HN009,2024-02-02,05:00:00,2024-02-02,05:00:00,2024-02-03,04:55:00,Daily,00:05:00,55,680.12,0,
NRG-HN010,2024-02-02,07:00:00,2024-02-02,07:00:00,2024-02-03,06:55:00,Daily,00:05:00,42,13.2,0,
NRG-LU001,2024-01-30,05:40:00,2024-01-30,05:40:00,2024-02-06,05:35:00,Weekly,00:05:00,0,,0,
NRG-LU002,2024-02-01,15:30:00,2024-02-01,15:30:00,2024-02-02,15:30:12,Daily,00:00:12,64,811.05,0,
NRG-LU003,2024-01-30,05:50:00,2024-01-30,05:50:00,2024-02-06,05:45:00,Weekly,00:05:00,0,,0,
NRG-LU004,2024-02-02,05:50:00,2024-02-02,05:50:00,2024-02-03,05:50:00,Daily,00:00:00,46,136.85,0,
NRG-LU005,2024-02-02,06:00:00,2024-02-02,06:00:00,2024-02-03,05:55:00,Daily,00:05:00,84,4123.76,0,
NRG-LU006,2024-02-02,06:00:00,2024-02-02,06:00:00,2024-02-03,06:00:00,Daily,00:00:00,56,33.14,0,
NRG-LU007,2024-02-02,06:20:00,2024-02-02,06:20:00,2024-02-03,06:05:00,Daily,00:15:00,53,214.76,0,
NRG-LU008,2024-02-01,15:50:00,2024-02-01,15:50:00,2024-02-02,15:48:00,Daily,00:02:00,67,28.37,0,
NSABP-B-55,2024-02-02,02:00:00,2024-02-02,02:00:00,2024-02-03,01:57:00,Daily,00:03:00,117,2154.79,0,
RTOG-0534,2024-02-02,02:00:00,2024-02-02,02:00:00,2024-02-03,02:00:00,Daily,00:00:00,21,70.6,0,
RTOG-0724,2024-02-02,02:10:00,2024-02-02,02:10:00,2024-02-03,02:03:00,Daily,00:07:00,22,9.51,0,
RTOG-0815,2024-02-02,02:10:00,2023-12-03,02:20:00,2024-02-03,02:05:00,Daily,00:15:00,0,,0,[A] [G] Zip file creation process failed
RTOG-0848,2024-02-02,02:10:00,2024-02-02,02:10:00,2024-02-03,02:07:00,Daily,00:03:00,21,8.27,0,
RTOG-0920,2024-02-02,02:10:00,2024-01-31,02:20:00,2024-02-03,02:09:00,Daily,00:11:00,0,,0,[A] [G] Zip file creation process failed
RTOG-0924,2024-02-02,02:20:00,2024-02-02,02:20:00,2024-02-03,02:11:00,Daily,00:09:00,22,120.46,0,
RTOG-1005,2024-02-02,02:20:00,2024-02-02,02:20:00,2024-02-03,02:15:00,Daily,00:05:00,21,97.76,0,
RTOG-1008,2024-02-02,02:20:00,2024-02-02,02:20:00,2024-02-03,02:13:00,Daily,00:07:00,23,16.36,0,
RTOG-1016,2024-02-02,02:20:00,2024-02-02,02:20:00,2024-02-03,02:17:00,Daily,00:03:00,20,44.86,0,
RTOG-1112,2024-02-02,06:20:00,2024-02-02,06:20:00,2024-02-03,06:10:00,Daily,00:10:00,52,619.47,0,
RTOG-1115,2024-01-30,06:20:00,2024-01-30,06:20:00,2024-02-06,06:15:00,Weekly,00:05:00,0,,0,
RTOG-1216,2024-02-02,06:20:00,2024-02-02,06:20:00,2024-02-03,06:20:00,Daily,00:00:00,77,1328.17,0,
RTOG-1308,2024-02-02,06:30:00,2024-02-02,06:30:00,2024-02-03,06:25:00,Daily,00:05:00,86,923.71,0,
S1418-E-01,2024-02-02,06:30:00,2024-02-02,06:30:00,2024-02-03,06:30:00,Daily,00:00:00,21,342.07,0,
S1914-E-01,2024-02-02,06:40:00,2024-02-02,06:40:00,2024-02-03,06:35:00,Daily,00:05:00,15,47.56,0,
