Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:30:00,Daily,00:00:00,68,61.62,0,
NRG-BN001,2024-04-20,01:00:00,2024-04-20,01:00:00,2024-04-21,01:00:00,Daily,00:00:00,61,1010.61,0,
NRG-BN002,2024-04-16,01:10:00,2024-04-16,01:10:00,2024-04-23,01:05:00,Weekly,00:05:00,0,,0,
NRG-BN003,2024-04-20,02:10:00,2024-04-20,02:10:00,2024-04-21,02:10:00,Daily,00:00:00,53,109.76,0,
NRG-BN005,2024-04-20,01:20:00,2024-04-20,01:20:00,2024-04-21,01:15:00,Daily,00:05:00,62,150.68,0,
NRG-BN007,2024-04-20,01:20:00,2024-04-20,01:20:00,2024-04-21,01:20:00,Daily,00:00:00,73,909.67,0,
NRG-BN009,2024-04-20,01:00:00,2024-04-20,01:00:00,2024-04-21,00:55:00,Daily,00:05:00,65,21.81,0,
NRG-BN010,2024-04-20,04:00:00,2024-04-20,04:00:00,2024-04-21,03:59:00,Daily,00:01:00,63,57.13,0,
NRG-BN011,2024-04-19,23:30:00,2024-04-19,23:30:00,2024-04-20,23:24:57,Daily,00:05:03,62,368.28,0,
NRG-BN012,2024-04-20,07:50:00,2024-04-20,07:50:00,2024-04-21,07:45:00,Daily,00:05:00,51,57.74,0,
NRG-BR001,2024-04-16,01:30:00,2024-04-16,01:30:00,2024-04-23,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2024-04-20,02:30:00,2024-04-20,02:30:00,2024-04-21,02:30:00,Daily,00:00:00,55,124.19,0,
NRG-BR003,2024-04-18,02:40:00,2024-04-18,02:40:00,2024-04-25,02:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-04-20,05:10:00,2024-04-20,05:10:00,2024-04-21,05:10:00,Daily,00:00:00,88,2696.7,0,
NRG-BR005,2024-04-20,01:50:00,2024-04-20,01:50:00,2024-04-21,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-04-20,01:50:00,2024-04-20,01:50:00,2024-04-21,01:50:00,Daily,00:00:00,76,553.01,0,
NRG-BR008,2024-04-19,23:20:00,2024-04-19,23:20:00,2024-04-20,23:20:00,Daily,00:00:00,70,12.22,0,
NRG-BR009,2024-04-20,00:10:00,2024-04-20,00:10:00,2024-04-21,00:10:00,Daily,00:00:00,62,14.59,0,
NRG-CC003,2024-04-20,02:10:00,2024-04-20,02:10:00,2024-04-21,02:05:00,Daily,00:05:00,82,546.76,0,
NRG-CC004,2024-04-20,02:10:00,2024-04-20,02:10:00,2024-04-21,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2024-04-19,21:50:00,2024-04-19,21:50:00,2024-04-20,21:44:52,Daily,00:05:08,54,299.23,0,
NRG-CC007CD,2024-04-20,02:20:00,2024-04-20,02:20:00,2024-04-21,02:15:00,Daily,00:05:00,34,185.04,0,
NRG-CC008,2024-04-20,02:20:00,2024-04-20,02:20:00,2024-04-21,02:20:00,Daily,00:00:00,63,409.44,0,
NRG-CC009,2024-04-20,02:30:00,2024-04-20,02:30:00,2024-04-21,02:25:00,Daily,00:05:00,65,89.32,0,
NRG-CC010,2024-04-19,18:40:00,2024-04-19,18:40:00,2024-04-20,18:35:00,Daily,00:05:00,43,33.3,0,
NRG-CC011,2024-04-20,01:50:00,2024-04-20,01:50:00,2024-04-21,01:44:00,Daily,00:06:00,45,2.31,0,
NRG-DT001,2024-04-20,02:30:00,2024-04-20,02:30:00,2024-04-21,02:30:00,Daily,00:00:00,54,133.56,0,
NRGF-001,2024-04-20,07:50:00,2024-04-20,07:50:00,2024-04-21,07:48:00,Daily,00:02:00,42,1.4,0,
NRG-GI002,2024-04-20,03:40:00,2024-04-20,03:40:00,2024-04-21,03:35:00,Daily,00:05:00,60,1700.23,0,
NRG-GI003,2024-04-20,02:40:00,2024-04-20,02:40:00,2024-04-21,02:40:00,Daily,00:00:00,48,196.06,0,
NRG-GI004,2024-04-20,02:50:00,2024-04-20,02:50:00,2024-04-21,02:50:00,Daily,00:00:00,56,453.85,0,
NRG-GI005,2024-04-20,03:00:00,2024-04-20,03:00:00,2024-04-27,02:55:00,Weekly,00:05:00,43,209.58,0,
NRG-GI006,2024-04-20,03:00:00,2024-04-20,03:00:00,2024-04-21,03:00:00,Daily,00:00:00,73,480.0,0,
NRG-GI007,2024-04-20,04:40:00,2024-04-20,04:40:00,2024-04-21,04:40:00,Daily,00:00:00,51,29.83,0,
NRG-GI008,2024-04-20,03:50:00,2024-04-20,03:50:00,2024-04-21,03:43:00,Daily,00:07:00,61,230.2,0,
NRG-GU002,2024-04-20,03:20:00,2024-04-20,03:20:00,2024-04-21,03:05:00,Daily,00:15:00,49,252.54,0,
NRG-GU003,2024-04-20,03:20:00,2024-04-20,03:20:00,2024-04-21,03:10:00,Daily,00:10:00,47,262.62,0,
NRG-GU005,2024-04-20,03:20:00,2024-04-20,03:20:00,2024-04-21,03:15:00,Daily,00:05:00,54,750.83,0,
NRG-GU006,2024-04-20,03:20:00,2024-04-20,03:20:00,2024-04-21,03:20:00,Daily,00:00:00,50,474.42,0,
NRG-GU007,2024-04-20,03:30:00,2024-04-20,03:30:00,2024-04-21,03:25:00,Daily,00:05:00,44,94.74,0,
NRG-GU008,2024-04-20,03:30:00,2024-04-20,03:30:00,2024-04-21,03:30:00,Daily,00:00:00,59,476.77,0,
NRG-GU009,2024-04-20,04:40:00,2024-04-20,04:40:00,2024-04-21,04:35:00,Daily,00:05:00,81,2420.85,0,
NRG-GU010,2024-04-20,04:50:00,2024-04-20,04:50:00,2024-04-21,04:45:00,Daily,00:05:00,60,1131.89,0,
NRG-GU011,2024-04-20,04:20:00,2024-04-20,04:20:00,2024-04-21,04:15:00,Daily,00:05:00,58,177.32,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59,23.82,0,
NRG-GU012,2024-04-20,07:50:00,2024-04-20,07:50:00,2024-04-21,07:50:00,Daily,00:00:00,59,23.82,0,
NRG-GU013,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:15:00,Daily,00:15:00,53,6.17,0,
NRG-GY003,2024-04-16,01:10:00,2024-04-16,01:10:00,2024-04-23,00:55:00,Weekly,00:15:00,0,,0,
NRG-GY004,2024-04-16,01:10:00,2024-04-16,01:10:00,2024-04-23,00:50:00,Weekly,00:20:00,0,,0,
NRG-GY005,2024-04-20,00:50:00,2024-04-20,00:50:00,2024-04-21,00:45:00,Daily,00:05:00,67,3184.58,0,
NRG-GY006,2024-04-20,01:40:00,2024-04-20,01:40:00,2024-04-21,01:40:00,Daily,00:00:00,73,1850.75,0,
NRG-GY007,2024-04-20,00:50:00,2024-04-20,00:50:00,2024-04-21,00:35:00,Daily,00:15:00,83,1072.3,0,
NRG-GY009,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:30:00,Daily,00:00:00,77,2964.96,0,
NRG-GY012,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:25:00,Daily,00:05:00,68,1592.4,0,
NRG-GY014,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:20:00,Daily,00:10:00,60,267.74,0,
NRG-GY016,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:15:00,Daily,00:15:00,61,107.16,0,
NRG-GY017,2024-04-20,00:10:00,2024-04-20,00:10:00,2024-04-21,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2024-04-20,00:10:00,2024-04-20,00:10:00,2024-04-21,00:05:00,Daily,00:05:00,85,19018.05,0,
NRG-GY019,2024-04-20,00:00:00,2024-04-20,00:00:00,2024-04-21,00:00:00,Daily,00:00:00,58,2878.1,0,
NRG-GY020,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:30:00,Daily,00:00:00,67,518.25,0,
NRG-GY021,2024-04-19,23:50:00,2024-04-19,23:50:00,2024-04-20,23:50:00,Daily,00:00:00,64,333.05,0,
NRG-GY022,2024-04-19,23:50:00,2024-04-19,23:50:00,2024-04-20,23:45:00,Daily,00:05:00,32,126.56,0,
NRG-GY023,2024-04-19,23:40:00,2024-04-19,23:40:00,2024-04-20,23:40:00,Daily,00:00:00,68,413.03,0,
NRG-GY024,2024-04-19,23:30:00,2024-04-19,23:30:00,2024-04-20,23:30:00,Daily,00:00:00,13,0.9,0,
NRG-GY025,2024-04-19,23:40:00,2024-04-19,23:40:00,2024-04-20,23:35:00,Daily,00:05:00,64,66.22,0,
NRG-GY026,2024-04-20,01:40:00,2024-04-20,01:40:00,2024-04-21,01:37:00,Daily,00:03:00,72,437.45,0,
NRG-GY027,2024-04-19,23:30:00,2024-04-19,23:30:00,2024-04-20,23:25:00,Daily,00:05:00,68,40.29,0,
NRG-GY028,2024-04-20,03:20:00,2024-04-20,03:20:00,2024-04-21,03:15:00,Daily,00:05:00,64,18.7,0,
NRG-GY031,2024-04-20,00:30:00,2024-04-20,00:30:00,2024-04-21,00:20:00,Daily,00:10:00,68,15.77,0,
NRG-GY033,2024-04-20,00:50:00,2024-04-20,00:50:00,2024-04-21,00:32:00,Daily,00:18:00,59,6.76,0,
NRG-HN001,2024-04-20,05:00:00,2024-04-20,05:00:00,2024-04-21,05:00:00,Daily,00:00:00,71,2651.32,0,
NRG-HN002,2024-04-19,06:10:00,2024-04-19,06:10:00,2024-04-26,06:05:00,Weekly,00:05:00,0,,0,
NRG-HN003,2024-04-16,05:10:00,2024-04-16,05:10:00,2024-04-23,05:10:00,Weekly,00:00:00,0,,0,
NRG-HN004,2024-04-20,05:20:00,2024-04-20,05:20:00,2024-04-21,05:15:00,Daily,00:05:00,74,1465.56,0,
NRG-HN005,2024-04-20,05:20:00,2024-04-20,05:20:00,2024-04-21,05:20:00,Daily,00:00:00,72,1584.24,0,
NRG-HN006,2024-04-20,06:30:00,2024-04-20,06:30:00,2024-04-21,06:25:00,Daily,00:05:00,77,258.22,0,
NRG-HN007,2024-04-20,05:40:00,2024-04-20,05:40:00,2024-04-21,05:30:00,Daily,00:10:00,53,72.84,0,
NRG-HN008,2024-04-20,04:50:00,2024-04-20,04:50:00,2024-04-21,04:50:00,Daily,00:00:00,53,46.42,0,
NRG-HN009,2024-04-20,05:00:00,2024-04-20,05:00:00,2024-04-21,04:55:00,Daily,00:05:00,55,850.53,0,
NRG-HN010,2024-04-20,07:00:00,2024-04-20,07:00:00,2024-04-21,06:55:00,Daily,00:05:00,42,19.33,0,
