Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:30:00,Daily,00:10:00,68,64.64,0,
NRG-BN001,2024-05-07,01:00:00,2024-05-07,01:00:00,2024-05-08,01:00:00,Daily,00:00:00,61,1011.02,0,
NRG-BN002,2024-05-07,01:20:00,2024-05-07,01:20:00,2024-05-14,01:05:00,Weekly,00:15:00,49,100.96,0,
NRG-BN003,2024-05-07,02:10:00,2024-05-07,02:10:00,2024-05-08,02:10:00,Daily,00:00:00,53,110.11,0,
NRG-BN005,2024-05-07,01:20:00,2024-05-07,01:20:00,2024-05-08,01:15:00,Daily,00:05:00,62,151.62,0,
NRG-BN007,2024-05-07,01:20:00,2024-05-07,01:20:00,2024-05-08,01:20:00,Daily,00:00:00,73,910.03,0,
NRG-BN009,2024-05-07,01:00:00,2024-05-07,01:00:00,2024-05-08,00:55:00,Daily,00:05:00,65,22.45,0,
NRG-BN010,2024-05-07,04:00:00,2024-05-07,04:00:00,2024-05-08,03:59:00,Daily,00:01:00,63,68.02,0,
NRG-BN011,2024-05-06,23:30:00,2024-05-06,23:30:00,2024-05-07,23:24:57,Daily,00:05:03,62,380.67,0,
NRG-BN012,2024-05-07,07:50:00,2024-05-07,07:50:00,2024-05-08,07:45:00,Daily,00:05:00,51,66.6,0,
NRG-BR001,2024-05-07,01:30:00,2024-05-07,01:30:00,2024-05-14,01:25:00,Weekly,00:05:00,45,110.77,0,
NRG-BR002,2024-05-07,02:30:00,2024-05-07,02:30:00,2024-05-08,02:30:00,Daily,00:00:00,55,124.62,0,
NRG-BR003,2024-05-02,02:40:00,2024-05-02,02:40:00,2024-05-09,02:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-05-07,05:10:00,2024-05-07,05:10:00,2024-05-08,05:10:00,Daily,00:00:00,88,2699.21,0,
NRG-BR005,2024-05-07,01:50:00,2024-05-07,01:50:00,2024-05-08,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-05-07,01:50:00,2024-05-07,01:50:00,2024-05-08,01:50:00,Daily,00:00:00,76,563.3,0,
NRG-BR008,2024-05-06,23:20:00,2024-05-06,23:20:00,2024-05-07,23:20:00,Daily,00:00:00,70,13.69,0,
NRG-BR009,2024-05-07,00:10:00,2024-05-07,00:10:00,2024-05-08,00:10:00,Daily,00:00:00,62,16.63,0,
NRG-CC003,2024-05-07,02:10:00,2024-05-07,02:10:00,2024-05-08,02:05:00,Daily,00:05:00,82,547.11,0,
NRG-CC004,2024-05-07,02:10:00,2024-05-07,02:10:00,2024-05-08,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2024-05-06,21:50:00,2024-05-06,21:50:00,2024-05-07,21:44:52,Daily,00:05:08,54,307.84,0,
NRG-CC007CD,2024-05-07,02:20:00,2024-05-07,02:20:00,2024-05-08,02:15:00,Daily,00:05:00,34,185.33,0,
NRG-CC008,2024-05-07,02:20:00,2024-05-07,02:20:00,2024-05-08,02:20:00,Daily,00:00:00,63,415.82,0,
NRG-CC009,2024-05-07,02:30:00,2024-05-07,02:30:00,2024-05-08,02:25:00,Daily,00:05:00,65,90.94,0,
NRG-CC010,2024-05-06,18:40:00,2024-05-06,18:40:00,2024-05-07,18:35:00,Daily,00:05:00,43,35.77,0,
NRG-CC011,2024-05-07,01:50:00,2024-05-07,01:50:00,2024-05-08,01:44:00,Daily,00:06:00,45,3.63,0,
NRG-DT001,2024-05-07,02:30:00,2024-05-07,02:30:00,2024-05-08,02:30:00,Daily,00:00:00,54,133.56,0,
NRGF-001,2024-05-07,07:50:00,2024-05-07,07:50:00,2024-05-08,07:48:00,Daily,00:02:00,42,1.4,0,
NRG-GI002,2024-05-07,03:40:00,2024-05-07,03:40:00,2024-05-08,03:35:00,Daily,00:05:00,60,1700.23,0,
NRG-GI003,2024-05-07,02:40:00,2024-05-07,02:40:00,2024-05-08,02:40:00,Daily,00:00:00,48,197.78,0,
NRG-GI004,2024-05-07,02:50:00,2024-05-07,02:50:00,2024-05-08,02:50:00,Daily,00:00:00,56,455.51,0,
NRG-GI005,2024-05-04,03:00:00,2024-05-04,03:00:00,2024-05-11,02:55:00,Weekly,00:05:00,0,,0,
NRG-GI006,2024-05-07,03:00:00,2024-05-07,03:00:00,2024-05-08,03:00:00,Daily,00:00:00,73,486.5,0,
NRG-GI007,2024-05-07,04:40:00,2024-05-07,04:40:00,2024-05-08,04:40:00,Daily,00:00:00,51,31.44,0,
NRG-GI008,2024-05-07,03:50:00,2024-05-07,03:50:00,2024-05-08,03:43:00,Daily,00:07:00,61,245.39,0,
NRG-GU002,2024-05-07,03:20:00,2024-05-07,03:20:00,2024-05-08,03:05:00,Daily,00:15:00,49,252.9,0,
NRG-GU003,2024-05-07,03:20:00,2024-05-07,03:20:00,2024-05-08,03:10:00,Daily,00:10:00,47,263.08,0,
NRG-GU005,2024-05-07,03:20:00,2024-05-07,03:20:00,2024-05-08,03:15:00,Daily,00:05:00,54,753.44,0,
NRG-GU006,2024-05-07,03:20:00,2024-05-07,03:20:00,2024-05-08,03:20:00,Daily,00:00:00,50,474.98,0,
NRG-GU007,2024-05-07,03:30:00,2024-05-07,03:30:00,2024-05-08,03:25:00,Daily,00:05:00,44,95.8,0,
NRG-GU008,2024-05-07,03:30:00,2024-05-07,03:30:00,2024-05-08,03:30:00,Daily,00:00:00,59,497.35,0,
NRG-GU009,2024-05-07,04:40:00,2024-05-07,04:40:00,2024-05-08,04:35:00,Daily,00:05:00,81,2532.85,0,
NRG-GU010,2024-05-07,04:50:00,2024-05-07,04:50:00,2024-05-08,04:45:00,Daily,00:05:00,60,1207.28,0,
NRG-GU011,2024-05-07,04:20:00,2024-05-07,04:20:00,2024-05-08,04:15:00,Daily,00:05:00,58,197.33,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59,26.44,0,
NRG-GU012,2024-05-07,07:50:00,2024-05-07,07:50:00,2024-05-08,07:50:00,Daily,00:00:00,59,26.44,0,
NRG-GU013,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:15:00,Daily,00:25:00,53,11.44,0,
NRG-GY003,2024-05-07,01:00:00,2024-05-07,01:00:00,2024-05-14,00:55:00,Weekly,00:05:00,49,492.36,0,
NRG-GY004,2024-05-07,01:00:00,2024-05-07,01:00:00,2024-05-14,00:50:00,Weekly,00:10:00,69,5005.77,0,
NRG-GY005,2024-05-07,01:00:00,2024-05-07,01:00:00,2024-05-08,00:45:00,Daily,00:15:00,67,3184.64,0,
NRG-GY006,2024-05-07,01:40:00,2024-05-07,01:40:00,2024-05-08,01:40:00,Daily,00:00:00,73,1851.97,0,
NRG-GY007,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:35:00,Daily,00:05:00,83,1072.65,0,
NRG-GY009,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:30:00,Daily,00:10:00,77,2965.06,0,
NRG-GY012,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:25:00,Daily,00:15:00,68,1597.04,0,
NRG-GY014,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:20:00,Daily,00:20:00,60,267.94,0,
NRG-GY016,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:15:00,Daily,00:25:00,61,107.19,0,
NRG-GY017,2024-05-07,00:10:00,2024-05-07,00:10:00,2024-05-08,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2024-05-07,00:10:00,2024-05-07,00:10:00,2024-05-08,00:05:00,Daily,00:05:00,85,19051.78,0,
NRG-GY019,2024-05-07,00:00:00,2024-05-07,00:00:00,2024-05-08,00:00:00,Daily,00:00:00,58,2932.57,0,
NRG-GY020,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:30:00,Daily,00:10:00,67,519.29,0,
NRG-GY021,2024-05-06,23:50:00,2024-05-06,23:50:00,2024-05-07,23:50:00,Daily,00:00:00,64,333.05,0,
NRG-GY022,2024-05-06,23:50:00,2024-05-06,23:50:00,2024-05-07,23:45:00,Daily,00:05:00,32,128.49,0,
NRG-GY023,2024-05-06,23:40:00,2024-05-06,23:40:00,2024-05-07,23:40:00,Daily,00:00:00,68,414.62,0,
NRG-GY024,2024-05-06,23:30:00,2024-05-06,23:30:00,2024-05-07,23:30:00,Daily,00:00:00,13,0.91,0,
NRG-GY025,2024-05-06,23:40:00,2024-05-06,23:40:00,2024-05-07,23:35:00,Daily,00:05:00,64,70.17,0,
NRG-GY026,2024-05-07,01:40:00,2024-05-07,01:40:00,2024-05-08,01:37:00,Daily,00:03:00,72,464.15,0,
NRG-GY027,2024-05-06,23:30:00,2024-05-06,23:30:00,2024-05-07,23:25:00,Daily,00:05:00,68,41.22,0,
NRG-GY028,2024-05-07,03:20:00,2024-05-07,03:20:00,2024-05-08,03:15:00,Daily,00:05:00,64,20.49,0,
NRG-GY031,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:20:00,Daily,00:20:00,68,18.2,0,
NRG-GY033,2024-05-07,00:40:00,2024-05-07,00:40:00,2024-05-08,00:32:00,Daily,00:08:00,59,10.1,0,
NRG-HN001,2024-05-07,05:00:00,2024-05-07,05:00:00,2024-05-08,05:00:00,Daily,00:00:00,71,2660.12,0,
NRG-HN002,2024-05-03,06:10:00,2024-05-03,06:10:00,2024-05-10,06:05:00,Weekly,00:05:00,0,,0,
NRG-HN003,2024-05-07,05:10:00,2024-05-07,05:10:00,2024-05-14,05:10:00,Weekly,00:00:00,45,187.98,0,
NRG-HN004,2024-05-07,05:20:00,2024-05-07,05:20:00,2024-05-08,05:15:00,Daily,00:05:00,74,1466.71,0,
