Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,01:00:00,Daily,00:34:17,61.0,1019.7,
NRG-BN002,2021-11-09,01:58:39,2021-11-09,01:58:39,2021-11-16,01:05:00,Weekly,00:53:39,,,
NRG-BN003,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,01:10:00,Daily,00:24:17,51.0,66.95,
NRG-BN005,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,01:15:00,Daily,00:19:17,62.0,59.87,
NRG-BN007,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,01:20:00,Daily,00:14:17,73.0,336.67,
NRG-BN009,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,00:55:00,Daily,00:39:17,65.0,2.62,
NRG-BR001,2021-11-09,01:58:39,2021-11-02,03:22:15,2021-11-16,01:25:00,Weekly,01:57:15,,,
NRG-BR002,2021-11-11,01:34:17,2021-11-11,01:34:17,2021-11-12,01:30:00,Daily,00:04:17,53.0,130.27,
NRG-BR003,2021-11-09,01:58:39,2021-11-02,03:22:15,2021-11-16,01:35:00,Weekly,01:47:15,,,
NRG-BR004,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,01:40:00,Daily,02:08:42,79.0,1740.57,
NRG-BR005,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,01:45:00,Daily,02:03:42,33.0,28.24,
NRG-BR007,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,01:50:00,Daily,01:58:42,72.0,16.65,
NRG-CC003,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,02:05:00,Daily,01:43:42,82.0,513.37,
NRG-CC004,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,02:10:00,Daily,01:38:42,43.0,260.24,
NRG-CC007CD,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,02:15:00,Daily,01:33:42,34.0,114.02,
NRG-CC008,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,02:20:00,Daily,01:28:42,63.0,55.52,
NRG-CC009,2021-11-11,03:48:42,2021-11-11,03:48:42,2021-11-12,02:25:00,Daily,01:23:42,65.0,5.67,
