Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-10-11,00:30:00,2023-10-11,00:30:00,2023-10-12,00:30:00,Daily,00:00:00,68,15.69,0,
NRG-BN001,2023-10-11,01:10:00,2023-10-11,01:10:00,2023-10-12,01:00:00,Daily,00:10:00,61,1006.76,0,
NRG-BN002,2023-10-10,01:20:00,2023-10-10,01:20:00,2023-10-17,01:05:00,Weekly,00:15:00,0,,0,
NRG-BN003,2023-10-11,01:10:00,2023-10-11,01:10:00,2023-10-12,01:10:00,Daily,00:00:00,51,96.46,0,
NRG-BN005,2023-10-11,01:20:00,2023-10-11,01:20:00,2023-10-12,01:15:00,Daily,00:05:00,62,133.22,0,
NRG-BN007,2023-10-11,01:20:00,2023-10-11,01:20:00,2023-10-12,01:20:00,Daily,00:00:00,73,894.36,0,
NRG-BN009,2023-10-11,01:10:00,2023-10-11,01:10:00,2023-10-12,00:55:00,Daily,00:15:00,65,12.6,0,
NRG-BN010,2023-10-11,04:00:00,2023-10-11,04:00:00,2023-10-12,03:59:00,Daily,00:01:00,63,35.05,0,
NRG-BN011,2023-10-10,23:30:00,2023-10-10,23:30:00,2023-10-11,23:24:57,Daily,00:05:03,62,194.2,0,
NRG-BN012,2023-10-11,07:50:00,2023-10-11,07:50:00,2023-10-12,07:45:00,Daily,00:05:00,51,21.23,0,
NRG-BR001,2023-10-10,01:30:00,2023-10-10,01:30:00,2023-10-17,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2023-10-11,02:30:00,2023-10-11,02:30:00,2023-10-12,02:30:00,Daily,00:00:00,55,122.99,0,
NRG-BR003,2023-10-10,01:40:00,2023-10-10,01:40:00,2023-10-17,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2023-10-11,05:10:00,2023-10-11,05:10:00,2023-10-12,05:10:00,Daily,00:00:00,88,2674.18,0,
NRG-BR005,2023-10-11,01:50:00,2023-10-11,01:50:00,2023-10-12,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2023-10-11,01:50:00,2023-10-11,01:50:00,2023-10-12,01:50:00,Daily,00:00:00,72,441.26,0,
