Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-09-14,01:13:51,2022-09-14,01:13:51,2022-09-15,01:00:00,Daily,00:13:51,61.0,903.28,
NRG-BN002,2022-09-13,01:33:51,2022-09-13,01:33:51,2022-09-20,01:05:00,Weekly,00:28:51,,,
NRG-BN003,2022-09-14,01:13:51,2022-09-14,01:13:51,2022-09-15,01:10:00,Daily,00:03:51,51.0,90.32,
NRG-BN005,2022-09-14,01:33:51,2022-09-14,01:33:51,2022-09-15,01:15:00,Daily,00:18:51,62.0,103.27,
NRG-BN007,2022-09-14,01:33:51,2022-09-14,01:33:51,2022-09-15,01:20:00,Daily,00:13:51,73.0,747.25,
NRG-BN009,2022-09-14,01:13:51,2022-09-14,01:13:51,2022-09-15,00:55:00,Daily,00:18:51,65.0,33.57,
NRG-BN010,2022-09-14,04:03:51,2022-09-14,04:03:51,2022-09-15,03:59:00,Daily,00:04:51,63.0,33.93,
NRG-BN011,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:24:57,Daily,23:11:06,62.0,38.63,
NRG-BR001,2022-09-13,01:33:51,2022-09-13,01:33:51,2022-09-20,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2022-09-14,02:33:51,2022-09-14,02:33:51,2022-09-15,02:30:00,Daily,00:03:51,55.0,135.47,
NRG-BR003,2022-09-13,01:53:51,2022-09-13,01:53:51,2022-09-20,01:35:00,Weekly,00:18:51,,,
NRG-BR004,2022-09-14,01:43:51,2022-09-14,01:43:51,2022-09-15,01:40:00,Daily,00:03:51,85.0,2629.4,
NRG-BR005,2022-09-14,01:53:51,2022-09-14,01:53:51,2022-09-15,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-09-14,01:53:51,2022-09-14,01:53:51,2022-09-15,01:50:00,Daily,00:03:51,72.0,197.3,
NRG-CC003,2022-09-14,02:13:51,2022-09-14,02:13:51,2022-09-15,02:05:00,Daily,00:08:51,82.0,511.85,
NRG-CC004,2022-09-14,02:13:51,2022-09-14,02:13:51,2022-09-15,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC005,2022-09-14,04:13:51,2022-09-14,04:13:51,2022-09-15,04:05:00,Daily,00:08:51,46.0,49.38,
NRG-CC007CD,2022-09-14,02:23:51,2022-09-14,02:23:51,2022-09-15,02:15:00,Daily,00:08:51,34.0,154.56,
NRG-CC008,2022-09-14,02:23:51,2022-09-14,02:23:51,2022-09-15,02:20:00,Daily,00:03:51,63.0,149.36,
NRG-CC009,2022-09-14,02:33:51,2022-09-14,02:33:51,2022-09-15,02:25:00,Daily,00:08:51,65.0,47.8,
NRG-DT001,2022-09-14,02:33:51,2022-09-14,02:33:51,2022-09-15,02:30:00,Daily,00:03:51,54.0,134.34,
NRG-GI002,2022-09-13,02:43:51,2022-09-13,02:43:51,2022-09-20,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-09-14,02:43:51,2022-09-14,02:43:51,2022-09-15,02:40:00,Daily,00:03:51,48.0,133.72,
NRG-GI004,2022-09-14,02:53:51,2022-09-14,02:53:51,2022-09-15,02:50:00,Daily,00:03:51,53.0,358.34,
NRG-GI005,2022-09-13,03:03:51,2022-09-13,03:03:51,2022-09-20,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2022-09-14,03:03:51,2022-09-14,03:03:51,2022-09-15,03:00:00,Daily,00:03:51,73.0,301.15,
NRG-GI007,2022-09-14,04:43:51,2022-09-14,04:43:51,2022-09-15,04:40:00,Daily,00:03:51,51.0,27.69,
NRG-GU002,2022-09-14,03:13:51,2022-09-14,03:13:51,2022-09-15,03:05:00,Daily,00:08:51,49.0,224.71,
NRG-GU003,2022-09-14,03:13:51,2022-09-14,03:13:51,2022-09-15,03:10:00,Daily,00:03:51,47.0,248.13,
NRG-GU005,2022-09-14,03:23:51,2022-09-14,03:23:51,2022-09-15,03:15:00,Daily,00:08:51,54.0,600.67,
NRG-GU006,2022-09-14,03:23:51,2022-09-14,03:23:51,2022-09-15,03:20:00,Daily,00:03:51,50.0,415.79,
NRG-GU007,2022-09-14,03:33:51,2022-09-14,03:33:51,2022-09-15,03:25:00,Daily,00:08:51,44.0,72.15,
NRG-GU008,2022-09-14,03:33:51,2022-09-14,03:33:51,2022-09-15,03:30:00,Daily,00:03:51,59.0,165.49,
NRG-GU009,2022-09-14,03:43:51,2022-09-14,03:43:51,2022-09-15,03:35:00,Daily,00:08:51,77.0,286.35,
NRG-GU010,2022-09-14,04:53:51,2022-09-14,04:53:51,2022-09-15,04:45:00,Daily,00:08:51,60.0,67.28,
NRG-GU011,2022-09-14,04:23:51,2022-09-14,04:23:51,2022-09-15,04:15:00,Daily,00:08:51,58.0,40.24,
NRG-GY003,2022-09-13,01:03:51,2022-09-13,01:03:51,2022-09-20,00:55:00,Weekly,00:08:51,,,
NRG-GY004,2022-09-13,01:03:51,2022-09-13,01:03:51,2022-09-20,00:50:00,Weekly,00:13:51,,,
NRG-GY005,2022-09-14,00:53:51,2022-09-14,00:53:51,2022-09-15,00:45:00,Daily,00:08:51,67.0,3062.66,
NRG-GY006,2022-09-14,00:53:51,2022-09-14,00:53:51,2022-09-15,00:40:00,Daily,00:13:51,71.0,1629.78,
NRG-GY007,2022-09-14,00:53:51,2022-09-14,00:53:51,2022-09-15,00:35:00,Daily,00:18:51,83.0,1052.31,
NRG-GY009,2022-09-14,00:33:51,2022-09-14,00:33:51,2022-09-15,00:30:00,Daily,00:03:51,77.0,2762.78,
NRG-GY012,2022-09-14,00:33:51,2022-09-14,00:33:51,2022-09-15,00:25:00,Daily,00:08:51,61.0,839.03,
NRG-GY014,2022-09-14,00:23:51,2022-09-14,00:23:51,2022-09-15,00:20:00,Daily,00:03:51,60.0,247.95,
NRG-GY016,2022-09-14,00:23:51,2022-09-14,00:23:51,2022-09-15,00:15:00,Daily,00:08:51,61.0,128.21,
NRG-GY017,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-15,00:10:00,Daily,00:03:51,71.0,231.76,
NRG-GY018,2022-09-14,01:13:51,2022-09-14,01:13:51,2022-09-15,01:05:00,Daily,00:08:51,79.0,3167.62,
NRG-GY019,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-15,00:00:00,Daily,00:13:51,58.0,1171.14,
NRG-GY020,2022-09-14,00:33:51,2022-09-14,00:33:51,2022-09-15,00:30:00,Daily,00:03:51,67.0,380.39,
NRG-GY021,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:50:00,Daily,23:36:09,64.0,337.94,
NRG-GY022,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:45:00,Daily,23:31:09,32.0,111.22,
NRG-GY023,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:40:00,Daily,23:26:09,66.0,198.22,
NRG-GY024,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:30:00,Daily,23:16:09,13.0,5.95,
NRG-GY025,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:35:00,Daily,23:21:09,64.0,33.26,
NRG-GY027,2022-09-14,00:13:51,2022-09-14,00:13:51,2022-09-14,23:25:00,Daily,23:11:09,68.0,33.28,
NRG-HN001,2022-09-14,05:03:52,2022-09-14,05:03:52,2022-09-15,05:00:00,Daily,00:03:52,71.0,2224.68,
NRG-HN002,2022-09-09,06:23:51,2022-09-09,06:23:51,2022-09-16,06:05:00,Weekly,00:18:51,,,
NRG-HN003,2022-09-13,05:23:51,2022-09-13,05:23:51,2022-09-20,05:10:00,Weekly,00:13:51,,,
NRG-HN004,2022-09-14,05:33:51,2022-09-14,05:33:51,2022-09-15,05:15:00,Daily,00:18:51,74.0,1395.28,
NRG-HN005,2022-09-14,05:33:51,2022-09-14,05:33:51,2022-09-15,05:20:00,Daily,00:13:51,72.0,993.7,
NRG-HN006,2022-09-13,21:03:51,2022-09-13,21:03:51,2022-09-14,21:04:03,Daily,00:00:12,76.0,134.01,
NRG-HN007,2022-09-14,05:33:51,2022-09-14,05:33:51,2022-09-15,05:30:00,Daily,00:03:51,53.0,85.18,
NRG-HN008,2022-09-14,04:53:51,2022-09-14,04:53:51,2022-09-15,04:50:00,Daily,00:03:51,53.0,33.73,
NRG-HN009,2022-09-14,05:03:52,2022-09-14,05:03:52,2022-09-15,04:55:00,Daily,00:08:52,55.0,109.92,
NRG-LU001,2022-09-13,05:43:51,2022-09-13,05:43:51,2022-09-20,05:35:00,Weekly,00:08:51,,,
NRG-LU002,2022-09-13,15:33:51,2022-09-13,15:33:51,2022-09-14,15:30:12,Daily,00:03:39,64.0,698.98,
NRG-LU003,2022-09-13,05:53:51,2022-09-13,05:53:51,2022-09-20,05:45:00,Weekly,00:08:51,,,
NRG-LU004,2022-09-14,05:53:51,2022-09-14,05:53:51,2022-09-15,05:50:00,Daily,00:03:51,46.0,142.96,
NRG-LU005,2022-09-14,06:03:52,2022-09-14,06:03:52,2022-09-15,05:55:00,Daily,00:08:52,84.0,3217.03,
NRG-LU006,2022-09-14,06:03:52,2022-09-14,06:03:52,2022-09-15,06:00:00,Daily,00:03:52,56.0,40.25,
NRG-LU007,2022-09-14,06:03:52,2022-09-14,06:03:52,2022-09-15,06:05:00,Daily,00:01:08,53.0,112.98,
NSABP-B-55,2022-09-14,02:03:51,2022-09-14,02:03:51,2022-09-15,01:57:00,Daily,00:06:51,117.0,2126.74,
RTOG-1112,2022-09-14,06:23:52,2022-09-14,06:23:52,2022-09-15,06:10:00,Daily,00:13:52,52.0,605.7,
RTOG-1115,2022-09-13,06:23:51,2022-09-13,06:23:51,2022-09-20,06:15:00,Weekly,00:08:51,,,
RTOG-1216,2022-09-14,06:23:52,2022-09-14,06:23:52,2022-09-15,06:20:00,Daily,00:03:52,77.0,945.67,
RTOG-1308,2022-09-14,06:33:51,2022-09-14,06:33:51,2022-09-15,06:25:00,Daily,00:08:51,86.0,736.25,
S1418-E-01,2022-09-14,06:33:51,2022-09-14,06:33:51,2022-09-15,06:30:00,Daily,00:03:51,21.0,334.06,
S1914-E-01,2022-09-14,06:43:51,2022-09-14,06:43:51,2022-09-15,06:35:00,Daily,00:08:51,15.0,19.86,
