Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:30:00,Daily,00:00:00,68,40.8,0,
NRG-BN001,2024-02-16,01:00:00,2024-02-16,01:00:00,2024-02-17,01:00:00,Daily,00:00:00,61,1009.93,0,
NRG-BN002,2024-02-13,01:30:00,2024-02-13,01:30:00,2024-02-20,01:05:00,Weekly,00:25:00,0,,0,
NRG-BN003,2024-02-16,02:20:00,2024-02-16,02:20:00,2024-02-17,02:10:00,Daily,00:10:00,53,106.18,0,
NRG-BN005,2024-02-16,01:20:00,2024-02-16,01:20:00,2024-02-17,01:15:00,Daily,00:05:00,62,142.79,0,
NRG-BN007,2024-02-16,01:20:00,2024-02-16,01:20:00,2024-02-17,01:20:00,Daily,00:00:00,73,904.69,0,
NRG-BN009,2024-02-16,01:00:00,2024-02-16,01:00:00,2024-02-17,00:55:00,Daily,00:05:00,65,18.54,0,
NRG-BN010,2024-02-16,04:00:00,2024-02-16,04:00:00,2024-02-17,03:59:00,Daily,00:01:00,63,42.75,0,
NRG-BN011,2024-02-15,23:30:00,2024-02-15,23:30:00,2024-02-16,23:24:57,Daily,00:05:03,62,297.36,0,
NRG-BN012,2024-02-16,07:50:00,2024-02-16,07:50:00,2024-02-17,07:45:00,Daily,00:05:00,51,42.68,0,
NRG-BR001,2024-02-13,01:30:00,2024-02-13,01:30:00,2024-02-20,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2024-02-16,02:30:00,2024-02-16,02:30:00,2024-02-17,02:30:00,Daily,00:00:00,55,123.8,0,
NRG-BR003,2024-02-15,02:40:00,2024-02-15,02:40:00,2024-02-22,02:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-02-16,05:10:00,2024-02-16,05:10:00,2024-02-17,05:10:00,Daily,00:00:00,88,2683.72,0,
NRG-BR005,2024-02-16,01:50:00,2024-02-16,01:50:00,2024-02-17,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-02-16,01:50:00,2024-02-16,01:50:00,2024-02-17,01:50:00,Daily,00:00:00,72,512.79,0,
NRG-BR008,2024-02-15,23:20:00,2024-02-15,23:20:00,2024-02-16,23:20:00,Daily,00:00:00,70,8.6,0,
NRG-BR009,2024-02-16,00:10:00,2024-02-16,00:10:00,2024-02-17,00:10:00,Daily,00:00:00,62,6.7,0,
NRG-CC003,2024-02-16,02:20:00,2024-02-16,02:20:00,2024-02-17,02:05:00,Daily,00:15:00,82,544.17,0,
NRG-CC004,2024-02-16,02:20:00,2024-02-16,02:20:00,2024-02-17,02:10:00,Daily,00:10:00,43,229.14,0,
NRG-CC005,2024-02-16,04:10:00,2024-02-16,04:10:00,2024-02-17,04:05:00,Daily,00:05:00,46,252.32,0,
NRG-CC007CD,2024-02-16,02:20:00,2024-02-16,02:20:00,2024-02-17,02:15:00,Daily,00:05:00,34,182.83,0,
NRG-CC008,2024-02-16,02:20:00,2024-02-16,02:20:00,2024-02-17,02:20:00,Daily,00:00:00,63,380.19,0,
NRG-CC009,2024-02-16,02:30:00,2024-02-16,02:30:00,2024-02-17,02:25:00,Daily,00:05:00,65,79.44,0,
NRG-CC010,2024-02-15,18:40:00,2024-02-15,18:40:00,2024-02-16,18:35:00,Daily,00:05:00,43,24.61,0,
NRG-DT001,2024-02-16,02:30:00,2024-02-16,02:30:00,2024-02-17,02:30:00,Daily,00:00:00,54,131.97,0,
NRGF-001,2024-02-16,07:50:00,2024-02-16,07:50:00,2024-02-17,07:48:00,Daily,00:02:00,42,0.76,0,
NRG-GI002,2024-02-13,02:40:00,2024-02-13,02:40:00,2024-02-17,03:35:00,Daily,00:55:00,0,,0,
NRG-GI003,2024-02-16,02:40:00,2024-02-16,02:40:00,2024-02-17,02:40:00,Daily,00:00:00,48,183.53,0,
NRG-GI004,2024-02-16,02:50:00,2024-02-16,02:50:00,2024-02-17,02:50:00,Daily,00:00:00,56,444.84,0,
NRG-GI005,2024-02-10,03:00:00,2024-02-10,03:00:00,2024-02-17,02:55:00,Weekly,00:05:00,0,,0,
NRG-GI006,2024-02-16,03:00:00,2024-02-16,03:00:00,2024-02-17,03:00:00,Daily,00:00:00,73,454.29,0,
NRG-GI007,2024-02-16,04:40:00,2024-02-16,04:40:00,2024-02-17,04:40:00,Daily,00:00:00,51,24.94,0,
NRG-GI008,2024-02-16,03:50:00,2024-02-16,03:50:00,2024-02-17,03:43:00,Daily,00:07:00,61,181.9,0,
NRG-GU002,2024-02-16,03:10:00,2024-02-16,03:10:00,2024-02-17,03:05:00,Daily,00:05:00,49,250.52,0,
NRG-GU003,2024-02-16,03:10:00,2024-02-16,03:10:00,2024-02-17,03:10:00,Daily,00:00:00,47,260.26,0,
NRG-GU005,2024-02-16,03:20:00,2024-02-16,03:20:00,2024-02-17,03:15:00,Daily,00:05:00,54,735.59,0,
NRG-GU006,2024-02-16,03:20:00,2024-02-16,03:20:00,2024-02-17,03:20:00,Daily,00:00:00,50,470.92,0,
NRG-GU007,2024-02-16,03:30:00,2024-02-16,03:30:00,2024-02-17,03:25:00,Daily,00:05:00,44,91.1,0,
NRG-GU008,2024-02-16,03:30:00,2024-02-16,03:30:00,2024-02-17,03:30:00,Daily,00:00:00,59,435.29,0,
NRG-GU009,2024-02-16,04:40:00,2024-02-16,04:40:00,2024-02-17,04:35:00,Daily,00:05:00,81,2037.19,0,
NRG-GU010,2024-02-16,04:50:00,2024-02-16,04:50:00,2024-02-17,04:45:00,Daily,00:05:00,60,929.32,0,
NRG-GU011,2024-02-16,04:20:00,2024-02-16,04:20:00,2024-02-17,04:15:00,Daily,00:05:00,58,141.16,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59,16.11,0,
NRG-GU012,2024-02-16,07:50:00,2024-02-16,07:50:00,2024-02-17,07:50:00,Daily,00:00:00,59,16.11,0,
NRG-GU013,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:15:00,Daily,00:15:00,53,4.1,0,
NRG-GY003,2024-02-13,01:00:00,2024-02-13,01:00:00,2024-02-20,00:55:00,Weekly,00:05:00,0,,0,
NRG-GY004,2024-02-13,01:00:00,2024-02-13,01:00:00,2024-02-20,00:50:00,Weekly,00:10:00,0,,0,
NRG-GY005,2024-02-16,00:50:00,2024-02-16,00:50:00,2024-02-17,00:45:00,Daily,00:05:00,67,3182.63,0,
NRG-GY006,2024-02-16,01:40:00,2024-02-16,01:40:00,2024-02-17,01:40:00,Daily,00:00:00,73,1845.77,0,
NRG-GY007,2024-02-16,00:50:00,2024-02-16,00:50:00,2024-02-17,00:35:00,Daily,00:15:00,83,1071.54,0,
NRG-GY009,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:30:00,Daily,00:00:00,77,2961.71,0,
NRG-GY012,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:25:00,Daily,00:05:00,68,1554.32,0,
NRG-GY014,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:20:00,Daily,00:10:00,60,266.96,0,
NRG-GY016,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:15:00,Daily,00:15:00,61,106.89,0,
NRG-GY017,2024-02-16,00:10:00,2024-02-16,00:10:00,2024-02-17,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2024-02-16,00:10:00,2024-02-16,00:10:00,2024-02-17,00:05:00,Daily,00:05:00,85,18665.53,0,
NRG-GY019,2024-02-16,00:00:00,2024-02-16,00:00:00,2024-02-17,00:00:00,Daily,00:00:00,58,2633.61,0,
NRG-GY020,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:30:00,Daily,00:00:00,67,512.16,0,
NRG-GY021,2024-02-15,23:50:00,2024-02-15,23:50:00,2024-02-16,23:50:00,Daily,00:00:00,64,332.76,0,
NRG-GY022,2024-02-15,23:50:00,2024-02-15,23:50:00,2024-02-16,23:45:00,Daily,00:05:00,32,124.73,0,
NRG-GY023,2024-02-15,23:40:00,2024-02-15,23:40:00,2024-02-16,23:40:00,Daily,00:00:00,68,409.44,0,
NRG-GY024,2024-02-15,23:30:00,2024-02-15,23:30:00,2024-02-16,23:30:00,Daily,00:00:00,13,0.71,0,
NRG-GY025,2024-02-15,23:40:00,2024-02-15,23:40:00,2024-02-16,23:35:00,Daily,00:05:00,64,58.27,0,
NRG-GY026,2024-02-16,01:40:00,2024-02-16,01:40:00,2024-02-17,01:37:00,Daily,00:03:00,72,328.42,0,
NRG-GY027,2024-02-15,23:30:00,2024-02-15,23:30:00,2024-02-16,23:25:00,Daily,00:05:00,68,36.08,0,
NRG-GY028,2024-02-16,03:20:00,2024-02-16,03:20:00,2024-02-17,03:15:00,Daily,00:05:00,64,16.16,0,
NRG-GY031,2024-02-16,00:30:00,2024-02-16,00:30:00,2024-02-17,00:20:00,Daily,00:10:00,68,6.53,0,
NRG-HN001,2024-02-16,05:00:00,2024-02-16,05:00:00,2024-02-17,05:00:00,Daily,00:00:00,71,2633.74,0,
NRG-HN002,2024-02-16,06:20:00,2024-02-16,06:20:00,2024-02-23,06:05:00,Weekly,00:15:00,68,1402.84,0,
NRG-HN003,2024-02-13,05:10:00,2024-02-13,05:10:00,2024-02-20,05:10:00,Weekly,00:00:00,0,,0,
