Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-10-18,00:30:00,2023-10-18,00:30:00,2023-10-19,00:30:00,Daily,00:00:00,68,16.32,0,
NRG-BN001,2023-10-18,01:10:00,2023-10-18,01:10:00,2023-10-19,01:00:00,Daily,00:10:00,61,1007.43,0,
NRG-BN002,2023-10-17,01:20:00,2023-10-17,01:20:00,2023-10-24,01:05:00,Weekly,00:15:00,0,,0,
NRG-BN003,2023-10-18,01:10:00,2023-10-18,01:10:00,2023-10-19,01:10:00,Daily,00:00:00,51,96.78,0,
NRG-BN005,2023-10-18,01:20:00,2023-10-18,01:20:00,2023-10-19,01:15:00,Daily,00:05:00,62,133.54,0,
NRG-BN007,2023-10-18,01:20:00,2023-10-18,01:20:00,2023-10-19,01:20:00,Daily,00:00:00,73,894.79,0,
NRG-BN009,2023-10-18,01:10:00,2023-10-18,01:10:00,2023-10-19,00:55:00,Daily,00:15:00,65,15.24,0,
NRG-BN010,2023-10-18,04:00:00,2023-10-18,04:00:00,2023-10-19,03:59:00,Daily,00:01:00,63,36.07,0,
NRG-BN011,2023-10-17,23:30:00,2023-10-17,23:30:00,2023-10-18,23:24:57,Daily,00:05:03,62,196.36,0,
NRG-BN012,2023-10-18,07:50:00,2023-10-18,07:50:00,2023-10-19,07:45:00,Daily,00:05:00,51,23.2,0,
NRG-BR001,2023-10-17,01:30:00,2023-10-17,01:30:00,2023-10-24,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2023-10-18,02:30:00,2023-10-18,02:30:00,2023-10-19,02:30:00,Daily,00:00:00,55,123.12,0,
NRG-BR003,2023-10-17,01:40:00,2023-10-17,01:40:00,2023-10-24,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2023-10-18,05:10:00,2023-10-18,05:10:00,2023-10-19,05:10:00,Daily,00:00:00,88,2674.46,0,
NRG-BR005,2023-10-18,01:50:00,2023-10-18,01:50:00,2023-10-19,01:45:00,Daily,00:05:00,35,27.31,0,
