Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-07-08,01:13:51,2022-07-08,01:13:51,2022-07-09,01:00:00,Daily,00:13:51,61.0,897.21,
NRG-BN002,2022-07-05,01:23:51,2022-07-05,01:23:51,2022-07-12,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-07-08,01:13:51,2022-07-08,01:13:51,2022-07-09,01:10:00,Daily,00:03:51,51.0,87.59,
NRG-BN005,2022-07-08,01:23:51,2022-07-08,01:23:51,2022-07-09,01:15:00,Daily,00:08:51,62.0,99.09,
NRG-BN007,2022-07-08,01:23:51,2022-07-08,01:23:51,2022-07-09,01:20:00,Daily,00:03:51,73.0,681.19,
NRG-BN009,2022-07-08,01:13:51,2022-07-08,01:13:51,2022-07-09,00:55:00,Daily,00:18:51,65.0,33.33,
NRG-BN010,2022-07-08,04:03:51,2022-07-08,04:03:51,2022-07-09,03:59:00,Daily,00:04:51,63.0,32.68,
NRG-BN011,2022-07-07,23:33:51,2022-07-06,23:33:51,2022-07-08,23:24:57,Daily,00:08:54,,,
NRG-BR001,2022-07-05,02:03:51,2022-07-05,02:03:51,2022-07-12,01:25:00,Weekly,00:38:51,,,
NRG-BR002,2022-07-08,02:33:51,2022-07-08,02:33:51,2022-07-09,02:30:00,Daily,00:03:51,55.0,134.98,
NRG-BR003,2022-07-05,02:03:51,2022-07-05,02:03:51,2022-07-12,01:35:00,Weekly,00:28:51,,,
NRG-BR004,2022-07-08,01:43:51,2022-07-08,01:43:51,2022-07-09,01:40:00,Daily,00:03:51,85.0,2602.35,
NRG-BR005,2022-07-08,01:53:51,2022-07-08,01:53:51,2022-07-09,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-07-08,01:53:51,2022-07-08,01:53:51,2022-07-09,01:50:00,Daily,00:03:51,72.0,148.13,
NRG-CC003,2022-07-08,02:13:51,2022-07-08,02:13:51,2022-07-09,02:05:00,Daily,00:08:51,82.0,503.22,
NRG-CC004,2022-07-08,02:13:51,2022-07-08,02:13:51,2022-07-09,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC005,2022-07-08,04:13:51,2022-07-08,04:13:51,2022-07-09,04:05:00,Daily,00:08:51,46.0,33.99,
NRG-CC007CD,2022-07-08,02:23:51,2022-07-08,02:23:51,2022-07-09,02:15:00,Daily,00:08:51,34.0,147.84,
NRG-CC008,2022-07-08,02:23:51,2022-07-08,02:23:51,2022-07-09,02:20:00,Daily,00:03:51,63.0,136.11,
NRG-CC009,2022-07-08,02:33:51,2022-07-08,02:33:51,2022-07-09,02:25:00,Daily,00:08:51,65.0,44.4,
