Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:30:00,Daily,00:00:00,68,12.33,0,
NRG-BN001,2023-09-29,01:10:00,2023-09-29,01:10:00,2023-09-30,01:00:00,Daily,00:10:00,61,1006.52,0,
NRG-BN002,2023-09-26,01:20:00,2023-09-26,01:20:00,2023-10-03,01:05:00,Weekly,00:15:00,0,,0,
NRG-BN003,2023-09-29,01:10:00,2023-09-29,01:10:00,2023-09-30,01:10:00,Daily,00:00:00,51,95.87,0,
NRG-BN005,2023-09-29,01:20:00,2023-09-29,01:20:00,2023-09-30,01:15:00,Daily,00:05:00,62,132.72,0,
NRG-BN007,2023-09-29,01:20:00,2023-09-29,01:20:00,2023-09-30,01:20:00,Daily,00:00:00,73,894.16,0,
NRG-BN009,2023-09-29,01:10:00,2023-09-29,01:10:00,2023-09-30,00:55:00,Daily,00:15:00,65,12.49,0,
NRG-BN010,2023-09-29,04:00:00,2023-09-29,04:00:00,2023-09-30,03:59:00,Daily,00:01:00,63,34.06,0,
NRG-BN011,2023-09-28,23:30:00,2023-09-28,23:30:00,2023-09-29,23:24:57,Daily,00:05:03,62,188.43,62,[D] Stale data detected
NRG-BN012,2023-09-29,07:50:00,2023-09-29,07:50:00,2023-09-30,07:45:00,Daily,00:05:00,51,20.31,0,
NRG-BR001,2023-09-26,01:30:00,2023-09-26,01:30:00,2023-10-03,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2023-09-29,02:30:00,2023-09-29,02:30:00,2023-09-30,02:30:00,Daily,00:00:00,55,122.78,0,
NRG-BR003,2023-09-26,01:40:00,2023-09-26,01:40:00,2023-10-03,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2023-09-29,05:10:00,2023-09-29,05:10:00,2023-09-30,05:10:00,Daily,00:00:00,88,2673.68,0,
NRG-BR005,2023-09-29,01:50:00,2023-09-29,01:50:00,2023-09-30,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2023-09-29,01:50:00,2023-09-29,01:50:00,2023-09-30,01:50:00,Daily,00:00:00,72,435.72,0,
NRG-CC003,2023-09-29,02:10:00,2023-09-29,02:10:00,2023-09-30,02:05:00,Daily,00:05:00,82,537.51,0,
NRG-CC004,2023-09-29,02:10:00,2023-09-29,02:10:00,2023-09-30,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2023-09-29,04:10:00,2023-09-29,04:10:00,2023-09-30,04:05:00,Daily,00:05:00,46,194.96,0,
NRG-CC007CD,2023-09-29,02:20:00,2023-09-29,02:20:00,2023-09-30,02:15:00,Daily,00:05:00,34,175.86,0,
NRG-CC008,2023-09-29,02:20:00,2023-09-29,02:20:00,2023-09-30,02:20:00,Daily,00:00:00,63,299.61,0,
NRG-CC009,2023-09-29,02:30:00,2023-09-29,02:30:00,2023-09-30,02:25:00,Daily,00:05:00,65,57.97,0,
NRG-CC010,2023-09-28,18:40:00,2023-09-28,18:40:00,2023-09-29,18:35:00,Daily,00:05:00,43,11.05,43,[D] Stale data detected
NRG-DT001,2023-09-29,02:30:00,2023-09-29,02:30:00,2023-09-30,02:30:00,Daily,00:00:00,54,129.86,0,
NRG-GI002,2023-09-26,02:40:00,2023-09-26,02:40:00,2023-10-03,02:35:00,Weekly,00:05:00,0,,0,
NRG-GI003,2023-09-29,02:40:00,2023-09-29,02:40:00,2023-09-30,02:40:00,Daily,00:00:00,48,164.11,0,
NRG-GI004,2023-09-29,02:50:00,2023-09-29,02:50:00,2023-09-30,02:50:00,Daily,00:00:00,56,427.3,0,
NRG-GI005,2023-09-23,03:00:00,2023-09-23,03:00:00,2023-09-30,02:55:00,Weekly,00:05:00,0,,0,
NRG-GI006,2023-09-29,03:00:00,2023-09-29,03:00:00,2023-09-30,03:00:00,Daily,00:00:00,73,392.75,0,
NRG-GI007,2023-09-29,04:40:00,2023-09-29,04:40:00,2023-09-30,04:40:00,Daily,00:00:00,51,15.39,0,
NRG-GI008,2023-09-29,03:50:00,2023-09-29,03:50:00,2023-09-30,03:43:00,Daily,00:07:00,60,115.0,0,
NRG-GU002,2023-09-29,03:10:00,2023-09-29,03:10:00,2023-09-30,03:05:00,Daily,00:05:00,49,243.13,0,
NRG-GU003,2023-09-29,03:10:00,2023-09-29,03:10:00,2023-09-30,03:10:00,Daily,00:00:00,47,256.91,0,
NRG-GU005,2023-09-29,03:20:00,2023-09-29,03:20:00,2023-09-30,03:15:00,Daily,00:05:00,54,704.35,0,
NRG-GU006,2023-09-29,03:20:00,2023-09-29,03:20:00,2023-09-30,03:20:00,Daily,00:00:00,50,461.85,0,
NRG-GU007,2023-09-29,03:30:00,2023-09-29,03:30:00,2023-09-30,03:25:00,Daily,00:05:00,44,82.71,0,
NRG-GU008,2023-09-29,03:30:00,2023-09-29,03:30:00,2023-09-30,03:30:00,Daily,00:00:00,59,355.17,0,
NRG-GU009,2023-09-29,04:40:00,2023-09-29,04:40:00,2023-09-30,04:35:00,Daily,00:05:00,81,1379.7,0,
NRG-GU010,2023-09-29,04:50:00,2023-09-29,04:50:00,2023-09-30,04:45:00,Daily,00:05:00,60,473.95,0,
NRG-GU011,2023-09-29,04:20:00,2023-09-29,04:20:00,2023-09-30,04:15:00,Daily,00:05:00,58,64.71,0,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,59,6.27,0,
NRG-GU012,2023-09-29,07:50:00,2023-09-29,07:50:00,2023-09-30,07:50:00,Daily,00:00:00,59,6.27,0,
NRG-GY003,2023-09-26,01:20:00,2023-09-26,01:20:00,2023-10-03,00:55:00,Weekly,00:25:00,0,,0,
NRG-GY004,2023-09-26,00:50:00,2023-09-26,00:50:00,2023-10-03,00:50:00,Weekly,00:00:00,0,,0,
NRG-GY005,2023-09-29,00:50:00,2023-09-29,00:50:00,2023-09-30,00:45:00,Daily,00:05:00,67,3178.3,0,
NRG-GY006,2023-09-29,00:50:00,2023-09-29,00:50:00,2023-09-30,00:40:00,Daily,00:10:00,71,1819.43,0,
NRG-GY007,2023-09-29,00:50:00,2023-09-29,00:50:00,2023-09-30,00:35:00,Daily,00:15:00,83,1067.55,0,
NRG-GY009,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:30:00,Daily,00:00:00,77,2947.78,0,
NRG-GY012,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:25:00,Daily,00:05:00,68,1423.15,0,
NRG-GY014,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:20:00,Daily,00:10:00,60,263.13,0,
NRG-GY016,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:15:00,Daily,00:15:00,61,106.36,0,
NRG-GY017,2023-09-29,00:10:00,2023-09-29,00:10:00,2023-09-30,00:10:00,Daily,00:00:00,71,208.2,0,
NRG-GY018,2023-09-29,00:10:00,2023-09-29,00:10:00,2023-09-30,00:05:00,Daily,00:05:00,84,17711.7,0,
NRG-GY019,2023-09-29,00:00:00,2023-09-29,00:00:00,2023-09-30,00:00:00,Daily,00:00:00,58,2187.84,0,
NRG-GY020,2023-09-29,00:30:00,2023-09-29,00:30:00,2023-09-30,00:30:00,Daily,00:00:00,67,501.67,0,
NRG-GY021,2023-09-28,23:50:00,2023-09-28,23:50:00,2023-09-29,23:50:00,Daily,00:00:00,64,332.26,64,[D] Stale data detected
NRG-GY022,2023-09-28,23:50:00,2023-09-28,23:50:00,2023-09-29,23:45:00,Daily,00:05:00,32,118.4,32,[D] Stale data detected
NRG-GY023,2023-09-28,23:40:00,2023-09-28,23:40:00,2023-09-29,23:40:00,Daily,00:00:00,68,397.83,68,[D] Stale data detected
NRG-GY024,2023-09-28,23:30:00,2023-09-28,23:30:00,2023-09-29,23:30:00,Daily,00:00:00,13,0.64,13,[D] Stale data detected
NRG-GY025,2023-09-28,23:40:00,2023-09-11,23:40:00,2023-09-29,23:35:00,Daily,00:05:00,0,,0,
NRG-GY026,2023-09-29,01:40:00,2023-09-06,01:40:00,2023-09-30,01:37:00,Daily,00:03:00,0,,0,[H] Zip file creation process failed but files found in N drive
NRG-GY027,2023-09-28,23:30:00,2023-09-28,23:30:00,2023-09-29,23:25:00,Daily,00:05:00,68,23.61,68,[D] Stale data detected
NRG-GY028,2023-09-29,03:20:00,2023-09-29,03:20:00,2023-09-30,03:15:00,Daily,00:05:00,64,12.26,0,
NRG-HN001,2023-09-29,05:00:00,2023-09-29,05:00:00,2023-09-30,05:00:00,Daily,00:00:00,71,2568.36,0,
NRG-HN002,2023-09-29,06:10:00,2023-09-29,06:10:00,2023-10-06,06:05:00,Weekly,00:05:00,68,1396.6,0,
NRG-HN003,2023-09-26,05:10:00,2023-09-26,05:10:00,2023-10-03,05:10:00,Weekly,00:00:00,0,,0,
NRG-HN004,2023-09-29,05:20:00,2023-09-29,05:20:00,2023-09-30,05:15:00,Daily,00:05:00,74,1452.68,0,
NRG-HN005,2023-09-29,05:20:00,2023-09-29,05:20:00,2023-09-30,05:20:00,Daily,00:00:00,72,1404.96,0,
NRG-HN006,2023-09-28,21:10:00,2023-09-28,21:10:00,2023-09-29,21:04:03,Daily,00:05:57,76,199.8,76,[D] Stale data detected
NRG-HN007,2023-09-29,05:30:00,2023-09-29,05:30:00,2023-09-30,05:30:00,Daily,00:00:00,53,72.84,0,
NRG-HN008,2023-09-29,04:50:00,2023-09-29,04:50:00,2023-09-30,04:50:00,Daily,00:00:00,53,33.38,0,
NRG-HN009,2023-09-29,05:00:00,2023-09-29,05:00:00,2023-09-30,04:55:00,Daily,00:05:00,55,474.04,0,
NRG-HN010,2023-09-29,07:00:00,2023-09-29,07:00:00,2023-09-30,06:55:00,Daily,00:05:00,42,3.58,0,
NRG-LU001,2023-09-26,05:40:00,2023-09-26,05:40:00,2023-10-03,05:35:00,Weekly,00:05:00,0,,0,
NRG-LU002,2023-09-28,15:40:00,2023-09-28,15:40:00,2023-09-29,15:30:12,Daily,00:09:48,64,795.66,64,[D] Stale data detected
NRG-LU003,2023-09-26,05:50:00,2023-09-26,05:50:00,2023-10-03,05:45:00,Weekly,00:05:00,0,,0,
NRG-LU004,2023-09-29,05:50:00,2023-09-29,05:50:00,2023-09-30,05:50:00,Daily,00:00:00,46,135.4,0,
NRG-LU005,2023-09-29,06:00:00,2023-09-29,06:00:00,2023-09-30,05:55:00,Daily,00:05:00,84,4002.23,0,
NRG-LU006,2023-09-29,06:00:00,2023-09-29,06:00:00,2023-09-30,06:00:00,Daily,00:00:00,56,30.49,0,
NRG-LU007,2023-09-29,06:10:00,2023-09-29,06:10:00,2023-09-30,06:05:00,Daily,00:05:00,53,172.01,0,
NRG-LU008,2023-09-28,15:50:00,2023-09-28,15:50:00,2023-09-29,15:48:00,Daily,00:02:00,67,7.19,67,[D] Stale data detected
NSABP-B-55,2023-09-29,02:00:00,2023-09-29,02:00:00,2023-09-30,01:57:00,Daily,00:03:00,117,2141.11,0,
RTOG-1112,2023-09-29,06:10:00,2023-09-29,06:10:00,2023-09-30,06:10:00,Daily,00:00:00,52,617.64,0,
RTOG-1115,2023-09-26,06:20:00,2023-09-26,06:20:00,2023-10-03,06:15:00,Weekly,00:05:00,0,,0,
RTOG-1216,2023-09-29,06:20:00,2023-09-29,06:20:00,2023-09-30,06:20:00,Daily,00:00:00,77,1240.91,0,
RTOG-1308,2023-09-29,06:30:00,2023-09-29,06:30:00,2023-09-30,06:25:00,Daily,00:05:00,86,877.28,0,
S1418-E-01,2023-09-29,06:30:00,2023-09-29,06:30:00,2023-09-30,06:30:00,Daily,00:00:00,21,340.81,0,
S1914-E-01,2023-09-29,06:40:00,2023-09-29,06:40:00,2023-09-30,06:35:00,Daily,00:05:00,15,38.41,0,
