Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:00:00,Daily,01:30:41,61.0,1026.68,
NRG-BN002,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,01:05:00,Weekly,00:48:19,,,
NRG-BN003,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:10:00,Daily,01:20:41,51.0,67.73,
NRG-BN005,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:15:00,Daily,01:15:41,62.0,66.11,
NRG-BN007,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:20:00,Daily,01:10:41,73.0,403.21,
NRG-BN009,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,00:55:00,Daily,01:35:41,65.0,3.16,
NRG-BR001,2021-12-07,03:58:58,2021-12-07,03:58:58,2021-12-14,01:25:00,Weekly,02:33:58,,,
NRG-BR002,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:30:00,Daily,02:30:02,54.0,131.72,
NRG-BR003,2021-12-07,03:58:58,2021-12-07,03:58:58,2021-12-14,01:35:00,Weekly,02:23:58,,,
NRG-BR004,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:40:00,Daily,00:50:41,79.0,1859.28,
NRG-BR005,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:45:00,Daily,00:45:41,33.0,28.24,
NRG-BR007,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,01:50:00,Daily,00:40:41,72.0,24.84,
NRG-CC003,2021-12-11,02:30:41,2021-12-10,04:45:28,2021-12-12,02:05:00,Daily,02:40:28,,,[A] Zip file creation process failed
NRG-CC004,2021-12-11,05:00:02,2021-12-10,04:45:28,2021-12-12,02:10:00,Daily,02:35:28,,,[A] Zip file creation process failed
NRG-CC007CD,2021-12-11,05:00:02,2021-12-10,04:45:28,2021-12-12,02:15:00,Daily,02:30:28,,,[A] Zip file creation process failed
NRG-CC008,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:20:00,Daily,02:40:02,63.0,66.19,
NRG-CC009,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:25:00,Daily,02:35:02,65.0,6.31,
NRG-DT001,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:30:00,Daily,02:30:02,52.0,123.19,
NRG-GI002,2021-12-07,05:57:01,2021-12-07,05:57:01,2021-12-14,02:35:00,Weekly,03:22:01,,,
NRG-GI003,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:40:00,Daily,02:20:02,48.0,109.12,
NRG-GI004,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,02:50:00,Daily,02:10:02,53.0,291.83,
NRG-GI005,2021-12-07,05:57:01,2021-12-07,05:57:01,2021-12-14,02:55:00,Weekly,03:02:01,,,
NRG-GI006,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,03:00:00,Daily,02:00:02,73.0,207.3,
NRG-GI007,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,04:40:00,Daily,02:22:08,51.0,1.27,
NRG-GU002,2021-12-11,05:00:02,2021-12-11,05:00:02,2021-12-12,03:05:00,Daily,01:55:02,49.0,207.33,
NRG-GU003,2021-12-11,05:00:02,2021-12-08,05:49:16,2021-12-12,03:10:00,Daily,02:39:16,,,[A] [G] Zip file creation process failed
NRG-GU005,2021-12-11,07:02:08,2021-12-09,03:59:30,2021-12-12,03:15:00,Daily,00:44:30,,,[A] [G] Zip file creation process failed
NRG-GU006,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,03:20:00,Daily,03:42:08,50.0,456.09,
NRG-GU007,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,03:25:00,Daily,03:37:08,44.0,42.51,
NRG-GU008,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,03:30:00,Daily,03:32:08,59.0,67.4,
NRG-GU009,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,03:35:00,Daily,03:27:08,77.0,59.49,
NRG-GY003,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,00:55:00,Weekly,00:58:19,,,
NRG-GY004,2021-12-07,01:53:19,2021-12-07,01:53:19,2021-12-14,00:50:00,Weekly,01:03:19,,,
NRG-GY005,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,00:45:00,Daily,01:45:41,67.0,3475.35,
NRG-GY006,2021-12-11,02:30:41,2021-12-11,02:30:41,2021-12-12,00:40:00,Daily,01:50:41,71.0,1572.24,
NRG-GY007,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:35:00,Daily,00:00:18,83.0,1186.86,
NRG-GY009,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:30:00,Daily,00:05:18,77.0,2799.86,
NRG-GY012,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:25:00,Daily,00:10:18,61.0,749.71,
NRG-GY014,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:20:00,Daily,00:15:18,60.0,192.21,
NRG-GY016,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:15:00,Daily,00:20:18,61.0,115.6,
NRG-GY017,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:10:00,Daily,00:25:18,71.0,232.32,
NRG-GY018,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:05:00,Daily,00:30:18,77.0,1719.79,
NRG-GY019,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-12,00:00:00,Daily,00:35:18,58.0,638.8,
NRG-GY020,2021-12-11,00:35:18,2021-12-11,00:35:18,2021-12-11,23:55:00,Daily,23:19:42,67.0,207.99,
NRG-GY021,2021-12-10,23:54:01,2021-12-10,23:54:01,2021-12-11,23:50:00,Daily,00:04:01,64.0,311.12,
NRG-GY022,2021-12-10,23:54:01,2021-12-10,23:54:01,2021-12-11,23:45:00,Daily,00:09:01,32.0,98.2,
NRG-GY023,2021-12-10,23:54:01,2021-12-10,23:54:01,2021-12-11,23:40:00,Daily,00:14:01,66.0,35.16,
NRG-HN001,2021-12-11,07:02:08,2021-12-11,07:02:08,2021-12-12,05:00:00,Daily,02:02:08,71.0,2556.26,
NRG-HN002,2021-12-10,06:51:11,2021-12-03,06:59:42,2021-12-17,06:05:00,Weekly,00:54:42,,,
