Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2023-03-03,01:13:51,2023-03-03,01:13:51,2023-03-04,01:00:00,Daily,00:13:51,61.0,919.34,
NRG-BN002,2023-02-28,01:23:51,2023-02-28,01:23:51,2023-03-07,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2023-03-03,01:13:51,2023-03-03,01:13:51,2023-03-04,01:10:00,Daily,00:03:51,51.0,81.89,
NRG-BN005,2023-03-03,01:13:51,2023-03-03,01:13:51,2023-03-04,01:15:00,Daily,00:01:09,62.0,100.79,
NRG-BN007,2023-03-03,01:33:51,2023-03-03,01:33:51,2023-03-04,01:20:00,Daily,00:13:51,73.0,854.59,
NRG-BN009,2023-03-03,01:13:51,2023-03-03,01:13:51,2023-03-04,00:55:00,Daily,00:18:51,65.0,8.53,
NRG-BN010,2023-03-03,04:03:51,2023-03-03,04:03:51,2023-03-04,03:59:00,Daily,00:04:51,63.0,17.12,
NRG-BN011,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:24:57,Daily,00:18:54,62.0,66.03,
NRG-BN012,2023-03-03,07:53:51,2023-03-03,07:53:51,2023-03-04,07:45:00,Daily,00:08:51,51.0,4.17,
NRG-BR001,2023-02-28,01:43:51,2023-02-28,01:43:51,2023-03-07,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2023-03-03,02:33:51,2023-03-03,02:33:51,2023-03-04,02:30:00,Daily,00:03:51,55.0,119.92,
NRG-BR003,2023-02-28,01:43:51,2023-02-28,01:43:51,2023-03-07,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2023-03-03,05:13:51,2023-03-03,05:13:51,2023-03-04,05:10:00,Daily,00:03:51,88.0,2646.55,
NRG-BR005,2023-03-03,01:53:51,2023-03-03,01:53:51,2023-03-04,01:45:00,Daily,00:08:51,33.0,25.09,
NRG-BR007,2023-03-03,01:53:51,2023-03-03,01:53:51,2023-03-04,01:50:00,Daily,00:03:51,72.0,301.74,
NRG-CC003,2023-03-03,02:03:51,2023-03-03,02:03:51,2023-03-04,02:05:00,Daily,00:01:09,82.0,522.72,
NRG-CC004,2023-03-03,02:23:51,2023-03-03,02:23:51,2023-03-04,02:10:00,Daily,00:13:51,43.0,229.14,
NRG-CC005,2023-03-03,04:13:51,2023-03-03,04:13:51,2023-03-04,04:05:00,Daily,00:08:51,46.0,82.59,
NRG-CC007CD,2023-03-03,02:23:51,2023-03-03,02:23:51,2023-03-04,02:15:00,Daily,00:08:51,34.0,159.78,
NRG-CC008,2023-03-03,02:23:51,2023-03-03,02:23:51,2023-03-04,02:20:00,Daily,00:03:51,63.0,196.99,
NRG-CC009,2023-03-03,02:33:51,2023-03-03,02:33:51,2023-03-04,02:25:00,Daily,00:08:51,65.0,43.76,
NRG-CC010,2023-03-02,18:33:51,,,2023-03-03,18:35:00,Daily,,,,
NRG-DT001,2023-03-03,02:33:51,2023-03-03,02:33:51,2023-03-04,02:30:00,Daily,00:03:51,54.0,126.49,
NRG-GI002,2023-02-28,02:43:51,2023-02-28,02:43:51,2023-03-07,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2023-03-03,02:43:51,2023-03-03,02:43:51,2023-03-04,02:40:00,Daily,00:03:51,48.0,145.63,
NRG-GI004,2023-03-03,02:53:51,2023-03-03,02:53:51,2023-03-04,02:50:00,Daily,00:03:51,53.0,376.86,
NRG-GI005,2023-02-28,03:03:51,2023-02-28,03:03:51,2023-03-07,02:55:00,Weekly,00:08:51,,,
NRG-GI006,2023-03-03,03:03:51,2023-03-03,03:03:51,2023-03-04,03:00:00,Daily,00:03:51,73.0,325.01,
NRG-GI007,2023-03-03,04:43:51,2023-03-03,04:43:51,2023-03-04,04:40:00,Daily,00:03:51,51.0,9.41,
NRG-GI008,2023-03-03,03:43:51,2023-03-03,03:43:51,2023-03-04,03:43:00,Daily,00:00:51,60.0,33.84,
NRG-GU002,2023-03-03,03:13:51,2023-03-03,03:13:51,2023-03-04,03:05:00,Daily,00:08:51,49.0,226.96,
NRG-GU003,2023-03-03,03:13:51,2023-03-03,03:13:51,2023-03-04,03:10:00,Daily,00:03:51,47.0,243.07,
NRG-GU005,2023-03-03,03:23:51,2023-03-03,03:23:51,2023-03-04,03:15:00,Daily,00:08:51,54.0,648.46,
NRG-GU006,2023-03-03,03:23:51,2023-03-03,03:23:51,2023-03-04,03:20:00,Daily,00:03:51,50.0,430.67,
NRG-GU007,2023-03-03,03:33:51,2023-03-03,03:33:51,2023-03-04,03:25:00,Daily,00:08:51,44.0,68.35,
NRG-GU008,2023-03-03,03:33:51,2023-03-03,03:33:51,2023-03-04,03:30:00,Daily,00:03:51,59.0,237.39,
NRG-GU009,2023-03-03,04:43:51,2023-03-03,04:43:51,2023-03-04,04:35:00,Daily,00:08:51,81.0,597.59,
NRG-GU010,2023-03-03,04:53:51,2023-03-03,04:53:51,2023-03-04,04:45:00,Daily,00:08:51,60.0,162.43,
NRG-GU011,2023-03-03,04:23:51,2023-03-03,04:23:51,2023-03-04,04:15:00,Daily,00:08:51,58.0,35.41,
NRG-GU012,2023-02-15,16:43:51,,,2023-02-15,16:51:56.963000,Daily,,,,
NRG-GU012,2023-03-03,07:53:51,,,2023-03-04,07:50:00,Daily,,,,
NRG-GY003,2023-02-28,01:23:51,2023-02-28,01:23:51,2023-03-07,00:55:00,Weekly,00:28:51,,,
NRG-GY004,2023-02-28,00:53:51,2023-02-28,00:53:51,2023-03-07,00:50:00,Weekly,00:03:51,,,
NRG-GY005,2023-03-03,00:53:51,2023-03-03,00:53:51,2023-03-04,00:45:00,Daily,00:08:51,67.0,3162.28,
NRG-GY006,2023-03-03,00:53:51,2023-03-03,00:53:51,2023-03-04,00:40:00,Daily,00:13:51,71.0,1781.82,
NRG-GY007,2023-03-03,00:53:51,2023-03-03,00:53:51,2023-03-04,00:35:00,Daily,00:18:51,83.0,1059.49,
NRG-GY009,2023-03-03,00:33:51,2023-03-03,00:33:51,2023-03-04,00:30:00,Daily,00:03:51,77.0,2903.87,
NRG-GY012,2023-03-03,00:33:51,2023-03-03,00:33:51,2023-03-04,00:25:00,Daily,00:08:51,61.0,1027.68,
NRG-GY014,2023-03-03,00:23:51,2023-03-03,00:23:51,2023-03-04,00:20:00,Daily,00:03:51,60.0,251.93,
NRG-GY016,2023-03-03,00:23:51,2023-03-03,00:23:51,2023-03-04,00:15:00,Daily,00:08:51,61.0,106.31,
NRG-GY017,2023-03-03,00:13:51,2023-03-03,00:13:51,2023-03-04,00:10:00,Daily,00:03:51,71.0,208.18,
NRG-GY018,2023-03-03,01:13:51,2023-03-03,01:13:51,2023-03-04,01:05:00,Daily,00:08:51,79.0,4431.58,
NRG-GY019,2023-03-03,00:13:51,2023-03-03,00:13:51,2023-03-04,00:00:00,Daily,00:13:51,58.0,1589.48,
NRG-GY020,2023-03-03,00:33:51,2023-03-03,00:33:51,2023-03-04,00:30:00,Daily,00:03:51,67.0,448.67,
NRG-GY021,2023-03-03,00:13:51,2023-03-03,00:13:51,2023-03-03,23:50:00,Daily,23:36:09,64.0,330.1,
NRG-GY022,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:45:00,Daily,00:01:09,32.0,108.27,
NRG-GY023,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:40:00,Daily,00:03:51,66.0,319.13,
NRG-GY024,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:30:00,Daily,00:13:51,13.0,0.37,
NRG-GY025,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:35:00,Daily,00:08:51,64.0,11.36,
NRG-GY026,2023-03-03,01:43:51,2023-03-03,01:43:51,2023-03-04,01:37:00,Daily,00:06:51,72.0,18.06,
NRG-GY027,2023-03-02,23:43:51,2023-03-02,23:43:51,2023-03-03,23:25:00,Daily,00:18:51,68.0,8.38,
NRG-HN001,2023-03-03,05:03:57,2023-03-03,05:03:57,2023-03-04,05:00:00,Daily,00:03:57,71.0,2445.93,
NRG-HN002,2023-03-03,06:23:52,2023-03-03,06:23:52,2023-03-10,06:05:00,Weekly,00:18:52,68.0,1383.98,
NRG-HN003,2023-02-28,05:13:51,2023-02-28,05:13:51,2023-03-07,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2023-03-03,05:23:51,2023-03-03,05:23:51,2023-03-04,05:15:00,Daily,00:08:51,74.0,1425.49,
NRG-HN005,2023-03-03,05:23:51,2023-03-03,05:23:51,2023-03-04,05:20:00,Daily,00:03:51,72.0,1160.71,
NRG-HN006,2023-03-02,21:03:51,2023-03-02,21:03:51,2023-03-03,21:04:03,Daily,00:00:12,76.0,149.37,
NRG-HN007,2023-03-03,05:33:51,2023-03-03,05:33:51,2023-03-04,05:30:00,Daily,00:03:51,53.0,71.75,
NRG-HN008,2023-03-03,04:53:51,2023-03-03,04:53:51,2023-03-04,04:50:00,Daily,00:03:51,53.0,29.29,
NRG-HN009,2023-03-03,05:03:57,2023-03-03,05:03:57,2023-03-04,04:55:00,Daily,00:08:57,55.0,211.57,
NRG-LU001,2023-02-28,05:43:51,2023-02-28,05:43:51,2023-03-07,05:35:00,Weekly,00:08:51,,,
NRG-LU002,2023-03-02,15:43:51,2023-03-02,15:43:51,2023-03-03,15:30:12,Daily,00:13:39,64.0,747.66,
NRG-LU003,2023-02-28,05:53:51,2023-02-28,05:53:51,2023-03-07,05:45:00,Weekly,00:08:51,,,
NRG-LU004,2023-03-03,05:53:51,2023-03-03,05:53:51,2023-03-04,05:50:00,Daily,00:03:51,46.0,131.28,
NRG-LU005,2023-03-03,06:03:51,2023-03-03,06:03:51,2023-03-04,05:55:00,Daily,00:08:51,84.0,3674.94,
NRG-LU006,2023-03-03,06:03:51,2023-03-03,06:03:51,2023-03-04,06:00:00,Daily,00:03:51,56.0,24.07,
NRG-LU007,2023-03-03,06:23:52,2023-03-03,06:23:52,2023-03-04,06:05:00,Daily,00:18:52,53.0,114.43,
NSABP-B-55,2023-03-03,02:03:51,2023-03-03,02:03:51,2023-03-04,01:57:00,Daily,00:06:51,117.0,2115.02,
RTOG-1112,2023-03-03,06:23:52,2023-03-03,06:23:52,2023-03-04,06:10:00,Daily,00:13:52,52.0,613.17,
RTOG-1115,2023-02-28,06:23:51,2023-02-28,06:23:51,2023-03-07,06:15:00,Weekly,00:08:51,,,
RTOG-1216,2023-03-03,06:23:52,2023-03-03,06:23:52,2023-03-04,06:20:00,Daily,00:03:52,77.0,1060.94,
RTOG-1308,2023-03-03,06:43:51,2023-03-03,06:43:51,2023-03-04,06:25:00,Daily,00:18:51,86.0,791.43,
S1418-E-01,2023-03-03,06:43:51,2023-03-03,06:43:51,2023-03-04,06:30:00,Daily,00:13:51,21.0,338.92,
S1914-E-01,2023-03-03,06:43:51,2023-03-03,06:43:51,2023-03-04,06:35:00,Daily,00:08:51,15.0,24.35,
