Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-03-04,01:03:51,2022-03-04,01:03:51,2022-03-05,01:00:00,Daily,00:03:51,61.0,881.3,
NRG-BN002,2022-03-01,01:13:51,2022-03-01,01:13:51,2022-03-08,01:05:00,Weekly,00:08:51,,,
NRG-BN003,2022-03-04,01:13:51,2022-03-04,01:13:51,2022-03-05,01:10:00,Daily,00:03:51,51.0,80.88,
NRG-BN005,2022-03-04,01:23:51,2022-03-04,01:23:51,2022-03-05,01:15:00,Daily,00:08:51,62.0,86.7,
NRG-BN007,2022-03-04,01:23:51,2022-03-04,01:23:51,2022-03-05,01:20:00,Daily,00:03:51,73.0,506.62,
NRG-BN009,2022-03-04,01:03:51,2022-03-04,01:03:51,2022-03-05,00:55:00,Daily,00:08:51,65.0,31.84,
NRG-BR001,2022-03-01,01:33:51,2022-03-01,01:33:51,2022-03-08,01:25:00,Weekly,00:08:51,,,
NRG-BR002,2022-03-04,02:33:51,2022-03-04,02:33:51,2022-03-05,02:30:00,Daily,00:03:51,55.0,132.98,
NRG-BR003,2022-03-01,01:43:51,2022-03-01,01:43:51,2022-03-08,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-03-04,01:43:51,2022-03-04,01:43:51,2022-03-05,01:40:00,Daily,00:03:51,79.0,2143.72,
NRG-BR005,2022-03-04,01:53:51,2022-03-04,01:53:51,2022-03-05,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-03-04,01:53:51,2022-03-04,01:53:51,2022-03-05,01:50:00,Daily,00:03:51,72.0,73.71,
NRG-CC003,2022-03-04,02:13:51,2022-03-04,02:13:51,2022-03-05,02:05:00,Daily,00:08:51,82.0,481.73,
NRG-CC004,2022-03-04,02:13:51,2022-03-04,02:13:51,2022-03-05,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC007CD,2022-03-04,02:23:51,2022-03-04,02:23:51,2022-03-05,02:15:00,Daily,00:08:51,34.0,129.97,
