Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2021-10-18,01:02:57,2021-10-18,01:02:57,2021-10-19,01:00:00,Daily,00:02:57,61.0,1014.52,
NRG-BN002,2021-10-12,01:07:53,2021-10-12,01:07:53,2021-10-19,01:05:00,Weekly,00:02:53,,,
NRG-BN003,2021-10-18,01:43:12,2021-10-18,01:43:12,2021-10-19,01:10:00,Daily,00:33:12,51.0,65.74,
NRG-BN005,2021-10-18,01:43:12,2021-10-18,01:43:12,2021-10-19,01:15:00,Daily,00:28:12,62.0,57.97,
NRG-BN007,2021-10-18,01:43:12,2021-10-18,01:43:12,2021-10-19,01:20:00,Daily,00:23:12,73.0,281.51,
NRG-BN009,2021-10-18,01:02:57,2021-10-18,01:02:57,2021-10-19,00:55:00,Daily,00:07:57,65.0,2.44,
NRG-BR001,2021-10-12,01:51:34,2021-10-12,01:51:34,2021-10-19,01:25:00,Weekly,00:26:34,,,
NRG-BR002,2021-10-18,01:43:12,2021-10-18,01:43:12,2021-10-19,01:30:00,Daily,00:13:12,53.0,129.05,
NRG-BR003,2021-10-12,01:51:34,2021-10-12,01:51:34,2021-10-19,01:35:00,Weekly,00:16:34,,,
NRG-BR004,2021-10-18,01:43:12,2021-10-18,01:43:12,2021-10-19,01:40:00,Daily,00:03:12,79.0,1644.28,
NRG-BR005,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,01:45:00,Daily,01:04:27,33.0,28.24,
NRG-BR007,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,01:50:00,Daily,00:59:27,72.0,11.28,
NRG-CC003,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:05:00,Daily,00:44:27,82.0,509.53,
NRG-CC004,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:10:00,Daily,00:39:27,43.0,260.24,
NRG-CC007CD,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:15:00,Daily,00:34:27,34.0,108.59,
NRG-CC008,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:20:00,Daily,00:29:27,63.0,50.66,
NRG-CC009,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:25:00,Daily,00:24:27,65.0,4.58,
NRG-DT001,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:30:00,Daily,00:19:27,52.0,117.12,
NRG-GI002,2021-10-12,03:38:20,2021-10-12,03:38:20,2021-10-19,02:35:00,Weekly,01:03:20,,,
NRG-GI003,2021-10-18,02:49:27,2021-10-18,02:49:27,2021-10-19,02:40:00,Daily,00:09:27,48.0,99.1,
NRG-GI004,2021-10-18,04:52:58,2021-10-18,04:52:58,2021-10-19,02:50:00,Daily,02:02:58,53.0,279.11,
NRG-GI005,2021-10-12,03:38:20,2021-10-12,03:38:20,2021-10-19,02:55:00,Weekly,00:43:20,,,
NRG-GI006,2021-10-18,04:52:58,2021-10-18,04:52:58,2021-10-19,03:00:00,Daily,01:52:58,73.0,183.48,
NRG-GU002,2021-10-18,04:52:58,2021-10-18,04:52:58,2021-10-19,03:05:00,Daily,01:47:58,49.0,194.74,
