Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Problem Detected
NRG-BN001,2022-03-18,01:13:51,2022-03-18,01:13:51,2022-03-19,01:00:00,Daily,00:13:51,61.0,881.55,
NRG-BN002,2022-03-15,01:23:51,2022-03-15,01:23:51,2022-03-22,01:05:00,Weekly,00:18:51,,,
NRG-BN003,2022-03-18,01:13:51,2022-03-18,01:13:51,2022-03-19,01:10:00,Daily,00:03:51,51.0,81.37,
NRG-BN005,2022-03-18,01:23:53,2022-03-18,01:23:53,2022-03-19,01:15:00,Daily,00:08:53,62.0,87.74,
NRG-BN007,2022-03-18,01:23:53,2022-03-18,01:23:53,2022-03-19,01:20:00,Daily,00:03:53,73.0,533.11,
NRG-BN009,2022-03-18,01:13:51,2022-03-18,01:13:51,2022-03-19,00:55:00,Daily,00:18:51,65.0,32.33,
NRG-BR001,2022-03-15,01:43:51,2022-03-15,01:43:51,2022-03-22,01:25:00,Weekly,00:18:51,,,
NRG-BR002,2022-03-18,02:33:51,2022-03-18,02:33:51,2022-03-19,02:30:00,Daily,00:03:51,55.0,134.48,
NRG-BR003,2022-03-15,01:43:51,2022-03-15,01:43:51,2022-03-22,01:35:00,Weekly,00:08:51,,,
NRG-BR004,2022-03-18,01:43:51,2022-03-18,01:43:51,2022-03-19,01:40:00,Daily,00:03:51,79.0,2215.51,
NRG-BR005,2022-03-18,01:53:51,2022-03-18,01:53:51,2022-03-19,01:45:00,Daily,00:08:51,33.0,36.59,
NRG-BR007,2022-03-18,01:53:51,2022-03-18,01:53:51,2022-03-19,01:50:00,Daily,00:03:51,72.0,80.17,
NRG-CC003,2022-03-18,02:13:51,2022-03-18,02:13:51,2022-03-19,02:05:00,Daily,00:08:51,82.0,484.21,
NRG-CC004,2022-03-18,02:13:51,2022-03-18,02:13:51,2022-03-19,02:10:00,Daily,00:03:51,43.0,235.03,
NRG-CC007CD,2022-03-18,02:23:51,2022-03-18,02:23:51,2022-03-19,02:15:00,Daily,00:08:51,34.0,131.94,
NRG-CC008,2022-03-18,02:23:51,2022-03-18,02:23:51,2022-03-19,02:20:00,Daily,00:03:51,63.0,104.88,
NRG-CC009,2022-03-18,02:33:51,2022-03-18,02:33:51,2022-03-19,02:25:00,Daily,00:08:51,65.0,37.04,
NRG-DT001,2022-03-18,02:33:51,2022-03-18,02:33:51,2022-03-19,02:30:00,Daily,00:03:51,52.0,131.12,
NRG-GI002,2022-03-15,02:43:51,2022-03-15,02:43:51,2022-03-22,02:35:00,Weekly,00:08:51,,,
NRG-GI003,2022-03-18,02:43:51,2022-03-18,02:43:51,2022-03-19,02:40:00,Daily,00:03:51,48.0,117.53,
NRG-GI004,2022-03-18,02:53:51,2022-03-18,02:53:51,2022-03-19,02:50:00,Daily,00:03:51,53.0,309.31,
NRG-GI005,2022-03-15,02:53:51,2022-03-15,02:53:51,2022-03-22,02:55:00,Weekly,00:01:09,,,
NRG-GI006,2022-03-18,03:13:51,2022-03-18,03:13:51,2022-03-19,03:00:00,Daily,00:13:51,73.0,243.57,
NRG-GI007,2022-03-18,04:43:51,2022-03-18,04:43:51,2022-03-19,04:40:00,Daily,00:03:51,51.0,26.48,
NRG-GU002,2022-03-18,03:13:51,2022-03-18,03:13:51,2022-03-19,03:05:00,Daily,00:08:51,49.0,206.64,
NRG-GU003,2022-03-18,03:13:51,2022-03-18,03:13:51,2022-03-19,03:10:00,Daily,00:03:51,47.0,241.46,
NRG-GU005,2022-03-18,03:13:51,2022-03-18,03:13:51,2022-03-19,03:15:00,Daily,00:01:09,52.0,482.56,
NRG-GU006,2022-03-18,03:33:51,2022-03-18,03:33:51,2022-03-19,03:20:00,Daily,00:13:51,50.0,402.19,
NRG-GU007,2022-03-18,03:33:51,2022-03-18,03:33:51,2022-03-19,03:25:00,Daily,00:08:51,44.0,57.47,
NRG-GU008,2022-03-18,03:33:51,2022-03-18,03:33:51,2022-03-19,03:30:00,Daily,00:03:51,59.0,106.42,
NRG-GU009,2022-03-18,03:43:51,2022-03-18,03:43:51,2022-03-19,03:35:00,Daily,00:08:51,77.0,114.86,
NRG-GU010,2022-03-18,04:53:51,2022-03-18,04:53:51,2022-03-19,04:45:00,Daily,00:08:51,60.0,29.84,
NRG-GY003,2022-03-15,01:23:51,2022-03-15,01:23:51,2022-03-22,00:55:00,Weekly,00:28:51,,,
NRG-GY004,2022-03-15,00:53:51,2022-03-15,00:53:51,2022-03-22,00:50:00,Weekly,00:03:51,,,
NRG-GY005,2022-03-18,00:53:52,2022-03-18,00:53:52,2022-03-19,00:45:00,Daily,00:08:52,67.0,3019.15,
NRG-GY006,2022-03-18,00:53:52,2022-03-18,00:53:52,2022-03-19,00:40:00,Daily,00:13:52,71.0,1490.86,
NRG-GY007,2022-03-18,00:53:52,2022-03-18,00:53:52,2022-03-19,00:35:00,Daily,00:18:52,83.0,1037.63,
NRG-GY009,2022-03-18,00:33:51,2022-03-18,00:33:51,2022-03-19,00:30:00,Daily,00:03:51,77.0,2597.21,
NRG-GY012,2022-03-18,00:33:51,2022-03-18,00:33:51,2022-03-19,00:25:00,Daily,00:08:51,61.0,735.89,
NRG-GY014,2022-03-18,00:23:51,2022-03-18,00:23:51,2022-03-19,00:20:00,Daily,00:03:51,60.0,191.61,
NRG-GY016,2022-03-18,00:23:51,2022-03-18,00:23:51,2022-03-19,00:15:00,Daily,00:08:51,61.0,125.23,
NRG-GY017,2022-03-18,00:13:51,2022-03-18,00:13:51,2022-03-19,00:10:00,Daily,00:03:51,71.0,230.77,
NRG-GY018,2022-03-18,01:13:51,2022-03-18,01:13:51,2022-03-19,01:05:00,Daily,00:08:51,79.0,2054.17,
NRG-GY019,2022-03-18,00:03:51,2022-03-18,00:03:51,2022-03-19,00:00:00,Daily,00:03:51,58.0,792.99,
NRG-GY020,2022-03-18,00:33:51,2022-03-18,00:33:51,2022-03-19,00:30:00,Daily,00:03:51,67.0,269.09,
NRG-GY021,2022-03-17,23:53:51,2022-03-17,23:53:51,2022-03-18,23:50:00,Daily,00:03:51,64.0,324.36,
NRG-GY022,2022-03-17,23:43:51,2022-03-17,23:43:51,2022-03-18,23:45:00,Daily,00:01:09,32.0,102.98,
NRG-GY023,2022-03-17,23:43:51,2022-03-17,23:43:51,2022-03-18,23:40:00,Daily,00:03:51,66.0,98.8,
NRG-HN001,2022-03-18,05:03:51,2022-03-18,05:03:51,2022-03-19,05:00:00,Daily,00:03:51,71.0,2120.89,
NRG-HN002,2022-03-18,06:03:51,2022-03-18,06:03:51,2022-03-25,06:05:00,Weekly,00:01:09,68.0,1337.92,
NRG-HN003,2022-03-15,05:13:51,2022-03-15,05:13:51,2022-03-22,05:10:00,Weekly,00:03:51,,,
NRG-HN004,2022-03-18,05:23:51,2022-03-18,05:23:51,2022-03-19,05:15:00,Daily,00:08:51,74.0,1341.7,
NRG-HN005,2022-03-18,05:23:51,2022-03-18,05:23:51,2022-03-19,05:20:00,Daily,00:03:51,72.0,783.63,
NRG-HN006,2022-03-17,21:03:51,2022-03-17,21:03:51,2022-03-18,21:04:03,Daily,00:00:12,76.0,92.02,
NRG-HN007,2022-03-18,05:33:51,2022-03-18,05:33:51,2022-03-19,05:30:00,Daily,00:03:51,53.0,78.45,
NRG-HN008,2022-03-18,04:53:51,2022-03-18,04:53:51,2022-03-19,04:50:00,Daily,00:03:51,53.0,26.92,
NRG-HN009,2022-03-18,04:53:51,2022-03-18,04:53:51,2022-03-19,04:55:00,Daily,00:01:09,55.0,30.69,
NRG-LU001,2022-03-15,05:43:51,2022-03-15,05:43:51,2022-03-22,05:35:00,Weekly,00:08:51,,,
NRG-LU002,2022-03-17,15:33:51,2022-03-17,15:33:51,2022-03-18,15:30:12,Daily,00:03:39,64.0,611.39,
