Study ID,Last Run Date,Last Run Time,Last Successful Run Date,Last Successful Run Time,Next Run Date,Next Run Time,Occurrence,Estimated Execution Time,N: File Count,N: Total File Size (MB),Number of Stale Data Files Detected,Problem Detected
EAY191-N4,2024-05-31,00:40:00,2024-05-31,00:40:00,2024-06-01,00:30:00,Daily,00:10:00,68,72.35,0,
NRG-BN001,2024-05-31,01:00:00,2024-05-31,01:00:00,2024-06-01,01:00:00,Daily,00:00:00,61,1011.38,0,
NRG-BN002,2024-05-28,01:30:00,2024-05-28,01:30:00,2024-06-04,01:05:00,Weekly,00:25:00,0,,0,
NRG-BN003,2024-05-31,02:10:00,2024-05-31,02:10:00,2024-06-01,02:10:00,Daily,00:00:00,53,110.73,0,
NRG-BN005,2024-05-31,01:20:00,2024-05-31,01:20:00,2024-06-01,01:15:00,Daily,00:05:00,62,152.05,0,
NRG-BN007,2024-05-31,01:20:00,2024-05-31,01:20:00,2024-06-01,01:20:00,Daily,00:00:00,73,910.19,0,
NRG-BN009,2024-05-31,01:00:00,2024-05-31,01:00:00,2024-06-01,00:55:00,Daily,00:05:00,65,23.17,0,
NRG-BN010,2024-05-31,04:00:00,2024-05-31,04:00:00,2024-06-01,03:59:00,Daily,00:01:00,63,78.8,0,
NRG-BN011,2024-05-30,23:30:00,2024-05-30,23:30:00,2024-05-31,23:24:57,Daily,00:05:03,62,410.21,0,
NRG-BN012,2024-05-31,07:50:00,2024-05-31,07:50:00,2024-06-01,07:45:00,Daily,00:05:00,51,72.21,0,
NRG-BR001,2024-05-28,01:30:00,2024-05-28,01:30:00,2024-06-04,01:25:00,Weekly,00:05:00,0,,0,
NRG-BR002,2024-05-31,02:30:00,2024-05-31,02:30:00,2024-06-01,02:30:00,Daily,00:00:00,55,124.99,0,
NRG-BR003,2024-05-30,01:40:00,2024-05-30,01:40:00,2024-06-06,01:35:00,Weekly,00:05:00,0,,0,
NRG-BR004,2024-05-31,05:10:00,2024-05-31,05:10:00,2024-06-01,05:10:00,Daily,00:00:00,88,2700.41,0,
NRG-BR005,2024-05-31,01:50:00,2024-05-31,01:50:00,2024-06-01,01:45:00,Daily,00:05:00,35,27.31,0,
NRG-BR007,2024-05-31,01:50:00,2024-05-31,01:50:00,2024-06-01,01:50:00,Daily,00:00:00,76,581.49,0,
NRG-BR008,2024-05-30,23:20:00,2024-05-30,23:20:00,2024-05-31,23:20:00,Daily,00:00:00,70,14.62,0,
NRG-BR009,2024-05-31,00:10:00,2024-05-31,00:10:00,2024-06-01,00:10:00,Daily,00:00:00,62,19.73,0,
NRG-CC003,2024-05-31,02:10:00,2024-05-31,02:10:00,2024-06-01,02:05:00,Daily,00:05:00,82,548.06,0,
NRG-CC004,2024-05-31,02:10:00,2024-05-31,02:10:00,2024-06-01,02:10:00,Daily,00:00:00,43,229.14,0,
NRG-CC005,2024-05-30,21:50:00,2024-05-30,21:50:00,2024-05-31,21:44:52,Daily,00:05:08,54,326.61,0,
NRG-CC007CD,2024-05-31,02:20:00,2024-05-31,02:20:00,2024-06-01,02:15:00,Daily,00:05:00,34,186.21,0,
NRG-CC008,2024-05-31,02:20:00,2024-05-31,02:20:00,2024-06-01,02:20:00,Daily,00:00:00,63,425.19,0,
NRG-CC009,2024-05-31,02:30:00,2024-05-31,02:30:00,2024-06-01,02:25:00,Daily,00:05:00,65,94.07,0,
NRG-CC010,2024-05-30,18:40:00,2024-05-30,18:40:00,2024-05-31,18:35:00,Daily,00:05:00,43,38.6,0,
NRG-CC011,2024-05-31,01:50:00,2024-05-31,01:50:00,2024-06-01,01:44:00,Daily,00:06:00,45,6.61,0,
NRG-DT001,2024-05-31,02:30:00,2024-05-31,02:30:00,2024-06-01,02:30:00,Daily,00:00:00,54,133.56,0,
